#com.smsbackup.phone
#./workspace/com.smsbackup.phone_0/app4080.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 17:57:27.813378,716,156,542,2234,1042,0,0,0,546783,1693,786270,1703,S,3006,0,2,0,3,0,0,0,14,3289206784,25105,0,803029,25105,20505,5,0
2023-01-11 17:57:28.087190,727,156,546,2257,1042,0,0,0,549471,1726,791458,1736,S,3033,0,2,0,3,0,0,0,14,3289206784,25255,1,803029,25255,20654,5,0
2023-01-11 17:57:28.346077,733,156,550,2273,1042,0,0,0,552315,1761,796676,1771,S,3050,0,2,0,4,1,0,0,14,3289206784,25255,0,803030,25928,21195,5,0
2023-01-11 17:57:28.630595,744,156,554,2303,1045,0,0,0,555175,1797,801581,1804,S,3387,0,3,0,5,2,0,0,14,3289210880,25929,1,803030,25929,21196,5,0
2023-01-11 17:57:28.897233,753,156,556,2323,1045,0,0,0,557707,1828,806588,1838,S,3415,0,3,0,5,2,0,0,14,3289210880,25929,1,803030,25929,21196,5,0
2023-01-11 17:57:29.158103,771,156,563,2358,1045,0,0,0,560555,1863,812003,1877,S,3581,0,8,0,7,2,0,0,14,3289210880,26512,0,803030,26512,21684,5,0
2023-01-11 17:57:29.413206,788,156,567,2363,1045,0,0,0,562931,1892,816737,1908,R,3628,0,8,0,9,2,0,0,14,3289210880,26529,0,803402,27481,22603,5,0
2023-01-11 17:57:29.670105,810,157,574,2369,1045,0,0,0,565081,1918,822067,1942,S,4017,0,8,0,11,3,0,0,14,3290128384,27352,0,803669,27792,22905,5,0
2023-01-11 17:57:29.933992,830,157,579,2381,1045,0,0,0,567523,1948,826855,1971,S,4485,0,9,0,11,3,0,0,14,3291828224,27792,1,803669,27793,22905,5,0
2023-01-11 17:57:30.182366,840,157,583,2412,1046,0,0,0,569989,1978,832521,2009,S,4522,0,9,0,12,3,0,0,14,3291828224,27793,1,803669,27793,22905,5,0
2023-01-11 17:57:30.458296,845,157,587,2454,1046,0,0,0,572695,2012,839092,2047,S,4868,0,10,0,13,4,0,0,17,3295657984,28450,1,804701,28543,23516,5,0
2023-01-11 17:57:30.726779,869,158,594,2462,1048,0,0,0,574939,2039,843921,2079,S,4972,0,10,0,14,4,0,0,17,3296055296,28543,1,804701,28543,23516,5,0
2023-01-11 17:57:30.976516,889,158,598,2479,1048,0,0,0,577339,2068,848906,2113,S,4973,0,10,0,14,4,0,0,17,3296055296,28543,0,804701,28543,23516,5,0
