#com.snda.tuita
#./workspace/com.snda.tuita_0/app5002.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 17:58:14.526105,752,164,582,2254,873,0,0,0,1321919,2204,795412,1761,S,4756,655,67,0,10,7,0,0,19,1133535232,26200,1,276742,26200,21580,5,0
2023-01-11 17:58:14.797253,760,164,585,2257,873,0,0,0,1325435,2247,802904,1810,S,4756,655,67,0,10,7,0,0,19,1133535232,26200,1,276794,26266,21641,5,0
2023-01-11 17:58:15.052362,770,164,589,2279,874,0,0,0,1328411,2284,808177,1845,S,4780,655,68,0,10,7,0,0,19,1133748224,26266,0,276794,26266,21641,5,0
2023-01-11 17:58:15.317797,774,164,591,2317,874,0,0,0,1331165,2318,813234,1879,S,4789,655,68,0,10,7,0,0,19,1133748224,26266,0,276794,26266,21641,5,0
2023-01-11 17:58:15.568061,776,164,593,2361,874,0,0,0,1333631,2348,818240,1913,R,4804,655,69,0,11,7,0,0,19,1133748224,26266,0,277940,28968,23824,5,0
2023-01-11 17:58:15.854032,786,166,596,2371,875,0,0,0,1336749,2386,825686,1957,S,5914,655,94,0,13,7,0,0,20,1138442240,28968,1,277525,28583,23407,5,0
2023-01-11 17:58:16.100017,796,167,601,2371,875,0,0,0,1339951,2424,831907,1999,S,6344,655,94,0,13,8,0,0,20,1136742400,28583,1,277525,28583,23407,5,0
2023-01-11 17:58:16.351153,801,170,604,2372,875,0,0,0,1340387,2429,833228,2005,S,6344,655,94,0,13,8,0,0,20,1136742400,28583,1,277525,28583,23407,5,0
2023-01-11 17:58:16.612599,812,172,608,2374,875,0,0,0,1344480,2478,842054,2059,S,6344,655,94,0,14,8,0,0,20,1136742400,28583,0,277525,28583,23407,5,0
2023-01-11 17:58:16.854916,814,173,610,2374,875,0,0,0,1345259,2487,843667,2069,S,6344,655,94,0,14,8,0,0,20,1136742400,28583,0,277525,28583,23407,5,0
2023-01-11 17:58:17.130651,816,181,612,2389,876,0,0,0,1348367,2526,850381,2111,S,6344,655,94,0,14,8,0,0,20,1136742400,28583,0,277526,28583,23407,5,0
2023-01-11 17:58:17.396376,831,182,620,2396,876,0,0,0,1350639,2553,854941,2140,S,6354,655,97,0,15,8,0,0,20,1136746496,28583,0,277526,28583,23407,5,0
2023-01-11 17:58:17.652355,845,182,626,2399,876,0,0,0,1352633,2577,859483,2168,S,6364,655,98,0,16,9,0,0,20,1136746496,28583,0,277699,29220,23958,5,0
2023-01-11 17:58:17.937614,853,182,631,2414,879,0,0,0,1356924,2629,868091,2226,S,6713,655,109,0,18,10,0,0,20,1137270784,29402,0,277654,29489,24103,5,0
2023-01-11 17:58:18.197620,865,183,634,2423,879,0,0,0,1358889,2653,872935,2254,S,6822,655,111,0,19,10,0,0,20,1137270784,29489,1,277654,29489,24103,5,0
2023-01-11 17:58:18.465983,896,183,640,2425,879,0,0,0,1360481,2672,875872,2277,S,6839,655,111,0,20,10,0,0,20,1137270784,29489,1,277654,29489,24103,5,0
2023-01-11 17:58:18.718703,902,183,644,2437,880,0,0,0,1363037,2703,881610,2316,S,6842,655,111,0,20,10,0,0,20,1137270784,29489,1,277654,29489,24103,5,0
2023-01-11 17:58:18.980802,905,184,648,2476,881,0,0,0,1365857,2738,887348,2355,S,6873,655,111,0,20,11,0,0,20,1137270784,29568,1,277654,29568,24182,5,0
2023-01-11 17:58:19.232985,914,187,656,2502,883,0,0,0,1368719,2774,893439,2390,S,6874,655,111,0,21,11,0,0,20,1137270784,29568,1,277654,29634,24236,5,0
2023-01-11 17:58:19.493730,937,188,663,2529,884,0,0,0,1374941,2849,903582,2458,S,7228,1312,116,0,24,11,1,0,20,1138040832,29854,1,278044,29943,24820,5,0
2023-01-11 17:58:19.753774,955,188,666,2529,884,0,0,0,1375714,2858,905215,2468,S,7334,1312,116,0,25,11,1,0,20,1138040832,29947,1,278070,29943,24820,5,0
2023-01-11 17:58:20.014662,979,189,673,2529,884,0,0,0,1378276,2889,910337,2503,S,7804,1312,116,0,25,11,1,0,20,1139081216,29943,1,278096,29943,24820,5,0
2023-01-11 17:58:20.274199,1001,195,677,2532,884,0,0,0,1380742,2919,916496,2539,S,7806,1312,116,0,25,11,1,0,20,1139081216,29943,1,277266,29176,24044,5,0
