#com.soft.android.appinstaller
#./workspace/com.soft.android.appinstaller_0/app4691.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 03:19:53.295311,949,241,715,1576,819,0,0,0,4159935,3200,714298,1015,S,3747,0,7,0,15,2,0,0,15,3290316800,25807,1,803300,25807,21317,5,0
2023-01-11 03:19:53.556605,958,243,717,1577,819,0,0,0,4162746,3234,720580,1053,S,3747,0,7,0,15,2,0,0,15,3290316800,25807,1,803300,25807,21317,5,0
2023-01-11 03:19:53.821939,964,244,720,1577,819,0,0,0,4165137,3263,725505,1086,S,3747,0,7,0,15,2,0,0,15,3290316800,25807,1,803300,25807,21317,5,0
2023-01-11 03:19:54.092426,971,247,725,1577,819,0,0,0,4167849,3296,731995,1121,S,3759,0,7,0,15,2,0,0,15,3290316800,25807,1,803300,25807,21317,5,0
2023-01-11 03:19:54.331396,975,249,728,1577,819,0,0,0,4169663,3318,735017,1145,S,3759,0,7,0,15,2,0,0,15,3290316800,25807,1,803300,25807,21317,5,0
2023-01-11 03:19:54.610984,981,252,731,1579,820,0,0,0,4171973,3346,739556,1173,S,4498,0,7,0,16,2,0,0,15,3293270016,26626,0,804021,26732,22196,5,0
2023-01-11 03:19:54.871608,988,252,735,1588,820,0,0,0,4174241,3373,744546,1206,S,4528,0,7,0,17,2,0,0,15,3293270016,26732,0,804742,27484,22939,5,0
2023-01-11 03:19:55.137187,994,252,739,1611,820,0,0,0,4176599,3401,749439,1239,S,5248,0,7,0,18,3,0,0,15,3296223232,27484,1,804742,27484,22939,5,0
2023-01-11 03:19:55.399807,1001,253,745,1637,821,0,0,0,4179197,3433,754226,1270,S,5292,0,7,0,21,3,0,0,15,3296227328,27484,1,804743,27879,23256,5,0
2023-01-11 03:19:55.663185,1011,253,748,1655,822,0,0,0,4181795,3465,760089,1302,R,5384,0,7,0,23,3,0,0,15,3296227328,27879,1,804839,28007,23382,5,0
2023-01-11 03:19:55.923698,1017,253,752,1676,823,0,0,0,4184133,3493,764684,1331,S,5585,0,7,0,25,3,0,0,15,3296620544,28007,1,804839,28007,23382,5,0
2023-01-11 03:19:56.168935,1033,253,760,1690,823,0,0,0,4186957,3528,770174,1371,S,5598,0,7,0,27,3,0,0,15,3296620544,28007,1,804839,28008,23382,5,0
2023-01-11 03:19:56.442781,1084,254,771,1694,823,0,0,0,4190069,3565,777866,1418,S,5667,0,7,0,28,4,0,0,15,3296620544,28008,0,804839,28008,23382,5,0
2023-01-11 03:19:56.703136,1094,254,774,1694,823,0,0,0,4190069,3565,777866,1418,R,5667,0,7,0,29,5,0,0,15,3296620544,28008,0,804839,28008,23382,5,0
2023-01-11 03:19:56.974111,1111,254,781,1699,823,0,0,0,4193307,3604,785365,1468,S,5678,0,8,0,29,6,0,0,15,3296620544,28008,0,804839,28008,23382,5,0
2023-01-11 03:19:57.229367,1123,254,787,1724,823,0,0,0,4195773,3634,791005,1506,R,5715,0,8,0,30,6,0,0,15,3296620544,28177,0,804839,28177,23532,5,0
2023-01-11 03:19:57.482176,1145,254,794,1737,823,0,0,0,4198173,3663,797316,1544,S,5715,0,8,0,32,6,0,0,15,3296620544,28177,1,804839,28168,23532,5,0
2023-01-11 03:19:57.766575,1162,255,804,1753,823,0,0,0,4200507,3691,802145,1576,S,5738,0,8,0,33,6,0,0,15,3296620544,28168,0,804839,28168,23532,5,0
2023-01-11 03:19:58.049496,1177,255,812,1781,823,0,0,0,4203265,3725,807052,1609,S,5739,0,8,0,34,6,0,0,15,3296620544,28168,0,804839,28168,23532,5,0
2023-01-11 03:19:58.307859,1195,255,818,1803,823,0,0,0,4205471,3751,812870,1641,S,5744,0,8,0,36,7,0,0,15,3296620544,28168,0,804839,28168,23532,5,0
2023-01-11 03:19:58.563130,1212,255,824,1816,823,0,0,0,4208190,3784,818894,1673,S,5744,0,8,0,38,7,0,0,15,3296620544,28168,1,804839,28168,23532,5,0
2023-01-11 03:19:58.834364,1236,255,832,1826,823,0,0,0,4209626,3801,821538,1692,S,5745,0,8,0,40,7,0,0,15,3296620544,28168,1,804839,28168,23532,5,0
2023-01-11 03:19:59.103347,1248,256,838,1848,823,0,0,0,4212540,3837,826637,1727,S,5752,0,8,0,41,7,0,0,15,3296620544,28168,1,804839,28168,23532,5,0
2023-01-11 03:19:59.361858,1275,260,851,1852,823,0,0,0,4214912,3866,831490,1759,S,5756,0,8,0,42,7,0,0,15,3296620544,28168,1,804839,28168,23532,5,0
2023-01-11 03:19:59.612905,1283,261,856,1872,823,0,0,0,4217534,3898,836679,1795,S,5756,0,8,0,42,8,0,0,15,3296620544,28168,0,804839,28168,23532,5,0
2023-01-11 03:19:59.883942,1287,261,860,1907,823,0,0,0,4220066,3929,841665,1829,S,5757,0,8,0,44,8,0,0,15,3296620544,28168,0,804839,28168,23532,5,0
2023-01-11 03:20:00.137092,1303,261,865,1917,823,0,0,0,4222598,3960,846561,1862,S,5762,0,8,0,44,8,0,0,15,3296620544,28168,1,804839,28168,23532,5,0
2023-01-11 03:20:00.395784,1305,268,869,1929,823,0,0,0,4225881,4000,854347,1904,R,5762,0,8,0,45,9,0,0,15,3296620544,28261,1,804839,28261,23611,5,0
2023-01-11 03:20:00.661735,1342,270,875,1935,824,0,0,0,4228153,4027,858867,1932,S,5770,0,8,0,46,9,0,0,15,3296620544,28261,1,804839,28312,23658,5,0
2023-01-11 03:20:00.921917,1347,270,877,1935,824,0,0,0,4229958,4049,863231,1958,S,5870,0,8,0,48,9,0,0,15,3296620544,28373,1,804839,28312,23658,5,0
2023-01-11 03:20:01.187863,1377,270,884,1936,824,0,0,0,4232046,4074,866548,1985,S,5879,0,8,0,49,10,0,0,15,3296620544,28312,1,804839,28312,23658,5,0
2023-01-11 03:20:01.473565,1410,271,892,1938,824,0,0,0,4236449,4127,876755,2041,S,5890,0,8,0,52,10,0,0,15,3296620544,28312,0,804839,28312,23658,5,0
2023-01-11 03:20:02.240159,1496,271,905,1938,824,0,0,0,4239645,4165,883104,2080,S,5890,0,8,0,53,10,0,0,15,3296620544,28312,0,804839,28312,23658,5,0
2023-01-11 03:20:01.984542,1495,271,905,1938,824,0,0,0,4239243,4160,881044,2075,S,5890,0,8,0,52,10,0,0,15,3296620544,28312,0,804839,28312,23658,5,0
2023-01-11 03:20:01.713518,1494,271,904,1938,824,0,0,0,4239243,4160,881044,2075,S,5890,0,8,0,52,10,0,0,15,3296620544,28312,0,804839,28312,23658,5,0
2023-01-11 03:20:02.509639,1537,271,916,1939,824,0,0,0,4243962,4216,891654,2139,S,5902,0,8,0,54,11,0,0,15,3296620544,28312,0,804839,28312,23658,5,0
2023-01-11 03:20:02.749070,1541,271,919,1942,824,0,0,0,4244741,4225,893287,2149,S,5903,0,8,0,54,11,0,0,15,3296620544,28312,1,804839,28344,23690,5,0
2023-01-11 03:20:03.014221,1555,271,926,1964,824,0,0,0,4247207,4255,898319,2183,S,5925,0,8,0,54,11,0,0,15,3296620544,28344,1,804839,28344,23690,5,0
2023-01-11 03:20:03.279717,1592,272,934,1986,824,0,0,0,4251412,4306,907476,2237,S,5968,0,8,0,56,12,0,0,15,3296620544,28374,1,804839,28374,23721,5,0
2023-01-11 03:20:03.544427,1625,272,938,1986,824,0,0,0,4252692,4321,909512,2251,S,5968,0,8,0,57,12,0,0,15,3296620544,28374,1,804839,28374,23721,5,0
2023-01-11 03:20:03.798759,1635,272,941,1988,824,0,0,0,4253939,4336,911778,2266,S,5968,0,8,0,57,12,0,0,15,3296620544,28374,0,804839,28389,23736,5,0
2023-01-11 03:20:04.063490,1652,272,950,2005,824,0,0,0,4257345,4378,918771,2311,S,5985,0,8,0,58,13,0,0,15,3296620544,28389,0,806406,29434,24628,5,0
2023-01-11 03:20:04.329185,1703,274,959,2008,824,0,0,0,4261051,4422,925829,2354,S,6957,0,8,0,62,16,0,0,18,3303038976,29434,1,804269,27320,22507,5,0
2023-01-11 03:20:04.591790,1759,274,968,2008,824,0,0,0,4262885,4444,930803,2375,S,6957,0,8,0,62,16,0,0,18,3303038976,29434,1,804269,27320,22507,5,0
2023-01-11 03:20:04.857074,1837,276,979,2008,824,0,0,0,4266967,4493,938931,2428,S,6959,0,8,0,62,16,0,0,18,3294179328,27320,1,804269,27320,22507,5,0
2023-01-11 03:20:05.112654,1838,276,979,2008,824,0,0,0,4266655,4489,938285,2423,S,6959,0,8,0,62,16,0,0,18,3294179328,27320,1,804269,27320,22507,5,0
2023-01-11 03:20:05.383537,1850,277,983,2008,824,0,0,0,4270322,4533,945891,2471,S,6963,0,8,0,62,16,0,0,18,3294285824,27320,1,804269,27320,22507,5,0
2023-01-11 03:20:05.628608,1851,277,983,2008,824,0,0,0,4270478,4535,946870,2473,S,6963,0,8,0,62,16,0,0,18,3294285824,27320,1,804269,27320,22507,5,0
2023-01-11 03:20:05.899236,1870,280,993,2008,824,0,0,0,4271971,4553,949404,2493,S,6963,0,8,0,62,16,0,0,18,3294285824,27320,1,805711,28720,23904,5,0
2023-01-11 03:20:06.161591,1886,285,999,2008,824,0,0,0,4275081,4590,954932,2533,S,8405,0,8,0,63,16,0,0,18,3300192256,28720,1,805711,28720,23904,5,0
2023-01-11 03:20:06.436194,1922,288,1005,2008,824,0,0,0,4277429,4619,959704,2564,S,8405,0,8,0,64,17,0,0,18,3300192256,28720,1,805711,28720,23904,5,0
2023-01-11 03:20:06.679984,1939,299,1008,2008,824,0,0,0,4280235,4653,964788,2599,S,8405,0,8,0,64,17,0,0,18,3300192256,28720,1,805711,28720,23904,5,0
2023-01-11 03:20:06.945099,1976,303,1015,2009,824,0,0,0,4282659,4682,969734,2633,S,8405,0,8,0,64,17,0,0,18,3300192256,28720,1,805711,28720,23904,5,0
2023-01-11 03:20:07.198856,1988,307,1018,2009,824,0,0,0,4286080,4723,977178,2679,S,8406,0,8,0,64,17,0,0,18,3300192256,28720,1,805711,28720,23904,5,0
