#com.software.android.install
#./workspace/com.software.android.install_9/app4587.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 02:25:09.525858,901,327,877,1771,1122,0,0,0,224583,626,657549,775,S,33164,0,431,0,155,53,0,0,63,3596189696,57234,1,877976,57234,45042,5,0
2023-01-09 02:25:09.791352,915,327,882,1781,1122,0,0,0,227965,667,666004,827,S,33164,0,431,0,155,53,0,0,63,3596189696,57234,1,878007,57301,45047,5,0
2023-01-09 02:25:10.056803,922,327,884,1781,1122,0,0,0,230332,695,674683,865,S,33288,0,431,0,156,53,0,0,63,3596316672,57301,1,878007,57369,45047,5,0
2023-01-09 02:25:10.317361,934,328,889,1782,1122,0,0,0,231763,712,678439,884,S,33339,0,431,0,157,54,0,0,63,3596316672,57369,1,878007,57369,45047,5,0
2023-01-09 02:25:10.574506,947,329,892,1782,1122,0,0,0,234183,741,682216,915,S,33339,0,431,0,157,54,0,0,63,3596316672,57369,1,878007,57369,45047,5,0
2023-01-09 02:25:10.860427,954,332,896,1790,1122,0,0,0,236829,773,687216,947,S,33340,0,431,0,157,54,0,0,63,3596316672,57369,1,878007,57369,45047,5,0
2023-01-09 02:25:11.136384,966,334,898,1792,1122,0,0,0,239271,803,691891,977,S,33341,0,431,0,157,54,0,0,63,3596316672,57369,1,878007,57369,45047,5,0
2023-01-09 02:25:11.394190,976,334,902,1793,1122,0,0,0,241959,836,697981,1012,S,33341,0,431,0,157,54,0,0,63,3596316672,57369,1,878007,57369,45047,5,0
2023-01-09 02:25:11.659387,1013,334,907,1807,1122,0,0,0,244551,868,702927,1045,S,33341,0,431,0,157,54,0,0,63,3596316672,57369,1,878007,57369,45047,5,0
2023-01-09 02:25:11.920505,1029,335,911,1815,1123,0,0,0,247117,899,707688,1075,S,33341,0,431,0,157,54,0,0,63,3596316672,57369,1,878007,57369,45047,5,0
2023-01-09 02:25:12.177207,1048,335,914,1830,1124,0,0,0,249781,932,712479,1106,S,33341,0,431,0,157,54,0,0,63,3596316672,57369,1,878007,57369,45047,5,0
2023-01-09 02:25:12.451022,1096,336,920,1836,1124,0,0,0,253162,973,719217,1146,S,33342,0,431,0,157,54,0,0,63,3596316672,57369,1,877459,57314,45047,5,0
2023-01-09 02:25:12.688617,1112,336,923,1839,1124,0,0,0,254910,994,722267,1170,S,33342,0,431,0,157,54,0,0,61,3594072064,57314,1,877459,57314,45047,5,0
2023-01-09 02:25:12.954079,1131,337,925,1849,1126,0,0,0,256974,1019,726675,1197,S,33342,0,431,0,157,54,0,0,61,3594072064,57314,1,877459,57314,45047,5,0
2023-01-09 02:25:13.224622,1152,337,927,1871,1127,0,0,0,259572,1051,731558,1229,S,33342,0,431,0,157,54,0,0,61,3594072064,57314,1,877459,57314,45047,5,0
2023-01-09 02:25:13.510488,1185,337,931,1882,1127,0,0,0,262699,1089,739239,1269,S,33344,0,431,0,157,54,0,0,61,3594072064,57314,0,877459,57314,45047,5,0
2023-01-09 02:25:13.770975,1215,337,934,1884,1127,0,0,0,264012,1105,741598,1285,S,33344,0,431,0,157,54,0,0,61,3594072064,57314,0,877459,57314,45047,5,0
2023-01-09 02:25:14.021172,1254,337,938,1886,1127,0,0,0,266568,1136,746260,1313,S,33344,0,431,0,157,54,0,0,61,3594072064,57314,0,877459,57314,45047,5,0
2023-01-09 02:25:14.286981,1272,338,942,1889,1129,0,0,0,269124,1167,751233,1346,S,33346,0,431,0,157,54,0,0,61,3594072064,57314,0,877459,57314,45047,5,0
2023-01-09 02:25:14.557709,1301,338,947,1895,1129,0,0,0,271482,1195,756380,1382,S,33371,0,431,0,158,54,0,0,61,3594072064,57314,1,877459,57314,45047,5,0
2023-01-09 02:25:14.810537,1321,339,949,1911,1129,0,0,0,274278,1230,761371,1416,S,33372,0,431,0,158,54,0,0,61,3594072064,57314,1,876363,57306,45047,5,0
2023-01-09 02:25:15.065995,1363,339,954,1915,1129,0,0,0,277765,1272,770346,1460,S,33374,0,431,0,158,54,0,0,57,3589582848,57306,1,876363,57579,45046,5,0
2023-01-09 02:25:15.332404,1383,340,958,1915,1129,0,0,0,279787,1296,774803,1487,S,33530,0,431,0,159,54,0,0,57,3589582848,57513,1,876363,57386,45046,5,0
2023-01-09 02:25:15.854204,1445,342,968,1916,1129,0,0,0,282766,1331,782318,1524,S,33648,0,431,0,159,54,0,0,57,3589582848,57386,0,876363,57386,45046,5,0
2023-01-09 02:25:15.608981,1421,341,964,1915,1129,0,0,0,282520,1328,781976,1520,S,33643,0,431,0,159,54,0,0,57,3589582848,57386,0,876363,57386,45046,5,0
2023-01-09 02:25:16.119058,1511,343,978,1917,1129,0,0,0,285347,1361,789251,1554,S,33648,0,431,0,159,54,0,0,57,3589582848,57386,0,876363,57386,45046,5,0
2023-01-09 02:25:16.379336,1502,343,976,1917,1129,0,0,0,287479,1386,793686,1580,S,33648,0,431,0,159,54,0,0,57,3589582848,57386,0,876363,57386,45046,5,0
2023-01-09 02:25:16.629073,1533,343,982,1919,1129,0,0,0,290312,1420,799697,1614,S,33648,0,431,0,159,54,0,0,57,3589582848,57386,0,876363,57386,45046,5,0
2023-01-09 02:25:16.894380,1548,343,984,1919,1129,0,0,0,289844,1414,798310,1607,S,33648,0,431,0,159,54,0,0,57,3589582848,57386,0,876363,57386,45046,5,0
2023-01-09 02:25:17.170098,1579,344,987,1921,1129,0,0,0,293172,1454,805200,1653,S,33648,0,431,0,159,54,0,0,57,3589582848,57386,0,876363,57386,45046,5,0
2023-01-09 02:25:17.435718,1622,345,994,1922,1129,0,0,0,296385,1492,812935,1694,S,33648,0,431,0,159,54,0,0,54,3586215936,57338,0,875541,57338,45046,5,0
2023-01-09 02:25:17.701207,1658,346,999,1923,1129,0,0,0,298469,1517,819735,1724,S,33654,0,431,0,159,54,0,0,54,3586215936,57338,0,875541,57338,45046,5,0
2023-01-09 02:25:17.948663,1674,347,1001,1923,1129,0,0,0,299744,1532,821914,1738,S,33654,0,431,0,159,54,0,0,54,3586215936,57338,0,875541,57338,45046,5,0
2023-01-09 02:25:18.201262,1690,347,1005,1927,1129,0,0,0,302182,1562,827063,1773,S,33654,0,431,0,159,54,0,0,54,3586215936,57338,0,875541,57338,45046,5,0
