#com.software.apk
#./workspace/com.software.apk_0/app2110.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:12:49.844875,1698,776,1265,2098,915,0,0,0,92108411,62968,818827,3365,S,3253,0,13,0,8,3,0,0,12,3282382848,22065,0,801363,22065,16434,5,0
2023-01-11 04:12:50.120641,1702,778,1268,2098,915,0,0,0,92109469,62980,821001,3379,S,3253,0,13,0,8,3,0,0,12,3282382848,22065,0,801363,22065,16434,5,0
2023-01-11 04:12:50.371517,1709,782,1274,2098,915,0,0,0,92113051,63024,828553,3427,S,3253,0,13,0,8,3,0,0,12,3282382848,22065,0,801363,22066,16434,5,0
2023-01-11 04:12:50.644235,1714,788,1280,2098,915,0,0,0,92115611,63055,833233,3457,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:50.899259,1723,791,1285,2098,915,0,0,0,92119759,63105,842104,3507,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:51.154763,1730,792,1286,2098,915,0,0,0,92120784,63117,844082,3518,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:51.415640,1736,793,1289,2098,915,0,0,0,92121727,63129,846929,3528,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:51.660068,1743,794,1292,2098,915,0,0,0,92125116,63169,852595,3568,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:51.943504,1752,796,1295,2098,915,0,0,0,92127048,63192,856765,3591,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:52.213365,1757,797,1297,2098,915,0,0,0,92129136,63217,860977,3615,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:52.468881,1765,799,1301,2098,915,0,0,0,92131310,63243,865778,3643,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:52.721904,1771,799,1304,2098,915,0,0,0,92132155,63253,867412,3653,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:53.011879,1777,804,1309,2098,915,0,0,0,92135123,63288,873814,3689,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:53.248924,1780,812,1313,2098,915,0,0,0,92137211,63313,877059,3716,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:53.499355,1788,824,1323,2098,915,0,0,0,92139427,63340,881606,3744,S,3266,0,13,0,8,3,0,0,12,3282382848,22066,0,801363,22066,16434,5,0
2023-01-11 04:12:53.761705,1798,835,1333,2098,915,0,0,0,92143291,63387,890081,3793,S,3272,0,13,0,8,3,0,0,12,3282644992,22066,0,-1,-1,-1,-1,-1
2023-01-11 04:12:54.026679,1815,837,1340,2103,915,0,0,0,92147120,63433,896981,3839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:12:54.277009,1815,837,1340,2103,915,0,0,0,92146718,63428,895569,3832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:12:54.537413,1825,838,1346,2103,915,0,0,0,92150823,63477,906170,3887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:12:54.793754,1835,838,1352,2103,915,0,0,0,92152414,63496,908550,3905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:12:55.041509,1859,842,1362,2103,915,0,0,0,92157130,63553,924518,3963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:12:55.306973,1864,842,1364,2103,915,0,0,0,92157935,63562,926152,3973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:12:55.543308,1869,844,1369,2103,915,0,0,0,92160110,63588,929683,4002,S,81161,0,219,0,245,116,0,0,41,3596414976,73728,0,878031,73728,39288,5,0
2023-01-11 04:12:55.826761,1878,851,1386,2103,915,0,0,0,92165046,63648,942803,4067,S,81161,0,219,0,245,116,0,0,41,3596414976,73728,0,878031,73728,39288,5,0
2023-01-11 04:12:56.076777,1887,856,1398,2103,915,0,0,0,92168538,63691,952302,4116,S,18600,0,8,0,444,376,0,0,15,3291684864,25574,1,803634,25574,20964,5,0
