#com.software.application
#./workspace/com.software.application_116/app1346.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:27:58.106562,605,127,650,510,938,0,0,0,237472,624,586717,734,S,15602,0,367,0,59,13,0,0,40,3555692544,47666,1,868115,47683,40564,5,0
2023-01-10 01:27:58.386222,618,130,654,510,938,0,0,0,239466,648,592423,764,S,15663,0,375,0,59,13,0,0,40,3555799040,47683,1,868115,48123,40860,5,0
2023-01-10 01:27:58.659547,623,135,657,510,938,0,0,0,241734,675,598585,795,S,15803,0,376,0,61,13,0,0,40,3555799040,48160,1,868159,48280,40906,5,0
2023-01-10 01:27:58.896536,629,136,659,510,938,0,0,0,244951,714,607365,837,S,15989,0,376,0,62,14,0,0,40,3555979264,48318,1,868159,48377,40946,5,0
2023-01-10 01:27:59.157040,638,137,662,510,938,0,0,0,246378,731,610060,856,S,16014,0,376,0,62,14,0,0,40,3555979264,48329,1,868159,48377,40946,5,0
2023-01-10 01:27:59.444296,645,140,665,510,938,0,0,0,248809,760,614986,889,S,16024,0,376,0,63,14,0,0,40,3555979264,48377,1,868199,48449,40954,5,0
2023-01-10 01:27:59.979524,674,147,670,510,939,0,0,0,252865,809,622967,942,S,16116,0,376,0,64,14,0,0,41,3557232640,48454,1,877073,48957,41423,5,0
2023-01-10 01:27:59.710293,667,145,669,510,939,0,0,0,253523,817,624402,949,S,16116,0,376,0,64,14,0,0,41,3557232640,48454,1,877073,48957,41423,5,0
2023-01-10 01:28:00.224451,703,148,676,510,939,0,0,0,256604,854,631232,990,S,16279,0,376,0,64,14,0,0,41,3592491008,48957,1,877073,50988,43454,5,0
2023-01-10 01:28:00.495017,719,150,678,510,939,0,0,0,258167,873,634766,1006,S,16371,0,377,0,64,14,0,0,41,3592491008,50988,1,877073,50984,43450,5,0
2023-01-10 01:28:00.764293,737,152,680,510,939,0,0,0,260407,900,638326,1036,S,16375,0,378,0,64,14,0,0,41,3592491008,50988,1,877117,51253,43637,5,0
2023-01-10 01:28:01.009242,773,159,693,510,939,0,0,0,264092,945,645745,1083,S,16604,0,386,0,66,15,0,0,41,3592941568,51561,0,878526,52005,44004,5,0
2023-01-10 01:28:01.271031,782,162,696,510,939,0,0,0,265835,966,649673,1106,S,16868,0,386,0,68,16,0,0,42,3594301440,51810,0,878632,52303,44117,5,0
2023-01-10 01:28:01.548137,798,170,701,510,939,0,0,0,267673,988,652854,1132,S,17533,0,386,0,70,16,0,0,43,3598880768,52303,0,878168,52489,44134,5,0
2023-01-10 01:28:01.799265,820,177,708,510,939,0,0,0,272107,1042,661573,1185,S,17817,0,386,0,71,17,0,0,41,3597172736,52568,0,878213,52595,44140,5,0
2023-01-10 01:28:02.059668,845,180,714,510,939,0,0,0,271521,1035,660120,1177,S,17825,0,386,0,72,17,0,0,41,3597160448,52595,0,878213,52595,44140,5,0
2023-01-10 01:28:02.325344,868,184,719,510,939,0,0,0,275141,1079,668260,1227,S,17825,0,386,0,72,17,0,0,41,3597160448,52595,0,878208,52445,44139,5,0
2023-01-10 01:28:02.599298,909,186,726,510,939,0,0,0,279577,1133,677329,1280,S,17825,0,386,0,72,17,0,0,40,3596038144,52484,0,878741,52577,44161,5,0
2023-01-10 01:28:03.115807,955,192,736,510,939,0,0,0,282164,1164,683010,1312,S,17952,0,388,0,73,17,0,0,41,3597193216,52446,0,878229,52617,44161,5,0
2023-01-10 01:28:02.840047,944,191,733,510,939,0,0,0,281074,1151,681022,1298,S,17907,0,388,0,73,17,0,0,41,3597160448,52446,0,878229,52628,44161,5,0
2023-01-10 01:28:03.376090,999,196,741,510,939,0,0,0,284916,1197,688187,1347,S,18079,0,388,0,74,18,0,0,41,3597225984,52617,0,878229,53043,44201,5,0
2023-01-10 01:28:03.631699,1001,197,743,510,939,0,0,0,286659,1218,690990,1368,S,18176,0,388,0,74,18,0,0,41,3597225984,52704,0,876676,51330,43500,5,0
2023-01-10 01:28:03.892368,1013,198,748,510,939,0,0,0,290597,1266,699647,1420,S,18522,0,388,0,76,18,0,0,41,3590864896,51330,0,877462,51381,43499,5,0
2023-01-10 01:28:04.153198,1023,199,750,510,939,0,0,0,290177,1260,698368,1415,S,18522,0,388,0,76,18,0,0,41,3590864896,51330,0,876128,51406,43499,5,0
2023-01-10 01:28:04.420207,1060,204,758,510,939,0,0,0,294256,1309,706684,1464,S,18586,0,388,0,76,18,0,0,42,3594084352,51381,0,876394,51407,43499,5,0
2023-01-10 01:28:04.665250,1091,208,766,510,939,0,0,0,297082,1342,711873,1497,S,18587,0,388,0,76,18,0,0,39,3588620288,51406,0,876942,51409,43499,5,0
