#com.some.common
#./workspace/com.some.common_0/app2231.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 04:54:49.388482,956,321,896,1806,1087,0,0,0,1311250,1618,675763,1060,S,101350,0,277,0,173,53,0,0,44,3605061632,62301,0,880142,62301,37642,5,0
2023-01-09 04:54:49.653923,969,322,901,1821,1087,0,0,0,1316108,1678,687982,1126,S,101356,0,277,0,173,53,0,0,44,3605061632,62301,0,880142,62301,37642,5,0
2023-01-09 04:54:49.919051,975,323,903,1822,1087,0,0,0,1318442,1706,693037,1161,S,101359,0,277,0,174,53,0,0,44,3605061632,62301,0,880408,62305,37642,5,0
2023-01-09 04:54:50.199453,979,327,906,1824,1087,0,0,0,1320124,1726,695986,1182,S,101479,0,279,0,175,53,0,0,45,3606122496,62301,1,880408,62305,37642,5,0
2023-01-09 04:54:50.456166,988,329,909,1824,1087,0,0,0,1322368,1753,700573,1211,S,101489,0,279,0,175,53,0,0,45,3606151168,62305,0,880408,62305,37642,5,0
2023-01-09 04:54:50.723009,997,331,912,1829,1087,0,0,0,1325414,1791,705472,1244,S,101489,0,279,0,176,54,0,0,45,3606151168,62305,0,880408,62427,37732,5,0
2023-01-09 04:54:50.963938,1012,332,915,1835,1088,0,0,0,1327252,1813,709664,1267,S,102091,0,279,0,178,54,0,0,45,3606151168,62427,1,880408,61891,37732,5,0
2023-01-09 04:54:51.230815,1037,332,919,1836,1088,0,0,0,1329676,1842,714570,1299,S,102091,0,279,0,179,54,0,0,45,3606151168,61891,0,880408,61891,37732,5,0
2023-01-09 04:54:51.500859,1059,332,923,1853,1088,0,0,0,1331986,1870,719272,1329,S,102091,0,279,0,179,54,0,0,45,3606151168,61891,1,880408,61891,37732,5,0
2023-01-09 04:54:51.761277,1088,332,926,1872,1088,0,0,0,1334560,1902,724040,1360,S,102092,0,279,0,179,54,0,0,45,3606151168,61891,0,880408,61891,37732,5,0
2023-01-09 04:54:52.015042,1112,335,929,1879,1089,0,0,0,1337026,1932,728874,1392,S,102092,0,279,0,179,54,0,0,45,3606151168,61891,0,880408,61891,37732,5,0
2023-01-09 04:54:52.283348,1140,336,934,1885,1089,0,0,0,1339666,1965,733463,1421,S,102092,0,279,0,180,54,0,0,45,3606151168,61891,0,880408,61891,37732,5,0
2023-01-09 04:54:52.534723,1156,336,936,1900,1089,0,0,0,1342042,1994,738298,1453,S,102092,0,279,0,180,54,0,0,45,3606151168,61891,0,880408,61891,37732,5,0
2023-01-09 04:54:52.797555,1173,336,938,1920,1089,0,0,0,1344970,2031,743289,1487,S,102092,0,279,0,180,54,0,0,45,3606151168,61891,0,880408,61891,37732,5,0
