#com.sylc.nmm.bradford
#./workspace/com.sylc.nmm.bradford_0/com.sylc.nmm.bradford.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:56:32.791074,907,242,704,1790,799,0,0,0,788394,1288,687419,1153,S,3897,0,4,0,9,2,0,0,12,3288694784,27284,0,802904,27284,22105,5,0
2023-01-11 02:56:33.327421,921,245,709,1790,799,0,0,0,790911,1318,693513,1194,S,3932,0,4,0,10,2,0,0,12,3288956928,27840,0,803128,28115,22928,5,0
2023-01-11 02:56:33.062164,916,244,707,1790,799,0,0,0,791313,1323,694858,1200,S,3897,0,4,0,10,2,0,0,12,3288694784,27284,0,803128,28115,22928,5,0
2023-01-11 02:56:33.590455,927,248,713,1790,799,0,0,0,794863,1366,703777,1252,S,4129,0,4,0,11,2,0,0,12,3289612288,28115,0,803128,28115,22928,5,0
2023-01-11 02:56:33.840017,936,251,719,1790,799,0,0,0,797561,1398,710256,1290,S,4129,0,4,0,11,2,0,0,12,3289612288,28115,0,803128,28115,22928,5,0
2023-01-11 02:56:34.106811,939,253,722,1790,799,0,0,0,799465,1421,713302,1314,S,4129,0,4,0,11,2,0,0,12,3289612288,28115,0,803128,28115,22928,5,0
2023-01-11 02:56:34.366151,944,257,726,1790,799,0,0,0,801827,1449,718107,1344,S,4140,0,4,0,12,2,0,0,12,3289612288,28208,0,803128,28093,23030,5,0
2023-01-11 02:56:34.632704,948,260,729,1795,799,0,0,0,804251,1478,724284,1380,S,4148,0,4,0,12,3,0,0,12,3289612288,28093,1,803128,28094,23031,5,0
2023-01-11 02:56:34.897560,955,260,733,1827,799,0,0,0,806651,1507,729136,1412,S,4153,0,4,0,13,3,0,0,12,3289612288,28094,1,803128,28094,23031,5,0
2023-01-11 02:56:35.147937,959,260,735,1854,799,0,0,0,809273,1539,734126,1445,S,4176,0,4,0,13,3,0,0,12,3289612288,28094,1,803128,28094,23031,5,0
2023-01-11 02:56:35.403418,964,260,739,1874,803,0,0,0,811469,1566,738462,1471,S,4184,0,4,0,14,3,0,0,12,3289612288,28094,0,803129,28094,23031,5,0
2023-01-11 02:56:35.669032,967,260,743,1916,806,0,0,0,813915,1596,743123,1501,S,4189,0,5,0,14,3,0,0,12,3289616384,28094,1,803129,28094,23031,5,0
2023-01-11 02:56:35.969153,975,261,748,1938,806,0,0,0,816291,1625,747820,1531,S,4193,0,5,0,15,3,0,0,12,3289616384,28094,0,803129,28094,23031,5,0
2023-01-11 02:56:36.209281,987,261,752,1968,806,0,0,0,818823,1656,752763,1564,S,4193,0,5,0,16,3,0,0,12,3289616384,28094,1,803161,28095,23031,5,0
2023-01-11 02:56:36.474478,995,261,757,1998,806,0,0,0,821223,1685,758851,1599,S,4223,0,5,0,17,4,0,0,12,3289747456,28095,0,803161,28096,23031,5,0
2023-01-11 02:56:36.736953,1003,261,765,2023,806,0,0,0,824008,1719,764227,1637,S,4389,0,5,0,17,5,0,0,12,3289149440,28164,0,803088,28230,23153,5,0
2023-01-11 02:56:36.992780,1032,261,773,2031,806,0,0,0,826228,1746,768649,1664,S,4480,0,5,0,17,6,0,0,12,3289448448,28230,1,803088,28230,23153,5,0
2023-01-11 02:56:37.244053,1041,261,778,2048,806,0,0,0,828826,1778,774205,1701,S,4498,0,5,0,18,6,0,0,12,3289448448,28230,0,803088,28296,23180,5,0
2023-01-11 02:56:37.503501,1048,262,782,2082,806,0,0,0,831292,1808,779737,1738,S,4512,0,5,0,18,6,0,0,12,3289448448,28296,0,803088,28296,23180,5,0
2023-01-11 02:56:37.768902,1059,262,787,2110,806,0,0,0,833890,1840,785228,1774,S,4559,0,5,0,18,7,0,0,12,3289448448,28296,0,803088,28296,23180,5,0
2023-01-11 02:56:38.043025,1067,262,791,2141,806,0,0,0,836422,1871,791294,1809,S,4638,0,5,0,20,7,0,0,12,3289747456,28361,0,803161,28389,23253,5,0
2023-01-11 02:56:38.299574,1083,262,800,2156,806,0,0,0,838888,1901,796413,1845,S,4657,0,5,0,20,8,0,0,12,3289747456,28389,1,803161,28389,23253,5,0
2023-01-11 02:56:38.555016,1093,262,803,2190,806,0,0,0,841420,1932,801244,1877,S,4669,0,5,0,20,8,0,0,12,3289747456,28389,0,803161,28057,23310,5,0
2023-01-11 02:56:38.810554,1100,263,808,2220,806,0,0,0,844150,1966,806141,1910,S,4815,0,5,0,21,8,0,0,12,3289747456,28057,1,803161,28122,23310,5,0
2023-01-11 02:56:39.071391,1112,267,816,2242,807,0,0,0,846172,1990,811829,1940,S,4827,0,5,0,21,8,0,0,12,3289747456,28122,1,803161,28122,23310,5,0
2023-01-11 02:56:39.327372,1123,268,822,2260,807,0,0,0,848902,2024,816768,1974,S,4834,0,5,0,21,8,0,0,12,3289747456,28122,1,803161,28122,23310,5,0
2023-01-11 02:56:39.592749,1133,282,829,2278,809,0,0,0,852308,2066,823696,2018,S,4848,0,5,0,22,8,0,0,12,3289747456,28122,1,803161,28122,23310,5,0
2023-01-11 02:56:39.848472,1152,283,834,2279,809,0,0,0,853768,2083,826472,2039,S,4867,0,5,0,22,8,0,0,12,3289747456,28122,1,803161,28122,23310,5,0
