#com.talkweb.ycya
#./workspace/com.talkweb.ycya_1/app2271.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:49:04.190419,1325,646,1088,1127,851,0,0,0,73160539,50285,851429,3462,R,3383,0,1,0,4,4,0,0,13,3289874432,23993,0,803986,27114,21900,5,0
2023-01-11 02:49:04.456307,1335,646,1092,1127,851,0,0,0,73160383,50283,850449,3460,S,3390,0,1,0,4,4,0,0,13,3289874432,23993,0,805295,29105,23779,5,0
2023-01-11 02:49:04.731129,1344,649,1097,1127,851,0,0,0,73163399,50319,857779,3500,D,4170,0,3,0,5,5,0,0,14,3293126656,27114,0,804722,28302,22969,5,0
2023-01-11 02:49:04.980999,1367,653,1106,1127,851,0,0,0,73167121,50363,866341,3544,S,5762,0,4,0,7,7,0,0,14,3299143680,29363,0,804722,28302,22969,5,0
2023-01-11 02:49:05.237385,1372,654,1109,1127,851,0,0,0,73167433,50367,867597,3549,S,5798,0,4,0,8,7,0,0,13,3300118528,29517,0,804722,28302,22969,5,0
2023-01-11 02:49:05.759289,1388,656,1113,1127,851,0,0,0,73169864,50396,872478,3580,S,5810,0,4,0,8,7,0,0,14,3296141312,28302,0,804722,28302,22969,5,0
2023-01-11 02:49:05.497195,1387,656,1113,1127,851,0,0,0,73169864,50396,872388,3579,S,5810,0,4,0,8,7,0,0,14,3296141312,28302,0,804722,28302,22969,5,0
2023-01-11 02:49:06.004419,1391,658,1116,1127,851,0,0,0,73173628,50441,879752,3629,S,5810,0,4,0,8,7,0,0,14,3296141312,28302,0,804722,28302,22969,5,0
2023-01-11 02:49:06.280467,1396,665,1125,1127,851,0,0,0,73176529,50476,885900,3663,S,5810,0,4,0,8,7,0,0,14,3296141312,28302,0,804722,28302,22969,5,0
2023-01-11 02:49:06.552988,1410,671,1132,1127,851,0,0,0,73178248,50497,888569,3682,S,5811,0,4,0,10,7,0,0,14,3296141312,28302,1,804722,28302,22969,5,0
2023-01-11 02:49:06.802843,1428,675,1139,1127,851,0,0,0,73181485,50536,895782,3726,S,5811,0,4,0,11,7,0,0,14,3296141312,28302,1,804722,28302,22969,5,0
2023-01-11 02:49:07.047468,1433,676,1142,1127,851,0,0,0,73182074,50543,897260,3734,S,5811,0,4,0,11,7,0,0,14,3296141312,28302,1,804722,28302,22969,5,0
2023-01-11 02:49:07.337656,1437,682,1147,1127,851,0,0,0,73185085,50578,904040,3775,S,5813,0,4,0,11,7,0,0,14,3296141312,28302,1,804786,28302,22969,5,0
2023-01-11 02:49:07.598120,1440,684,1150,1127,851,0,0,0,73186020,50589,905838,3784,S,5813,0,4,0,11,7,0,0,14,3296141312,28302,1,804786,28302,22969,5,0
2023-01-11 02:49:07.845383,1442,691,1155,1127,851,0,0,0,73188864,50624,911009,3819,S,5820,0,4,0,11,7,0,0,14,3296403456,28302,1,804786,28302,22969,5,0
2023-01-11 02:49:08.120172,1447,699,1160,1127,851,0,0,0,73192507,50668,918472,3865,S,5842,0,4,0,11,7,0,0,14,3296403456,28302,1,804786,28302,22969,5,0
2023-01-11 02:49:08.378586,1452,700,1162,1127,851,0,0,0,73193532,50680,920358,3878,S,5842,0,4,0,11,7,0,0,14,3296403456,28302,1,804786,28302,22969,5,0
2023-01-11 02:49:08.652473,1453,705,1165,1127,851,0,0,0,73196334,50714,925709,3915,S,5842,0,4,0,11,7,0,0,14,3296403456,28302,1,804786,28302,22969,5,0
