#com.tallsnail.oakland
#./workspace/com.tallsnail.oakland_0/com.tallsnail.oakland.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:03:09.787391,746,293,819,1782,1206,0,0,0,680558,920,659304,803,S,10219,1520,203,0,15,12,0,1,40,3347050496,41611,1,817151,41611,34467,5,0
2023-01-10 01:03:09.511466,752,294,821,1782,1206,0,0,0,680558,920,659304,803,S,10219,1520,203,0,15,12,0,1,40,3347050496,41611,1,817151,41611,34467,5,0
2023-01-10 01:03:10.043003,752,294,821,1782,1206,0,0,0,682307,941,662898,824,S,10221,1520,203,0,15,12,0,1,40,3347050496,41611,1,817151,41611,34467,5,0
2023-01-10 01:03:10.303793,762,296,827,1782,1206,0,0,0,685719,982,670065,866,S,10233,1520,203,0,15,12,0,1,40,3347050496,41611,1,817152,41616,34619,5,0
2023-01-10 01:03:10.570971,773,296,831,1783,1209,0,0,0,687959,1009,674823,896,R,10298,1520,214,0,15,13,0,1,40,3348234240,41822,1,820263,42979,35694,5,0
2023-01-10 01:03:10.842218,778,299,834,1784,1210,0,0,0,690605,1041,679850,929,S,11405,1520,217,0,17,14,0,1,43,3361894400,42929,0,821048,43848,36485,5,0
2023-01-10 01:03:11.095363,791,300,837,1784,1210,0,0,0,693203,1073,684751,962,S,12901,1520,221,0,24,14,0,1,43,3363536896,43932,0,821432,44638,37218,5,0
2023-01-10 01:03:11.356062,804,301,841,1789,1210,0,0,0,695603,1102,689610,994,S,13170,1520,221,0,29,14,0,1,43,3363536896,44621,0,821176,44709,37234,5,0
2023-01-10 01:03:11.621589,821,301,845,1798,1210,0,0,0,697955,1131,694067,1021,S,13888,1520,223,0,37,15,0,1,43,3363635200,44927,0,821176,44977,37337,5,0
2023-01-10 01:03:11.870233,850,302,850,1800,1210,0,0,0,700421,1161,699034,1055,S,13991,1520,223,0,39,16,0,1,43,3363536896,44991,0,821432,45033,37354,5,0
2023-01-10 01:03:12.136018,882,303,857,1801,1210,0,0,0,704082,1206,706055,1100,S,14387,1520,225,0,44,17,0,1,43,3363536896,45046,0,821176,45031,37345,5,0
2023-01-10 01:03:12.406929,903,303,860,1802,1210,0,0,0,705419,1222,708707,1119,S,14419,1520,225,0,45,18,0,1,43,3363536896,45031,0,821176,45077,37351,5,0
2023-01-10 01:03:12.662974,926,304,864,1807,1210,0,0,0,708107,1255,713856,1155,S,14765,1520,225,0,50,19,0,1,43,3363536896,45179,1,821176,45146,37347,5,0
2023-01-10 01:03:12.918299,956,304,870,1816,1210,0,0,0,710573,1285,718849,1189,S,15045,1520,225,0,57,20,0,1,43,3363536896,45254,0,821176,45282,37369,5,0
2023-01-10 01:03:13.188857,978,305,877,1824,1211,0,0,0,713063,1315,724154,1227,S,15496,1520,225,0,61,22,0,1,43,3366682624,45316,1,821688,45369,37383,5,0
2023-01-10 01:03:13.456346,1002,305,884,1833,1211,0,0,0,715883,1350,729173,1261,R,16094,1520,225,0,67,26,0,1,43,3365634048,45126,1,821688,45248,37511,5,0
2023-01-10 01:03:13.711801,1025,306,894,1841,1211,0,0,0,718349,1380,734123,1294,R,16718,1520,225,0,71,29,0,1,43,3365634048,45161,1,821688,45119,37466,5,0
2023-01-10 01:03:13.983356,1054,307,901,1852,1211,0,0,0,721013,1413,739142,1328,S,17156,1520,225,0,76,32,0,1,43,3365634048,45228,1,821944,45239,37479,5,0
2023-01-10 01:03:14.226239,1073,308,906,1858,1211,0,0,0,723611,1445,744092,1361,R,17424,1520,225,0,80,34,0,1,43,3365634048,45296,1,821688,45262,37474,5,0
2023-01-10 01:03:14.496853,1096,308,913,1868,1211,0,0,0,726119,1476,748751,1391,S,18167,1520,225,0,86,36,0,1,43,3366158336,45354,1,821816,45303,37458,5,0
2023-01-10 01:03:14.752454,1119,308,919,1877,1212,0,0,0,729047,1513,753563,1423,R,18409,1520,225,0,91,39,0,1,43,3366158336,45317,0,822072,45392,37467,5,0
2023-01-10 01:03:15.031128,1147,309,927,1887,1213,0,0,0,731663,1546,758156,1452,S,18704,1520,225,0,97,40,0,1,43,3366158336,45408,0,821816,45440,37447,5,0
2023-01-10 01:03:15.283063,1174,309,933,1896,1213,0,0,0,734285,1578,763284,1487,S,19017,1520,225,0,102,42,0,1,43,3366158336,45461,0,821816,45514,37471,5,0
2023-01-10 01:03:15.543547,1197,309,941,1900,1213,0,0,0,736661,1607,767926,1516,S,19070,1520,225,0,104,43,0,1,43,3366158336,45514,0,822072,45719,37581,5,0
2023-01-10 01:03:15.814171,1224,321,951,1906,1213,0,0,0,740544,1655,775834,1564,S,19372,1520,225,0,109,44,0,1,43,3366158336,45687,1,821816,45741,37572,5,0
