#com.tempreminder
#./workspace/com.tempreminder_0/com.tempreminder.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:05:23.541996,940,358,868,1715,1152,0,0,0,976671,1170,687650,858,S,16001,0,3,0,30,7,0,0,16,3354537984,42533,1,818979,42533,26236,5,0
2023-01-10 05:05:23.837594,951,359,872,1733,1152,0,0,0,979515,1205,692935,894,S,16043,0,4,0,31,7,0,0,16,3354537984,42691,0,818979,42691,26337,5,0
2023-01-10 05:05:24.111162,956,360,874,1764,1152,0,0,0,982599,1244,697859,926,S,16046,0,4,0,32,7,0,0,16,3354537984,42691,1,818979,42691,26337,5,0
2023-01-10 05:05:24.383709,958,360,875,1811,1153,0,0,0,985437,1280,702489,955,S,16920,0,4,0,35,7,0,0,16,3354542080,42510,0,818994,42640,26469,5,0
2023-01-10 05:05:24.640688,982,361,880,1822,1153,0,0,0,988233,1315,707275,986,S,17053,0,5,0,39,7,0,0,16,3354599424,42640,1,818994,42640,26469,5,0
2023-01-10 05:05:24.911326,1007,361,885,1835,1153,0,0,0,990675,1345,712104,1018,S,17090,0,5,0,43,7,0,0,16,3354599424,42670,1,818994,42670,26469,5,0
2023-01-10 05:05:25.166644,1033,366,890,1841,1153,0,0,0,992961,1373,716687,1047,S,17362,0,5,0,48,7,0,0,16,3359727616,39909,0,820246,39909,27362,5,0
2023-01-10 05:05:25.447459,1051,366,896,1848,1153,0,0,0,995337,1402,721360,1077,S,17370,0,5,0,48,7,0,0,16,3359727616,39909,0,820246,39909,27362,5,0
2023-01-10 05:05:25.704152,1084,366,903,1857,1153,0,0,0,998067,1436,726189,1109,S,17371,0,6,0,49,7,0,0,16,3359727616,39909,0,820246,39910,27362,5,0
2023-01-10 05:05:25.962649,1088,367,904,1878,1153,0,0,0,1000623,1467,731379,1145,S,17434,0,6,0,49,7,0,0,16,3359727616,39910,0,821020,39671,27352,5,0
2023-01-10 05:05:26.227655,1107,367,909,1903,1153,0,0,0,1003089,1497,736262,1177,S,17558,0,6,0,52,7,0,0,17,3362897920,39671,0,821020,39671,27352,5,0
2023-01-10 05:05:26.475563,1127,367,911,1920,1153,0,0,0,1005333,1524,740896,1206,S,17558,0,6,0,52,7,0,0,17,3362897920,39671,1,821052,39704,27384,5,0
2023-01-10 05:05:26.725634,1141,367,912,1944,1153,0,0,0,1008285,1561,746088,1242,S,17789,0,6,0,52,7,0,0,17,3363028992,39704,1,821056,40605,27391,5,0
2023-01-10 05:05:27.001312,1155,367,915,1968,1154,0,0,0,1010727,1591,750855,1273,S,18989,0,7,0,71,7,0,0,17,3363094528,40605,0,821076,40788,27466,5,0
2023-01-10 05:05:27.261688,1186,367,917,1986,1154,0,0,0,1013457,1625,756000,1309,S,19017,0,7,0,80,8,0,0,17,3363258368,40788,0,821108,40788,27466,5,0
