#com.thiendialuan.kymon
#./workspace/com.thiendialuan.kymon_0/com.thiendialuan.kymon.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:19:04.892236,895,318,873,1935,1171,0,0,0,712998,916,643012,769,S,17873,0,216,0,38,15,0,0,44,3382489088,52748,0,825809,52748,38267,5,0
2023-01-10 01:19:04.610923,891,318,871,1935,1171,0,0,0,713587,923,644489,777,S,17876,0,216,0,39,15,0,0,44,3382497280,52748,0,825809,52748,38267,5,0
2023-01-10 01:19:05.148912,899,320,876,1935,1171,0,0,0,716267,955,650852,810,S,17936,0,220,0,48,16,0,0,44,3384250368,52867,0,827585,54460,39004,5,0
2023-01-10 01:19:05.398304,908,321,882,1935,1172,0,0,0,719229,991,657311,848,S,20099,0,228,0,64,19,0,0,44,3393572864,55567,1,828653,56198,40388,5,0
2023-01-10 01:19:05.663747,913,322,885,1936,1172,0,0,0,721133,1014,660452,873,S,20125,0,228,0,66,19,0,0,43,3392450560,55705,1,829604,56977,40916,5,0
2023-01-10 01:19:05.937922,919,323,890,1936,1173,0,0,0,723575,1044,665194,904,S,22266,0,244,0,79,21,0,0,44,3402727424,58183,0,830474,58221,42074,5,0
2023-01-10 01:19:06.193064,929,324,893,1944,1174,0,0,0,726485,1080,670422,939,S,22616,0,244,0,89,22,0,0,42,3400499200,58236,0,830200,58236,42074,5,0
2023-01-10 01:19:06.448405,933,326,895,1980,1174,0,0,0,729437,1117,675417,972,S,22617,0,244,0,89,22,0,0,42,3400499200,58236,0,830200,58236,42074,5,0
2023-01-10 01:19:06.708781,935,326,897,2020,1175,0,0,0,732365,1154,680313,1005,R,22734,0,245,0,90,22,0,0,42,3400499200,58345,0,830200,57564,42175,5,0
2023-01-10 01:19:06.991812,960,327,903,2035,1175,0,0,0,735185,1189,685351,1039,S,23379,0,245,0,95,24,0,0,42,3400499200,57564,0,830200,57564,42175,5,0
2023-01-10 01:19:07.242356,983,327,907,2044,1175,0,0,0,738081,1224,690695,1076,S,23510,0,245,0,101,25,0,0,42,3400499200,57566,0,829740,56489,40991,5,0
2023-01-10 01:19:07.492591,1018,328,913,2047,1175,0,0,0,740169,1249,694906,1100,R,23764,0,245,0,104,26,0,0,43,3403718656,57688,0,828888,56515,40974,5,0
2023-01-10 01:19:07.750938,1044,328,920,2047,1175,0,0,0,742385,1276,699636,1130,S,23837,0,245,0,111,27,0,0,42,3394002944,56528,0,828614,56528,40974,5,0
2023-01-10 01:19:08.022299,1049,329,924,2069,1175,0,0,0,745271,1312,705938,1167,S,23847,0,245,0,112,27,0,0,42,3394002944,56528,0,828614,56529,40974,5,0
2023-01-10 01:19:08.287988,1056,329,926,2103,1175,0,0,0,747671,1341,710825,1199,S,23924,0,245,0,116,27,0,0,42,3394002944,56529,1,828614,56529,40974,5,0
2023-01-10 01:19:08.553592,1067,330,929,2144,1175,0,0,0,750269,1373,715778,1232,S,23960,0,245,0,118,27,0,0,42,3394002944,56529,1,828616,55861,40974,5,0
2023-01-10 01:19:08.818996,1095,330,934,2151,1175,0,0,0,753155,1409,720731,1265,S,25015,0,245,0,133,27,0,0,42,3394011136,55861,1,828616,55861,40974,5,0
2023-01-10 01:19:09.066671,1116,330,937,2163,1175,0,0,0,755267,1434,725348,1294,S,25017,0,245,0,142,27,0,0,42,3394011136,55861,0,828616,55861,40974,5,0
2023-01-10 01:19:09.321866,1122,330,939,2195,1176,0,0,0,758021,1468,730527,1330,S,25019,0,245,0,143,27,0,0,42,3394011136,55861,0,828616,55861,40974,5,0
2023-01-10 01:19:09.587507,1132,331,942,2234,1177,0,0,0,760775,1502,735858,1368,S,25060,0,245,0,145,27,0,0,43,3395100672,55862,1,828882,55863,40974,5,0
2023-01-10 01:19:09.842880,1136,331,944,2274,1177,0,0,0,763307,1533,740679,1399,S,25111,0,245,0,147,27,0,0,43,3395100672,55863,0,828882,55863,40974,5,0
2023-01-10 01:19:10.098198,1143,331,946,2312,1177,0,0,0,766061,1567,745584,1432,S,25131,0,245,0,150,27,0,0,43,3395100672,55863,0,828882,55863,40974,5,0
2023-01-10 01:19:10.368974,1154,331,949,2344,1177,0,0,0,769013,1604,750561,1465,S,25175,0,245,0,163,27,0,0,43,3395100672,55235,0,828882,55235,40974,5,0
2023-01-10 01:19:10.637092,1177,332,951,2365,1178,0,0,0,771965,1641,755802,1502,S,25175,0,245,0,167,27,0,0,43,3395100672,55235,0,828882,55297,40971,5,0
2023-01-10 01:19:10.902355,1184,341,955,2388,1180,0,0,0,774591,1673,760641,1534,S,25191,0,245,0,171,27,0,0,43,3395100672,55297,0,828882,55282,40971,5,0
