#com.totalreup.h20monthly
#./workspace/com.totalreup.h20monthly_0/com.totalreup.h20monthly.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:00:46.543219,431,92,598,495,907,0,0,0,388516,764,586661,775,S,13884,0,341,0,15,11,0,0,41,3377950720,48008,1,826140,49407,36361,5,0
2023-01-09 03:00:46.813857,440,93,603,495,908,0,0,0,391478,800,592837,808,S,15358,0,342,0,16,11,0,0,41,3383926784,49407,1,826154,49380,36391,5,0
2023-01-09 03:00:47.073185,446,94,605,495,908,0,0,0,393472,824,597285,835,S,15358,0,342,0,16,12,0,0,41,3383926784,49380,1,826155,49196,36391,5,0
2023-01-09 03:00:47.327974,450,96,607,495,908,0,0,0,395560,849,601643,861,S,15390,0,347,0,16,12,0,0,41,3383930880,49196,1,826677,49197,36391,5,0
2023-01-09 03:00:47.583966,454,100,611,495,913,0,0,0,398272,882,608343,902,S,15397,0,348,0,17,12,0,0,42,3386068992,49197,1,826744,49319,36771,5,0
2023-01-09 03:00:47.852392,461,102,616,495,927,0,0,0,400780,913,613151,934,S,15551,0,350,0,18,13,0,0,42,3386343424,49319,1,827802,49320,36771,5,0
2023-01-09 03:00:48.112722,465,105,622,495,928,0,0,0,402934,939,617468,959,S,15666,0,353,0,18,14,0,0,45,3390676992,49696,1,827802,49800,37211,5,0
2023-01-09 03:00:48.398659,470,110,627,495,936,0,0,0,405827,975,622175,989,S,15714,0,358,0,19,14,0,0,45,3390676992,49800,0,827802,49800,37211,5,0
2023-01-09 03:00:48.653354,480,114,633,495,940,0,0,0,408401,1007,626781,1018,S,15739,0,359,0,20,14,0,0,45,3390693376,49831,0,827826,49929,37309,5,0
2023-01-09 03:00:48.936386,497,124,643,495,940,0,0,0,410867,1037,631683,1051,S,15801,0,361,0,21,14,0,0,46,3390775296,49929,1,827826,49929,37309,5,0
2023-01-09 03:00:49.172902,511,135,653,495,944,0,0,0,413333,1067,636669,1085,S,15886,0,362,0,21,14,0,0,46,3390906368,49987,1,827858,50004,37379,5,0
2023-01-09 03:00:49.453142,524,145,664,495,946,0,0,0,415931,1099,641365,1115,S,15931,0,362,0,22,14,0,0,46,3390906368,50004,1,827858,50004,37379,5,0
2023-01-09 03:00:49.725100,530,164,672,495,946,0,0,0,418661,1133,646169,1147,S,16032,0,362,0,22,14,0,0,46,3390906368,50004,1,827858,50004,37379,5,0
2023-01-09 03:00:49.985622,541,176,684,496,948,0,0,0,421391,1167,651244,1182,S,17128,0,363,0,25,14,0,0,45,3393994752,50942,1,837041,57390,38648,5,0
2023-01-09 03:00:50.250906,564,184,697,496,948,0,0,0,423923,1198,655917,1212,S,24789,0,379,0,46,15,0,0,47,3432869888,58551,1,838111,58994,38728,5,0
2023-01-09 03:00:50.514996,583,188,709,497,948,0,0,0,426365,1228,660589,1242,S,25466,0,379,0,53,16,0,0,47,3432902656,58995,1,838111,58995,38728,5,0
2023-01-09 03:00:50.761530,593,197,719,497,949,0,0,0,428873,1259,665173,1271,S,25501,0,379,0,53,17,0,0,46,3431780352,58996,1,837933,58544,38745,5,0
2023-01-09 03:00:51.031684,607,207,733,497,950,0,0,0,430871,1283,669248,1293,S,25683,0,379,0,54,17,0,0,46,3432173568,58544,1,837933,57905,38761,5,0
2023-01-09 03:00:51.297109,624,215,740,498,952,0,0,0,433535,1316,675247,1327,S,26036,0,379,0,65,18,0,0,46,3432697856,57938,1,838061,57970,38837,5,0
2023-01-09 03:00:51.552528,642,220,747,499,952,0,0,0,435845,1344,679921,1357,S,26191,0,379,0,70,18,0,0,46,3432697856,56185,1,838061,56201,38853,5,0
2023-01-09 03:00:51.818039,653,231,759,506,953,0,0,0,438731,1380,684907,1391,S,26220,0,380,0,70,18,0,0,46,3432697856,56201,1,838061,56218,38869,5,0
2023-01-09 03:00:52.074117,664,241,767,510,953,0,0,0,440999,1407,689696,1422,S,26367,0,380,0,71,18,0,0,46,3429421056,56246,1,837261,56246,38848,5,0
2023-01-09 03:00:52.329391,668,245,772,511,953,0,0,0,443795,1442,694574,1454,S,26384,0,380,0,71,18,0,0,46,3429421056,56245,1,837261,56245,38848,5,0
2023-01-09 03:00:52.591950,678,249,778,513,956,0,0,0,446549,1476,699584,1488,S,26506,0,381,0,72,18,0,0,46,3429421056,56261,1,837261,56357,38949,5,0
2023-01-09 03:00:52.847415,687,253,783,514,957,0,0,0,448949,1505,704282,1518,S,26620,0,381,0,73,18,0,0,46,3429421056,56357,0,837261,56357,38949,5,0
2023-01-09 03:00:53.103459,707,258,790,517,957,0,0,0,451259,1533,708866,1547,S,26621,0,381,0,73,18,0,0,46,3429421056,56357,0,837261,56357,38949,5,0
2023-01-09 03:00:53.363892,729,264,796,517,957,0,0,0,453593,1561,713654,1578,S,26621,0,381,0,73,19,0,0,46,3429421056,56357,0,837261,56357,38949,5,0
2023-01-09 03:00:53.631153,746,273,804,520,957,0,0,0,456125,1592,718640,1612,S,26645,0,381,0,73,19,0,0,46,3429421056,56357,0,837261,56357,38949,5,0
2023-01-09 03:00:53.886221,760,278,816,527,972,0,0,0,458987,1628,723560,1645,S,26660,0,381,0,74,19,0,0,46,3429421056,56357,0,837261,56357,38949,5,0
2023-01-09 03:00:54.161750,775,284,827,528,977,0,0,0,461231,1655,728301,1676,S,26773,0,381,0,75,20,0,0,46,3429421056,56358,0,837261,56346,38949,5,0
2023-01-09 03:00:54.415982,788,294,835,528,978,0,0,0,463721,1685,733510,1713,S,26798,0,381,0,76,20,0,0,46,3429421056,56346,0,837261,56346,38949,5,0
2023-01-09 03:00:54.686657,803,300,846,528,983,0,0,0,466121,1714,738341,1745,S,26822,0,381,0,76,20,0,0,46,3429421056,56346,1,837261,56380,38981,5,0
2023-01-09 03:00:54.951972,819,310,857,528,986,0,0,0,468563,1744,742993,1775,S,26931,0,381,0,77,20,0,0,46,3429421056,56380,1,837261,56411,39012,5,0
2023-01-09 03:00:55.217808,837,318,867,529,987,0,0,0,471251,1777,748005,1809,S,27201,0,381,0,79,21,0,0,46,3429421056,56434,1,837261,56432,39026,5,0
