#com.totmarketing.lg.lge739
#./workspace/com.totmarketing.lg.lge739_0/com.totmarketing.lg.lge739.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:09:54.435276,923,318,887,1965,1213,0,0,0,91372,761,666284,988,S,3598,721,8,3,2,2,0,0,17,3292774400,26921,1,803900,26921,22097,5,0
2023-01-10 02:09:54.716385,930,321,890,1965,1213,0,0,0,94372,798,672893,1027,S,3601,721,8,3,3,2,0,0,17,3292774400,26921,1,803900,26987,22161,5,0
2023-01-10 02:09:54.964022,940,323,893,1965,1213,0,0,0,96574,824,677328,1053,S,3602,721,8,3,3,2,0,0,17,3292774400,26987,1,803762,26930,22099,5,0
2023-01-10 02:09:55.234636,949,325,897,1968,1213,0,0,0,99290,857,682169,1085,S,3624,721,9,3,3,2,0,0,17,3292209152,26930,0,803762,26930,22099,5,0
2023-01-10 02:09:55.500269,958,326,900,1968,1213,0,0,0,101576,885,686464,1110,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:55.765349,963,327,902,1969,1213,0,0,0,103431,907,690669,1134,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:56.010090,973,328,905,1973,1213,0,0,0,105495,932,694940,1159,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:56.290803,984,330,909,1978,1214,0,0,0,108093,964,699824,1190,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:56.540994,994,330,911,1981,1214,0,0,0,110271,990,704275,1217,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:56.800224,999,332,913,1983,1214,0,0,0,112761,1020,709170,1250,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:57.060847,1019,334,917,1987,1214,0,0,0,115581,1055,714066,1283,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:57.325943,1042,334,921,1999,1214,0,0,0,117915,1083,718897,1315,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:57.591488,1063,334,924,2006,1215,0,0,0,119937,1107,723806,1348,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802932,26187,21348,5,0
2023-01-10 02:09:57.857076,1086,334,928,2026,1216,0,0,0,122157,1134,728367,1377,S,3628,721,9,3,3,2,0,0,17,3288809472,26187,0,802996,26187,21348,5,0
2023-01-10 02:09:58.122556,1120,334,931,2043,1216,0,0,0,124509,1163,733558,1410,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:09:58.388703,1143,335,934,2044,1216,0,0,0,126843,1191,738959,1445,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:09:58.644768,1171,335,940,2049,1216,0,0,0,128955,1216,744336,1480,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:09:58.899992,1193,335,942,2061,1216,0,0,0,131505,1248,750042,1511,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:09:59.165437,1228,336,946,2065,1216,0,0,0,133881,1277,754609,1539,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:09:59.431005,1253,336,949,2067,1216,0,0,0,135903,1301,759038,1566,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:09:59.669425,1273,337,953,2075,1216,0,0,0,138303,1330,763851,1597,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:09:59.953937,1302,337,957,2090,1216,0,0,0,141217,1366,769942,1632,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:10:00.188981,1325,337,961,2093,1217,0,0,0,142965,1387,774282,1658,S,3635,721,9,3,3,2,0,0,17,3289071616,26187,0,802996,26187,21348,5,0
2023-01-10 02:10:00.459412,1356,337,965,2098,1217,0,0,0,145747,1421,779009,1688,S,3669,721,9,3,3,2,0,0,17,3289071616,26188,0,804156,27865,23151,5,0
2023-01-10 02:10:00.725125,1388,339,972,2100,1217,0,0,0,148171,1450,784948,1718,S,5313,1443,10,3,6,3,1,0,17,3293822976,27865,0,804156,27865,23151,5,0
2023-01-10 02:10:00.985915,1409,341,976,2100,1217,0,0,0,150439,1477,789808,1750,S,5313,1443,10,3,6,3,1,0,17,3293822976,27865,0,804156,27865,23151,5,0
2023-01-10 02:10:01.240070,1429,344,980,2100,1217,0,0,0,152097,1497,792611,1771,S,5313,1443,10,3,6,3,1,0,17,3293822976,27865,0,804156,27865,23151,5,0
2023-01-10 02:10:01.508147,1464,349,985,2101,1217,0,0,0,154969,1532,798790,1805,S,5313,1443,10,3,6,3,1,0,17,3293822976,27865,0,804156,27865,23151,5,0
2023-01-10 02:10:01.758343,1484,350,988,2101,1217,0,0,0,156807,1554,803338,1836,S,5313,1443,10,3,6,3,1,0,17,3293822976,27865,0,804156,27865,23151,5,0
