#com.trackingtec.hearttracker
#./workspace/com.trackingtec.hearttracker_0/com.trackingtec.hearttracker.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-08 23:06:21.518956,1012,329,889,1699,1153,0,0,0,258746,617,596946,733,S,11660,0,10,0,43,11,0,0,16,3322327040,38021,1,811115,38021,26547,5,0
2023-01-08 23:06:21.794339,1021,330,893,1699,1153,0,0,0,260636,639,603181,766,S,11661,0,10,0,43,11,0,0,16,3322327040,38021,1,811115,38021,26547,5,0
2023-01-08 23:06:22.043828,1026,332,895,1700,1153,0,0,0,263036,668,609320,800,S,12086,0,10,0,44,11,0,0,16,3324026880,38510,1,811530,38510,26972,5,0
2023-01-08 23:06:22.294083,1030,335,898,1722,1153,0,0,0,265502,698,614067,830,S,12105,0,10,0,44,11,0,0,16,3324026880,38510,1,811530,38510,26972,5,0
2023-01-08 23:06:22.554512,1032,335,900,1766,1153,0,0,0,268544,736,619337,865,S,12107,0,10,0,44,11,0,0,16,3324026880,38510,1,811530,38510,26972,5,0
2023-01-08 23:06:22.815021,1039,336,903,1800,1153,0,0,0,271340,771,624106,896,R,12107,0,10,0,44,11,0,0,16,3324026880,38510,1,811530,38510,26972,5,0
2023-01-08 23:06:23.080722,1048,338,906,1828,1153,0,0,0,274424,810,630310,932,S,12129,0,10,0,44,11,0,0,16,3324026880,38510,1,811530,38510,26972,5,0
2023-01-08 23:06:23.326140,1050,338,907,1861,1158,0,0,0,277088,843,635124,963,S,12129,0,10,0,44,11,0,0,16,3324026880,38510,1,811530,38510,26972,5,0
2023-01-08 23:06:23.601914,1053,338,909,1909,1158,0,0,0,280106,881,640070,996,S,12135,0,10,0,45,11,0,0,16,3324026880,38510,0,811537,38643,27064,5,0
2023-01-08 23:06:23.862510,1065,339,912,1928,1158,0,0,0,282572,911,644795,1026,S,13363,0,12,0,53,13,0,0,16,3324055552,38677,0,811537,38677,27096,5,0
