#com.ummahnet.isgh
#./workspace/com.ummahnet.isgh_0/com.ummahnet.isgh.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:21:08.626450,976,295,862,1798,1096,0,0,0,1040882,1395,670962,1010,S,16994,0,204,0,30,8,0,0,39,3389308928,50561,0,827520,50837,37053,5,0
2023-01-10 02:21:08.897492,984,296,865,1798,1096,0,0,0,1042564,1415,673922,1033,S,17424,0,206,0,31,9,0,0,44,3389521920,50837,0,827520,50833,37049,5,0
2023-01-10 02:21:09.165179,989,299,869,1798,1096,0,0,0,1045030,1445,678755,1065,S,17438,0,206,0,31,9,0,0,44,3389521920,50833,0,827520,50833,37049,5,0
2023-01-10 02:21:09.424948,995,304,877,1798,1097,0,0,0,1047562,1476,684334,1092,S,17454,0,206,0,31,10,0,0,45,3390644224,50829,0,829880,51976,37242,5,0
2023-01-10 02:21:09.680325,1008,306,881,1798,1098,0,0,0,1050368,1510,689394,1123,S,19069,0,225,0,39,12,0,0,45,3401293824,52657,0,837497,57982,38050,5,0
2023-01-10 02:21:09.952255,1021,307,888,1798,1098,0,0,0,1053827,1552,696689,1166,S,24847,0,228,0,57,17,0,0,47,3430412288,58194,0,837513,58259,38127,5,0
2023-01-10 02:21:10.225355,1023,308,888,1798,1098,0,0,0,1054606,1561,698346,1176,S,24948,0,228,0,59,17,0,0,47,3430428672,58259,0,837517,58259,38127,5,0
2023-01-10 02:21:10.490589,1031,311,892,1798,1098,0,0,0,1057564,1597,703806,1215,S,24987,0,228,0,77,19,0,0,47,3430502400,58318,0,838313,58398,38141,5,0
2023-01-10 02:21:10.749177,1037,313,894,1798,1098,0,0,0,1059652,1622,708305,1243,S,25075,0,228,0,89,21,0,0,48,3433746432,58398,0,838325,58464,38141,5,0
2023-01-10 02:21:11.005198,1047,313,896,1806,1098,0,0,0,1062340,1655,713297,1277,S,25152,0,228,0,100,21,0,0,48,3433787392,58464,0,838341,58530,38141,5,0
2023-01-10 02:21:11.260428,1055,313,897,1830,1098,0,0,0,1065070,1689,718067,1308,S,26360,0,228,0,131,21,0,0,48,3438129152,59633,0,839403,59761,38224,5,0
2023-01-10 02:21:11.526323,1068,313,898,1850,1098,0,0,0,1067932,1725,722819,1338,S,27836,0,228,0,159,21,0,0,47,3433701376,59321,0,838314,59321,37394,5,0
2023-01-10 02:21:11.779657,1076,313,901,1865,1098,0,0,0,1070596,1758,727770,1371,S,27854,0,228,0,178,22,0,0,47,3433775104,59321,0,838334,59321,37394,5,0
2023-01-10 02:21:12.041488,1085,313,904,1865,1100,0,0,0,1072750,1784,732361,1400,S,28242,0,232,0,197,24,0,0,47,3434889216,59273,1,838632,59357,37889,5,0
2023-01-10 02:21:12.302095,1096,314,906,1873,1100,0,0,0,1075300,1816,737018,1430,S,28633,0,232,0,219,26,0,0,47,3435085824,59627,1,839678,59887,38116,5,0
2023-01-10 02:21:12.547559,1107,314,907,1885,1100,0,0,0,1077544,1843,741723,1460,S,30686,0,233,0,246,27,0,0,47,3439329280,60179,0,839692,60308,38253,5,0
2023-01-10 02:21:12.833736,1130,314,913,1903,1100,0,0,0,1080298,1877,746788,1494,S,31028,0,233,0,271,27,0,0,47,3441500160,60516,0,840214,60644,38277,5,0
2023-01-10 02:21:13.089420,1150,314,917,1914,1101,0,0,0,1082764,1907,751535,1525,R,31450,0,233,0,296,28,0,0,47,3441565696,60775,0,840226,60747,38309,5,0
