#com.uninet.uninet_03_22
#./workspace/com.uninet.uninet_03_22_0/com.uninet.uninet_03_22.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:30:15.489579,781,314,825,1626,1252,0,0,0,190564,619,619200,792,S,3496,0,0,0,0,2,0,0,12,3289255936,25995,0,803041,25995,21477,5,0
2023-01-09 03:30:15.757534,790,314,827,1630,1252,0,0,0,193096,650,624068,825,S,3496,0,0,0,0,2,0,0,12,3289255936,25995,0,803041,25995,21477,5,0
2023-01-09 03:30:16.038499,807,314,832,1635,1253,0,0,0,196252,689,630717,865,S,3496,0,0,0,0,2,0,0,12,3289255936,25995,0,803041,25995,21477,5,0
2023-01-09 03:30:16.304038,813,319,835,1645,1255,0,0,0,198940,722,635949,902,S,3525,0,1,0,0,3,0,0,12,3289174016,26005,0,803021,26005,21487,5,0
2023-01-09 03:30:16.554169,820,321,838,1648,1255,0,0,0,201916,759,641237,938,S,3537,0,1,0,0,3,0,0,12,3289174016,26005,0,803021,26005,21487,5,0
2023-01-09 03:30:16.834679,831,322,840,1660,1255,0,0,0,204382,789,645955,968,S,3542,0,1,0,0,3,0,0,12,3289174016,26006,0,803021,26006,21488,5,0
2023-01-09 03:30:17.095029,837,323,843,1690,1257,0,0,0,207202,824,650877,1000,S,3562,0,2,0,0,3,0,0,12,3289174016,26312,0,803021,26312,21753,5,0
2023-01-09 03:30:17.355385,842,324,845,1727,1258,0,0,0,210286,863,655800,1032,S,3669,0,4,0,0,3,0,0,12,3289178112,26775,0,803022,26775,22164,5,0
2023-01-09 03:30:17.610859,847,324,847,1760,1261,0,0,0,212926,896,660561,1063,S,3669,0,4,0,0,3,0,0,12,3289178112,26775,0,803022,26775,22164,5,0
2023-01-09 03:30:17.881588,865,325,851,1785,1261,0,0,0,215566,929,665191,1092,S,3688,0,4,0,1,3,0,0,12,3289178112,26775,1,803022,26775,22164,5,0
2023-01-09 03:30:18.139732,878,325,854,1811,1261,0,0,0,218122,960,670049,1123,S,3688,0,4,0,1,3,0,0,12,3289178112,26775,1,803086,27451,22833,5,0
2023-01-09 03:30:18.379919,881,326,856,1854,1261,0,0,0,220786,993,674925,1155,S,3775,0,4,0,1,3,0,0,12,3289440256,27453,0,803086,27469,22849,5,0
2023-01-09 03:30:18.655667,884,326,857,1900,1261,0,0,0,223408,1025,680113,1191,S,3812,0,4,0,1,3,0,0,12,3289440256,27469,0,803086,27469,22849,5,0
2023-01-09 03:30:18.911294,886,326,860,1940,1261,0,0,0,225808,1054,684899,1222,S,3812,0,4,0,2,3,0,0,12,3289440256,27469,0,803086,27469,22849,5,0
2023-01-09 03:30:19.171304,889,326,861,1991,1261,0,0,0,228406,1086,689846,1255,S,3818,0,4,0,2,3,0,0,12,3289702400,27469,0,803150,27469,22849,5,0
2023-01-09 03:30:19.426593,892,327,863,2032,1261,0,0,0,230914,1117,694784,1288,S,3818,0,4,0,2,3,0,0,12,3289702400,27469,0,803150,27469,22849,5,0
2023-01-09 03:30:19.700406,899,340,867,2055,1262,0,0,0,233710,1152,699704,1321,S,3821,0,4,0,2,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:19.955774,902,343,870,2094,1263,0,0,0,236662,1189,705368,1359,S,3821,0,4,0,2,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:20.211076,904,343,872,2132,1263,0,0,0,239614,1226,710906,1395,S,3821,0,4,0,2,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:20.481505,906,343,874,2180,1265,0,0,0,242236,1258,716444,1431,S,3821,0,4,0,2,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:20.726845,910,345,877,2214,1265,0,0,0,244900,1291,722467,1465,S,3821,0,4,0,2,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:21.001672,922,355,880,2233,1267,0,0,0,247786,1327,727345,1497,S,3828,0,4,0,3,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:21.258230,935,356,884,2246,1267,0,0,0,251381,1371,734430,1540,S,3828,0,4,0,3,3,0,0,12,3289702400,27469,0,803150,27469,22849,5,0
2023-01-09 03:30:21.512721,939,356,885,2246,1268,0,0,0,252472,1384,736442,1554,S,3828,0,4,0,3,3,0,0,12,3289702400,27469,0,803150,27469,22849,5,0
2023-01-09 03:30:21.773223,947,358,890,2248,1268,0,0,0,255250,1418,742825,1593,S,3835,0,4,0,3,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:22.043020,974,358,895,2256,1268,0,0,0,258004,1452,747727,1625,S,3835,0,4,0,3,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:22.298377,977,358,897,2296,1268,0,0,0,260692,1485,752761,1659,S,3835,0,4,0,3,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:22.564007,983,359,901,2340,1268,0,0,0,263248,1516,757795,1693,S,3836,0,4,0,3,3,0,0,12,3289702400,27469,1,803150,27469,22849,5,0
2023-01-09 03:30:22.824355,1007,359,905,2354,1268,0,0,0,266224,1553,763148,1731,S,3850,0,4,0,4,3,0,0,12,3289702400,27469,0,803214,27518,22897,5,0
2023-01-09 03:30:23.100025,1028,359,908,2367,1268,0,0,0,269242,1591,768250,1766,S,3958,0,4,0,4,3,0,0,12,3289964544,27518,1,803214,27518,22897,5,0
2023-01-09 03:30:23.350336,1032,360,911,2403,1268,0,0,0,272194,1628,773508,1803,S,3965,0,4,0,4,4,0,0,12,3289964544,27518,0,803214,27749,23091,5,0
2023-01-09 03:30:23.611724,1057,360,913,2423,1268,0,0,0,275260,1666,778901,1840,S,3965,0,4,0,4,4,0,0,12,3289964544,27749,1,803214,27749,23091,5,0
