#com.unitingtruth.truthcasting.munholland
#./workspace/com.unitingtruth.truthcasting.munholland_0/com.unitingtruth.truthcasting.munholland.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:36:46.298984,853,291,876,1834,1281,0,0,0,228397,647,645151,810,S,3267,0,2,0,1,1,0,0,11,3289759744,24229,0,803164,24229,19158,5,0
2023-01-10 01:36:46.579972,860,292,881,1855,1283,0,0,0,232669,700,653440,864,S,3282,0,3,0,1,1,0,0,11,3289759744,24369,0,803259,26500,21321,5,0
2023-01-10 01:36:46.827242,871,293,885,1856,1283,0,0,0,235405,733,658785,898,S,3705,0,4,0,2,1,0,0,11,3289759744,26506,0,803164,26524,21315,5,0
2023-01-10 01:36:47.106139,886,295,889,1862,1283,0,0,0,237823,762,663569,929,S,3857,0,4,0,3,1,0,0,11,3290148864,26587,0,803164,26553,21315,5,0
2023-01-10 01:36:47.375696,896,298,892,1865,1283,0,0,0,240355,793,668551,963,S,4224,0,4,0,4,1,0,0,11,3290537984,26841,0,803354,26841,21542,5,0
2023-01-10 01:36:47.640810,905,299,895,1871,1283,0,0,0,242689,821,673406,995,S,4229,0,4,0,4,1,0,0,11,3290537984,26841,1,803164,26748,21444,5,0
2023-01-10 01:36:47.896360,918,299,898,1880,1283,0,0,0,245353,854,678153,1025,S,4478,0,4,0,5,2,0,0,12,3291627520,26943,1,803430,26794,21444,5,0
2023-01-10 01:36:48.150155,925,299,900,1893,1283,0,0,0,247909,885,683003,1057,S,4478,0,4,0,5,2,0,0,12,3290849280,26794,1,803431,27138,21692,5,0
2023-01-10 01:36:48.404275,946,300,906,1897,1283,0,0,0,250087,911,687547,1085,S,4847,0,5,0,7,3,0,0,12,3291242496,27268,0,803431,27179,21692,5,0
2023-01-10 01:36:48.671951,970,300,910,1903,1283,0,0,0,252355,938,692558,1117,R,4945,0,5,0,7,3,0,0,12,3290853376,27179,0,803495,27894,22396,5,0
2023-01-10 01:36:48.923414,988,301,912,1912,1283,0,0,0,254731,967,697098,1145,S,5038,0,5,0,7,3,0,0,12,3291115520,27894,1,803495,27701,22470,5,0
2023-01-10 01:36:49.178817,1013,301,917,1919,1283,0,0,0,257299,999,701932,1177,S,5501,0,5,0,9,3,0,0,12,3291115520,27731,1,803929,27849,22566,5,0
2023-01-10 01:36:49.455074,1044,301,923,1928,1283,0,0,0,260105,1033,708389,1215,S,5958,0,5,0,11,3,0,0,13,3292893184,27849,0,803929,27849,22566,5,0
2023-01-10 01:36:49.691496,1070,302,928,1928,1283,0,0,0,262562,1062,713374,1249,S,5988,0,5,0,11,3,0,0,14,3290845184,27126,0,803429,27126,21823,5,0
2023-01-10 01:36:49.968182,1100,304,933,1928,1283,0,0,0,263927,1078,715793,1266,S,5988,0,5,0,11,3,0,0,14,3290845184,27126,0,803429,27126,21823,5,0
2023-01-10 01:36:50.218081,1120,308,938,1928,1283,0,0,0,266191,1105,720891,1301,S,5988,0,5,0,11,3,0,0,14,3290845184,27126,0,803429,27126,21823,5,0
2023-01-10 01:36:50.477350,1153,313,947,1930,1283,0,0,0,269309,1142,728868,1345,S,5988,0,5,0,11,3,0,0,14,3290845184,27126,0,803429,27126,21823,5,0
2023-01-10 01:36:50.727316,1167,315,949,1930,1284,0,0,0,270514,1156,731420,1363,S,5988,0,5,0,11,3,0,0,14,3290845184,27126,0,803429,27126,21823,5,0
2023-01-10 01:36:51.010180,1188,316,954,1946,1284,0,0,0,273178,1189,736495,1398,S,5988,0,5,0,11,3,0,0,14,3290845184,27126,0,803429,27126,21823,5,0
2023-01-10 01:36:51.255462,1219,317,960,1953,1284,0,0,0,275606,1218,741348,1430,S,5988,0,5,0,11,3,0,0,14,3290845184,27126,0,805283,28582,22624,5,0
2023-01-10 01:36:51.526114,1245,318,965,1955,1284,0,0,0,277510,1241,745621,1455,S,7495,0,5,0,12,4,0,0,14,3298439168,28582,1,805283,28582,22624,5,0
2023-01-10 01:36:51.781460,1274,321,969,1956,1284,0,0,0,280226,1274,750476,1487,S,7495,0,5,0,12,4,0,0,14,3298439168,28582,1,805283,28582,22624,5,0
2023-01-10 01:36:52.044273,1297,324,973,1957,1284,0,0,0,282376,1300,755085,1516,S,7495,0,5,0,12,4,0,0,14,3298439168,28582,1,805283,28582,22624,5,0
2023-01-10 01:36:52.303844,1320,332,978,1958,1284,0,0,0,284974,1332,759784,1546,S,7495,0,5,0,12,4,0,0,14,3298439168,28582,1,805283,28582,22624,5,0
2023-01-10 01:36:52.552966,1342,339,983,1966,1284,0,0,0,287686,1365,765165,1584,S,7703,0,5,0,12,4,0,0,14,3300925440,28773,1,805890,28803,22710,5,0
2023-01-10 01:36:52.820007,1360,341,986,1977,1284,0,0,0,290662,1402,770630,1621,S,7941,0,5,0,13,4,0,0,14,3300536320,28763,0,805795,28763,22670,5,0
2023-01-10 01:36:53.069167,1380,342,991,1992,1284,0,0,0,293548,1438,775930,1659,S,7941,0,5,0,13,4,0,0,14,3300536320,28763,1,805985,28960,22826,5,0
2023-01-10 01:36:53.340113,1401,342,995,2013,1284,0,0,0,296548,1475,781542,1698,S,8175,0,5,0,14,4,0,0,14,3300536320,28806,1,805795,28806,22670,5,0
2023-01-10 01:36:53.580498,1418,342,998,2028,1285,0,0,0,298900,1504,785997,1725,S,8176,0,5,0,14,4,0,0,14,3300536320,28806,1,805795,28806,22670,5,0
2023-01-10 01:36:53.851175,1428,343,1000,2066,1285,0,0,0,301762,1540,790747,1755,S,8430,0,5,0,15,5,0,0,14,3300925440,28943,1,805795,28841,22670,5,0
2023-01-10 01:36:54.111613,1450,345,1004,2081,1285,0,0,0,304624,1576,795539,1786,S,8438,0,5,0,15,5,0,0,14,3300536320,28841,1,805985,29083,22869,5,0
2023-01-10 01:36:54.377169,1471,352,1010,2088,1285,0,0,0,307132,1607,800086,1814,S,8675,0,5,0,15,5,0,0,14,3300536320,28932,1,805795,28932,22718,5,0
2023-01-10 01:36:54.629983,1503,353,1015,2091,1286,0,0,0,309182,1631,804296,1838,S,8810,0,5,0,15,5,0,0,14,3300925440,29062,0,805985,29128,22874,5,0
2023-01-10 01:36:54.886268,1523,354,1018,2091,1286,0,0,0,311516,1659,809423,1873,S,8909,0,5,0,16,5,0,0,14,3300536320,28974,0,805890,29108,22776,5,0
2023-01-10 01:36:55.159384,1555,355,1024,2095,1286,0,0,0,314114,1691,815571,1907,S,9190,0,5,0,16,6,0,0,14,3300536320,29050,0,805985,29247,22871,5,0
2023-01-10 01:36:55.421177,1581,359,1027,2097,1286,0,0,0,315640,1709,818893,1931,S,9425,0,5,0,17,6,0,0,14,3301314560,29247,1,805795,29094,22718,5,0
2023-01-10 01:36:55.676630,1602,359,1032,2101,1286,0,0,0,318569,1744,826119,1970,S,9431,0,5,0,17,6,0,0,14,3300536320,29094,1,804965,28271,21888,5,0
2023-01-10 01:36:55.946901,1635,360,1038,2102,1286,0,0,0,320156,1763,829972,1990,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:56.207197,1658,361,1043,2103,1286,0,0,0,322084,1786,834582,2021,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:56.478108,1678,362,1048,2112,1286,0,0,0,324370,1814,839078,2049,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:56.733314,1716,362,1054,2117,1286,0,0,0,327365,1850,845806,2088,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:56.993727,1742,362,1057,2118,1287,0,0,0,328574,1864,847559,2099,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:57.267451,1768,363,1062,2120,1287,0,0,0,330904,1892,853813,2134,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:57.537691,1778,363,1066,2151,1287,0,0,0,333818,1928,858759,2167,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:57.793119,1811,364,1069,2154,1287,0,0,0,335992,1954,863459,2197,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:58.043280,1828,366,1073,2159,1287,0,0,0,338656,1987,868381,2230,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:58.300387,1849,366,1075,2176,1287,0,0,0,341050,2017,872787,2257,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:58.571182,1870,366,1078,2194,1289,0,0,0,343978,2054,877667,2289,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:58.836735,1888,366,1080,2216,1289,0,0,0,346312,2082,882434,2320,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:59.092073,1916,367,1082,2231,1289,0,0,0,349184,2117,888658,2357,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:59.346325,1943,368,1085,2234,1289,0,0,0,350998,2139,892934,2382,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,804965,28271,21888,5,0
2023-01-10 01:36:59.606418,1969,369,1090,2240,1289,0,0,0,353634,2171,897444,2410,S,9432,0,5,0,17,6,0,0,14,3297136640,28271,0,805795,29100,22673,5,0
2023-01-10 01:36:59.859338,2009,370,1096,2240,1289,0,0,0,355722,2196,901775,2435,S,10322,0,5,0,18,7,0,0,14,3300536320,29100,0,805795,29100,22673,5,0
2023-01-10 01:37:00.120885,2025,370,1100,2240,1289,0,0,0,358500,2230,908042,2470,S,10322,0,5,0,18,7,0,0,14,3300536320,29100,0,805795,29100,22673,5,0
2023-01-10 01:37:00.389892,2055,372,1106,2240,1289,0,0,0,360494,2254,911233,2495,S,10322,0,5,0,18,7,0,0,14,3300536320,29100,0,805795,29100,22673,5,0
2023-01-10 01:37:00.657185,2081,373,1110,2241,1289,0,0,0,362984,2284,916293,2530,S,10322,0,5,0,18,7,0,0,14,3300536320,29100,0,805795,29192,22718,5,0
2023-01-10 01:37:00.927730,2113,374,1114,2242,1289,0,0,0,365856,2319,922610,2566,S,10470,0,5,0,19,7,0,0,14,3300536320,29192,0,805795,29207,22718,5,0
