#com.vancl.activity
#./workspace/com.vancl.activity_0/app3003.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 15:52:57.967235,697,164,533,2020,987,0,0,0,2202520,2778,774071,1789,R,147940,0,208,0,167,67,0,0,43,3723218944,108190,0,909143,108684,60895,5,0
2023-01-11 15:52:58.503852,721,165,539,2024,987,0,0,0,2207462,2837,785038,1854,S,150143,0,208,0,172,69,0,0,43,3723849728,108684,0,909143,108750,60895,5,0
2023-01-11 15:52:58.259250,719,165,539,2024,987,0,0,0,2206842,2830,783495,1845,S,150143,0,208,0,172,69,0,0,43,3723849728,108684,0,909143,108750,60895,5,0
2023-01-11 15:52:59.023526,747,167,543,2024,987,0,0,0,2214039,2915,798652,1928,S,150144,0,208,0,172,69,0,0,43,3723849728,108750,0,909143,109009,60894,5,0
2023-01-11 15:52:58.762114,734,167,542,2024,987,0,0,0,2213069,2903,794996,1918,S,150144,0,208,0,172,69,0,0,43,3723849728,108750,0,909143,109009,60894,5,0
2023-01-11 15:52:59.292098,762,169,549,2024,987,0,0,0,2217493,2957,806211,1976,R,150643,0,208,0,181,72,0,0,43,3723849728,109111,0,908682,108368,60754,5,0
2023-01-11 15:52:59.563346,766,170,549,2025,987,0,0,0,2218995,2975,808859,1996,R,151171,0,208,0,184,73,0,0,43,3720896512,108299,1,908948,108384,60754,5,0
2023-01-11 15:52:59.813640,788,171,553,2025,987,0,0,0,2222374,3015,815838,2033,R,151377,0,209,0,192,75,0,0,45,3723079680,108385,1,909029,108008,60874,5,0
2023-01-11 15:53:00.089575,792,171,554,2025,987,0,0,0,2223029,3023,817315,2041,S,151382,0,209,0,199,76,0,0,45,3723079680,107877,1,909103,108074,60938,5,0
2023-01-11 15:53:00.353354,801,173,557,2025,987,0,0,0,2225331,3050,823666,2079,S,151596,0,209,0,201,77,0,0,45,3723685888,108075,0,909103,108075,60938,5,0
2023-01-11 15:53:00.593057,810,176,559,2027,987,0,0,0,2227731,3079,828300,2108,S,151596,0,209,0,203,78,0,0,45,3723685888,108075,1,909369,108077,60938,5,0
2023-01-11 15:53:00.858554,821,180,563,2032,987,0,0,0,2230287,3110,833486,2144,S,151607,0,209,0,203,78,0,0,46,3724775424,108077,1,909369,108077,60938,5,0
2023-01-11 15:53:01.119405,833,180,566,2049,988,0,0,0,2233471,3148,841406,2192,S,151607,0,209,0,203,78,0,0,46,3724775424,108077,1,909369,108077,60938,5,0
2023-01-11 15:53:01.364325,841,180,568,2061,990,0,0,0,2234964,3166,844212,2213,S,151613,0,209,0,204,78,0,0,46,3724775424,108077,1,909369,108077,60938,5,0
2023-01-11 15:53:01.624907,864,180,572,2076,990,0,0,0,2237322,3194,849663,2248,S,151614,0,209,0,204,78,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:01.895505,885,180,575,2092,990,0,0,0,2240052,3228,855779,2283,S,151616,0,209,0,204,78,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:02.155876,906,180,577,2113,990,0,0,0,2242518,3258,860900,2319,S,151616,0,209,0,204,78,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:02.411347,929,181,581,2130,992,0,0,0,2244918,3287,865775,2352,S,151616,0,209,0,204,78,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:02.668781,957,181,587,2139,992,0,0,0,2247204,3315,870537,2383,S,151618,0,209,0,204,78,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:02.938597,989,181,591,2145,992,0,0,0,2249670,3345,875567,2418,S,151637,0,209,0,205,78,0,0,46,3724775424,108064,0,909369,108064,60938,5,0
2023-01-11 15:53:03.192794,1023,182,595,2155,992,0,0,0,2252812,3383,883295,2465,S,151637,0,209,0,205,79,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:03.463440,1043,182,598,2158,992,0,0,0,2254272,3400,886957,2493,S,151637,0,209,0,205,79,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:03.729354,1068,182,603,2169,992,0,0,0,2256856,3431,892466,2530,S,151637,0,209,0,205,79,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:03.978753,1096,182,607,2177,992,0,0,0,2259190,3459,898717,2567,S,151637,0,209,0,205,79,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:04.239219,1115,182,610,2186,992,0,0,0,2262010,3494,904044,2605,S,151637,0,209,0,205,79,0,0,46,3724775424,108064,1,909369,108064,60938,5,0
2023-01-11 15:53:04.487510,1147,183,618,2198,992,0,0,0,2266663,3549,913773,2664,R,151682,0,209,0,207,79,0,0,46,3724775424,108117,1,909751,106651,60891,5,0
2023-01-11 15:53:04.747566,1168,183,624,2199,992,0,0,0,2269153,3579,919933,2698,R,152143,0,209,0,218,79,0,0,46,3726340096,106651,1,909669,106637,60776,5,0
2023-01-11 15:53:05.012521,1207,185,632,2200,992,0,0,0,2274204,3639,929261,2761,S,152931,0,209,0,229,79,0,0,46,3726004224,106793,0,909740,106903,60859,5,0
