#com.vid4droid
#./workspace/com.vid4droid_0/app2574.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 23:26:08.413947,897,167,642,704,622,0,0,0,278735,695,662814,882,R,6736,0,20,0,45,8,0,0,12,3302141952,26485,1,807082,29515,21108,5,0
2023-01-10 23:26:08.680075,911,168,646,704,622,0,0,0,282600,742,671554,931,D,8605,0,37,0,61,20,0,0,14,3306491904,30398,1,811623,33238,24798,5,0
2023-01-10 23:26:09.205930,917,169,651,704,622,0,0,0,285319,775,677451,966,D,9961,0,199,0,74,25,0,0,31,3332321280,34634,1,817363,37783,27898,5,0
2023-01-10 23:26:08.945767,913,168,649,704,622,0,0,0,284196,761,673944,950,D,8848,0,68,0,63,21,0,0,16,3315683328,30941,1,817363,38235,28323,5,0
2023-01-10 23:26:09.476437,924,171,657,704,622,0,0,0,288518,814,682644,1002,D,11692,0,223,0,80,29,0,0,37,3347812352,37307,1,819834,41497,30933,5,0
2023-01-10 23:26:09.739349,928,172,661,704,622,0,0,0,292449,861,693558,1061,S,14565,0,245,0,98,36,0,0,40,3358040064,41497,1,819784,40803,30952,5,0
2023-01-10 23:26:09.999513,949,173,670,704,622,0,0,0,296235,907,702456,1118,S,14661,0,245,0,100,38,0,0,40,3357835264,40803,1,819784,40571,30952,5,0
2023-01-10 23:26:10.255113,949,173,670,704,622,0,0,0,295923,903,701111,1112,S,14661,0,245,0,100,38,0,0,40,3357835264,40803,1,819784,40571,30952,5,0
2023-01-10 23:26:10.515668,949,173,671,704,622,0,0,0,298383,933,707243,1149,S,14663,0,246,0,100,38,0,0,40,3357835264,40803,1,820595,41416,31779,5,0
2023-01-10 23:26:10.781515,953,174,677,704,622,0,0,0,299195,942,708786,1158,S,14779,0,246,0,102,38,0,0,40,3357835264,40571,1,820917,41672,32018,5,0
2023-01-10 23:26:11.029595,961,175,683,704,622,0,0,0,301703,972,715533,1196,S,14899,0,246,0,103,40,0,0,40,3358203904,40693,1,820917,41866,32176,5,0
2023-01-10 23:26:11.292839,972,177,687,704,622,0,0,0,303626,995,718740,1221,S,15801,0,254,0,107,43,0,0,40,3362476032,41672,1,821015,42054,32323,5,0
2023-01-10 23:26:11.556982,979,178,693,704,622,0,0,0,305648,1019,723319,1250,S,16166,0,254,0,109,43,0,0,40,3362877440,42054,1,821015,42054,32323,5,0
2023-01-10 23:26:11.835186,984,181,699,704,622,0,0,0,310290,1048,728141,1283,S,16166,0,254,0,109,43,0,0,40,3362877440,42054,1,821015,42103,32339,5,0
2023-01-10 23:26:12.098807,994,184,704,704,622,0,0,0,312822,1079,733018,1315,S,16203,0,256,0,109,43,0,0,40,3362877440,42103,1,821015,42103,32339,5,0
2023-01-10 23:26:12.350743,999,189,709,704,622,0,0,0,316520,1124,741619,1365,S,16280,0,256,0,113,44,0,0,40,3362877440,42162,1,821015,42162,32381,5,0
2023-01-10 23:26:12.610913,1010,190,712,704,622,0,0,0,317611,1137,743962,1381,S,16288,0,256,0,113,44,0,0,40,3362877440,42162,1,821015,42162,32381,5,0
2023-01-10 23:26:12.879089,1015,191,716,704,622,0,0,0,320809,1176,750381,1426,S,16300,0,256,0,114,44,0,0,40,3362877440,42162,1,821015,42165,32381,5,0
2023-01-10 23:26:13.139894,1025,192,720,704,622,0,0,0,323455,1208,757456,1465,S,16521,0,256,0,116,44,0,0,40,3362877440,42165,1,821015,42166,32381,5,0
2023-01-10 23:26:13.394676,1029,193,725,704,622,0,0,0,325789,1236,760980,1495,S,16541,0,256,0,116,45,0,0,40,3362877440,42166,1,821015,42167,32381,5,0
2023-01-10 23:26:13.668956,1035,196,729,704,622,0,0,0,338789,1277,767825,1541,S,16559,0,256,0,117,45,0,0,40,3362877440,42167,1,821015,42167,32381,5,0
2023-01-10 23:26:13.924466,1043,198,734,704,622,0,0,0,341249,1307,773276,1577,S,16588,0,256,0,118,45,0,0,40,3362877440,42167,1,821015,42161,32397,5,0
2023-01-10 23:26:14.177700,1058,200,740,704,622,0,0,0,404384,1418,787230,1671,S,16942,0,256,0,123,46,0,0,40,3362877440,42163,1,821015,42222,32414,5,0
2023-01-10 23:26:14.698320,1129,207,759,704,622,0,0,0,407248,1452,795384,1705,S,17161,0,256,0,127,46,0,0,40,3362877440,42218,1,821015,42222,32414,5,0
2023-01-10 23:26:14.434432,1083,204,748,704,622,0,0,0,405505,1431,789864,1679,D,17067,0,256,0,124,46,0,0,40,3362877440,42165,1,821015,42222,32414,5,0
2023-01-10 23:26:14.967579,1137,208,761,704,622,0,0,0,408972,1473,798236,1726,S,17186,0,256,0,128,47,0,0,40,3362877440,42218,1,821015,42287,32414,5,0
2023-01-10 23:26:15.221956,1166,209,769,704,622,0,0,0,410990,1497,802722,1755,S,17369,0,256,0,130,47,0,0,40,3362877440,42222,1,821015,42245,32430,5,0
2023-01-10 23:26:15.481765,1181,212,778,704,622,0,0,0,466256,1561,809863,1821,S,17695,0,256,0,131,47,0,0,40,3362877440,42243,1,821015,42249,32430,5,0
2023-01-10 23:26:15.739016,1205,216,787,704,622,0,0,0,468557,1589,814744,1853,S,17899,0,256,0,133,47,0,0,40,3362877440,42245,1,821015,42332,32430,5,0
2023-01-10 23:26:16.011913,1221,218,792,704,622,0,0,0,590739,1717,823914,1929,S,18194,0,256,0,135,47,0,0,40,3362877440,42315,1,822303,42779,32889,5,0
2023-01-10 23:26:16.534635,1306,224,816,704,622,0,0,0,621218,1792,835819,1998,S,19088,0,258,0,146,52,0,0,41,3365007360,42778,1,822559,42784,32889,5,0
2023-01-10 23:26:16.264515,1317,225,817,704,622,0,0,0,620480,1783,832666,1985,S,19088,0,258,0,146,52,0,0,41,3365007360,42778,1,822559,42784,32889,5,0
2023-01-10 23:26:16.800194,1320,226,819,704,622,0,0,0,622754,1810,839023,2019,S,19180,0,258,0,148,53,0,0,41,3367104512,42779,1,822559,42788,32889,5,0
2023-01-10 23:26:17.061905,1330,229,828,704,622,0,0,0,623929,1824,841192,2034,S,19367,0,258,0,149,54,0,0,41,3369201664,42784,1,822559,42788,32889,5,0
2023-01-10 23:26:17.306360,1340,232,837,704,622,0,0,0,626671,1857,847976,2077,S,19510,0,258,0,150,54,0,0,41,3369201664,42788,1,822303,42855,32926,5,0
2023-01-10 23:26:17.567498,1365,237,846,704,622,0,0,0,721947,1961,857262,2156,S,19779,0,261,0,155,54,0,0,41,3368153088,42857,1,822303,42873,32940,5,0
2023-01-10 23:26:17.818158,1381,243,854,704,622,0,0,0,724629,1994,862259,2190,S,19885,0,261,0,156,55,0,0,41,3368153088,42873,1,822303,42874,32940,5,0
2023-01-10 23:26:18.101677,1402,253,862,704,622,0,0,0,817698,2100,869937,2264,S,19964,0,261,0,157,55,0,0,41,3368153088,42874,1,822047,43115,33088,5,0
2023-01-10 23:26:18.347647,1421,261,872,704,622,0,0,0,820188,2130,875565,2301,S,20511,0,264,0,167,56,0,0,41,3367104512,43234,1,822047,43234,33151,5,0
2023-01-10 23:26:18.624981,1433,270,884,704,622,0,0,0,822860,2163,881299,2336,S,20578,0,264,0,168,56,0,0,41,3367104512,43250,0,822047,43250,33167,5,0
2023-01-10 23:26:18.890660,1445,280,896,704,622,0,0,0,825230,2192,886150,2366,S,20579,0,264,0,169,56,0,0,41,3367104512,43250,0,822047,43250,33167,5,0
2023-01-10 23:26:19.134821,1457,291,903,705,622,0,0,0,827186,2215,890671,2394,S,20579,0,264,0,169,56,0,0,41,3367104512,43250,0,822047,43250,33167,5,0
2023-01-10 23:26:19.410443,1475,308,910,705,622,0,0,0,835094,2252,895934,2428,S,20682,0,264,0,172,56,0,0,41,3366055936,43261,0,821791,43280,33183,5,0
2023-01-10 23:26:19.682132,1502,312,919,705,622,0,0,0,837244,2278,900587,2458,S,20895,0,264,0,173,56,0,0,41,3366055936,43280,0,821791,43408,33293,5,0
2023-01-10 23:26:19.932230,1524,314,926,705,622,0,0,0,842039,2329,909079,2508,S,21009,0,264,0,175,57,0,0,41,3366055936,43408,0,821663,43519,33340,5,0
2023-01-10 23:26:20.197232,1529,314,929,705,622,0,0,0,875347,2395,917002,2563,S,21287,0,264,0,180,58,0,0,41,3365531648,43520,0,821663,43523,33340,5,0
2023-01-10 23:26:20.468042,1577,316,938,705,622,0,0,0,876182,2405,919115,2576,S,21287,0,264,0,180,58,0,0,41,3365531648,43520,0,821663,43525,33340,5,0
2023-01-10 23:26:20.718470,1582,317,942,705,622,0,0,0,877797,2424,921894,2599,S,21373,0,264,0,180,58,0,0,41,3365531648,43523,0,821663,43525,33340,5,0
2023-01-10 23:26:20.990849,1596,322,952,705,622,0,0,0,880193,2453,926843,2631,S,21598,0,264,0,182,59,0,0,41,3365531648,43526,0,821663,43530,33340,5,0
2023-01-10 23:26:21.241467,1620,330,963,705,623,0,0,0,916697,2502,932512,2661,S,21883,0,264,0,184,60,0,0,41,3365531648,43532,0,821535,43553,33340,5,0
2023-01-10 23:26:21.507290,1651,334,974,705,623,0,0,0,923114,2563,943223,2733,S,21917,0,264,0,190,61,0,0,41,3366055936,43553,0,822047,43553,33340,5,0
2023-01-10 23:26:21.767838,1688,336,981,705,623,0,0,0,923360,2566,944388,2737,S,21917,0,264,0,190,61,0,0,41,3366055936,43553,0,822047,43553,33340,5,0
2023-01-10 23:26:22.031687,1698,337,985,705,623,0,0,0,927390,2612,953896,2790,S,21927,0,264,0,192,62,0,0,41,3366055936,43553,0,822047,43621,33339,5,0
2023-01-10 23:26:22.547781,1739,342,1002,705,623,0,0,0,929564,2638,957699,2821,R,21977,0,264,0,197,63,0,0,41,3367104512,43572,1,821792,43635,33339,5,0
2023-01-10 23:26:22.292596,1739,342,1002,705,623,0,0,0,940006,2692,969000,2875,R,22099,0,264,0,198,63,0,0,41,3367104512,43637,1,822047,43636,33339,5,0
