#com.viethconsulting.mms.NHVTnhvtapp
#./workspace/com.viethconsulting.mms.NHVTnhvtapp_0/com.viethconsulting.mms.NHVTnhvtapp.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:12:52.590112,914,328,905,1878,1290,0,0,0,782622,922,627413,780,S,18869,0,207,0,21,13,0,0,40,3397046272,52557,0,829357,51797,37500,5,0
2023-01-10 03:12:52.871452,925,329,909,1878,1290,0,0,0,785022,951,632336,813,S,18873,0,207,0,22,13,0,0,40,3397046272,51797,0,829357,51797,37500,5,0
2023-01-10 03:12:53.102524,927,329,913,1878,1290,0,0,0,787328,979,638488,847,S,18893,0,209,0,22,14,0,0,40,3397046272,51797,0,832691,51475,36588,5,0
2023-01-10 03:12:53.373177,934,335,920,1878,1296,0,0,0,790148,1014,643566,882,S,20822,0,221,0,29,15,0,0,45,3401089024,51517,0,830096,52064,36669,5,0
2023-01-10 03:12:53.633685,942,338,929,1878,1307,0,0,0,792812,1047,648561,915,S,21834,0,241,0,41,17,0,0,45,3403051008,53164,1,830823,53152,37716,5,0
2023-01-10 03:12:53.913159,949,338,940,1882,1317,0,0,0,795320,1078,653237,945,S,21921,0,245,0,42,18,0,0,45,3403051008,53573,1,836025,55369,38162,5,0
2023-01-10 03:12:54.163043,958,338,943,1893,1318,0,0,0,797498,1104,657917,975,S,25977,0,247,0,60,21,0,0,47,3424407552,55657,0,838573,58120,38236,5,0
2023-01-10 03:12:54.423598,968,338,944,1914,1318,0,0,0,800072,1136,662683,1006,S,28595,0,247,0,86,21,0,0,47,3435114496,58188,0,838661,58524,38319,5,0
2023-01-10 03:12:54.673999,981,338,946,1924,1318,0,0,0,802646,1168,667320,1035,S,29657,0,247,0,112,23,0,0,47,3438047232,58790,0,839367,58907,38459,5,0
2023-01-10 03:12:54.939452,1013,339,950,1928,1318,0,0,0,805202,1199,672384,1069,S,29954,0,247,0,129,23,0,0,47,3438047232,58941,0,839367,58943,38491,5,0
2023-01-10 03:12:55.215464,1027,340,953,1949,1318,0,0,0,807602,1228,677245,1101,S,30241,0,247,0,135,23,0,0,47,3438047232,58545,1,839367,58291,38507,5,0
2023-01-10 03:12:55.475869,1039,345,958,1967,1319,0,0,0,810332,1262,682148,1134,S,30343,0,248,0,139,24,0,0,47,3438047232,58305,0,839367,58372,38524,5,0
2023-01-10 03:12:55.731381,1056,347,962,1986,1319,0,0,0,813284,1299,687346,1170,S,30447,0,248,0,144,24,0,0,47,3438047232,58385,0,839367,58385,38540,5,0
2023-01-10 03:12:55.991753,1061,348,965,2026,1319,0,0,0,816170,1335,693620,1207,R,30519,0,248,0,148,24,0,0,47,3438047232,58018,1,839367,58033,38552,5,0
2023-01-10 03:12:56.247180,1086,348,971,2035,1319,0,0,0,818570,1364,698572,1240,S,30643,0,248,0,161,25,0,0,47,3438178304,58033,0,839399,58033,38552,5,0
2023-01-10 03:12:56.512838,1095,348,974,2072,1319,0,0,0,821522,1401,703524,1273,S,30647,0,248,0,165,25,0,0,47,3438178304,58033,0,839399,58024,38565,5,0
