#com.vikrambetal.techvala
#./workspace/com.vikrambetal.techvala_0/com.vikrambetal.techvala.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:41:22.117932,967,367,874,1746,987,0,0,0,2329949,1880,694503,797,S,14728,0,4,0,45,11,0,0,25,3426648064,47852,0,836584,47852,34912,5,0
2023-01-10 05:41:22.387275,976,368,878,1747,987,0,0,0,2332637,1913,700435,827,S,14731,0,4,0,47,12,0,0,25,3426648064,47852,0,836584,47852,34912,5,0
2023-01-10 05:41:22.645107,985,373,881,1747,989,0,0,0,2336748,1963,708226,876,S,14737,0,4,0,52,14,0,0,25,3426648064,47111,0,836584,47111,34926,5,0
2023-01-10 05:41:22.904977,989,374,883,1747,989,0,0,0,2338458,1983,711887,896,S,14739,0,4,0,54,15,0,0,25,3426648064,47111,0,836584,47111,34926,5,0
2023-01-10 05:41:23.155443,997,375,888,1747,989,0,0,0,2339729,1998,714377,913,S,14739,0,4,0,55,15,0,0,25,3426648064,47111,0,836584,47110,34926,5,0
2023-01-10 05:41:23.443191,1005,378,891,1748,989,0,0,0,2342289,2029,719116,944,S,14819,0,6,0,60,16,0,0,25,3426652160,47625,0,836585,47621,35430,5,0
2023-01-10 05:41:23.675202,1017,381,895,1748,989,0,0,0,2344283,2053,723478,970,S,14820,0,6,0,63,16,0,0,25,3426652160,47621,0,836585,47621,35430,5,0
2023-01-10 05:41:23.930728,1037,384,899,1748,989,0,0,0,2347023,2086,728807,1007,S,14820,0,6,0,67,16,0,0,25,3426652160,47621,0,837172,48398,35870,5,0
2023-01-10 05:41:24.196157,1072,389,908,1748,989,0,0,0,2348951,2109,733280,1034,R,15885,0,6,0,81,16,0,0,24,3430096896,48823,0,839586,49678,36958,5,0
2023-01-10 05:41:24.466968,1084,395,913,1748,989,0,0,0,2351219,2136,738459,1066,S,17332,0,35,0,86,16,0,0,31,3439005696,49681,0,839665,50151,37194,5,0
2023-01-10 05:41:24.737321,1094,404,925,1749,991,0,0,0,2354397,2176,743985,1103,S,23478,0,40,0,96,20,0,0,96,3529195520,56663,0,866563,57107,42938,5,0
2023-01-10 05:41:24.987568,1123,407,933,1749,991,0,0,0,2356797,2205,749273,1137,D,25694,1669,46,0,108,25,0,2,124,3564904448,57138,0,874083,59868,43013,5,0
2023-01-10 05:41:25.272933,1145,411,943,1749,991,0,0,0,2358971,2231,755349,1172,S,31141,1669,46,0,124,29,0,2,128,3580268544,59992,0,875852,61934,44175,5,0
2023-01-10 05:41:25.543550,1177,413,950,1749,991,0,0,0,2362122,2269,761797,1209,D,33721,1669,154,0,132,32,0,2,136,3606147072,64497,1,886300,67532,48985,5,0
2023-01-10 05:41:25.788720,1201,415,957,1749,991,0,0,0,2363865,2290,764604,1230,D,34038,1669,198,0,133,33,0,2,143,3616354304,65665,1,887886,69448,49086,5,0
2023-01-10 05:41:26.052284,1218,418,965,1752,996,0,0,0,2365731,2312,770119,1258,D,38563,1669,236,0,148,38,0,2,150,3630735360,67324,1,886973,70188,49184,5,0
2023-01-10 05:41:26.316379,1251,421,974,1752,996,0,0,0,2369728,2361,779333,1312,S,43172,1669,242,0,162,41,0,2,150,3630936064,70013,1,886982,70225,49216,5,0
2023-01-10 05:41:26.565654,1265,424,978,1752,996,0,0,0,2371230,2379,781830,1330,S,43515,1669,242,0,171,42,0,2,150,3633057792,70060,1,886251,69361,48154,5,0
2023-01-10 05:41:26.831048,1284,424,983,1752,996,0,0,0,2372255,2391,783776,1343,S,43848,1669,246,0,176,43,0,2,150,3633078272,70225,1,886700,69617,48597,5,0
2023-01-10 05:41:27.104400,1315,432,991,1752,996,0,0,0,2375241,2427,789421,1384,S,45029,1669,250,0,199,45,0,2,151,3631935488,69617,1,886703,69617,48597,5,0
2023-01-10 05:41:27.362978,1331,435,995,1753,996,0,0,0,2377929,2460,795670,1419,S,45079,1669,250,0,211,46,0,2,151,3631935488,69617,1,886703,68491,48613,5,0
2023-01-10 05:41:27.639073,1360,439,1001,1753,996,0,0,0,2380428,2490,800643,1453,S,45122,1669,250,0,236,47,0,2,151,3631935488,68616,1,886703,68156,48613,5,0
2023-01-10 05:41:27.904265,1389,442,1007,1753,996,0,0,0,2384550,2540,809415,1504,S,45135,1669,250,0,257,50,0,2,151,3631935488,68179,1,886977,68475,48729,5,0
2023-01-10 05:41:28.410493,1450,446,1019,1753,996,0,0,0,2386643,2566,814911,1534,S,45437,1669,250,0,275,51,0,2,152,3633057792,68298,1,886977,68400,48729,5,0
2023-01-10 05:41:28.159677,1434,444,1016,1753,996,0,0,0,2385707,2554,811624,1518,D,45283,1669,250,0,266,50,0,2,151,3631939584,68295,1,886977,68400,48729,5,0
2023-01-10 05:41:28.680931,1479,449,1024,1753,996,0,0,0,2389233,2597,818766,1568,S,45567,1669,250,0,280,52,0,2,152,3633057792,68400,1,886969,68355,48729,5,0
2023-01-10 05:41:28.926612,1491,452,1029,1753,996,0,0,0,2392734,2640,825907,1613,R,45723,1669,250,0,283,52,0,2,152,3633025024,68371,1,886969,68309,48729,5,0
2023-01-10 05:41:29.192945,1513,456,1038,1753,996,0,0,0,2395474,2673,830703,1644,R,45786,1669,250,0,299,54,0,2,152,3633025024,68325,1,886969,68299,48729,5,0
2023-01-10 05:41:29.458518,1547,459,1043,1753,996,0,0,0,2397000,2691,834499,1663,S,45788,1669,250,0,316,55,0,2,152,3633025024,68304,1,886969,68308,48728,5,0
2023-01-10 05:41:29.713615,1561,460,1046,1753,996,0,0,0,2399481,2721,839563,1697,S,45829,1669,250,0,335,55,0,2,152,3633025024,68299,1,886969,68324,48744,5,0
2023-01-10 05:41:29.975604,1597,462,1052,1753,996,0,0,0,2401848,2749,844393,1726,R,45898,1669,250,0,355,57,0,2,152,3633025024,68324,1,886969,68318,48744,5,0
2023-01-10 05:41:30.245027,1618,464,1055,1753,996,0,0,0,2403705,2771,848358,1749,S,45899,1669,250,0,367,58,0,2,152,3633025024,68318,1,886969,68318,48744,5,0
2023-01-10 05:41:30.516657,1646,466,1061,1754,996,0,0,0,2406105,2800,853067,1779,S,45935,1669,250,0,386,60,0,2,152,3633025024,68318,1,886969,68319,48744,5,0
2023-01-10 05:41:30.790019,1666,470,1065,1754,996,0,0,0,2407697,2819,855919,1801,S,45957,1669,250,0,391,60,0,2,152,3633025024,68319,0,886969,68319,48744,5,0
2023-01-10 05:41:31.037750,1680,475,1071,1756,997,0,0,0,2409965,2846,860586,1830,S,45962,1669,250,0,391,60,0,2,152,3633025024,68319,0,886969,68484,48870,5,0
2023-01-10 05:41:31.315201,1706,483,1080,1762,997,0,0,0,2412431,2876,865365,1861,S,46007,1669,250,0,405,61,0,2,152,3635122176,68478,1,887481,68478,48870,5,0
2023-01-10 05:41:31.565607,1730,484,1085,1765,997,0,0,0,2414991,2907,870116,1892,S,46008,1669,250,0,408,63,0,2,152,3635122176,68478,0,887755,68444,48870,5,0
2023-01-10 05:41:31.836093,1752,484,1090,1767,997,0,0,0,2418208,2946,877935,1934,S,46014,1669,250,0,416,64,0,2,152,3635122176,68443,0,887481,68443,48870,5,0
2023-01-10 05:41:32.112684,1769,485,1093,1767,997,0,0,0,2420083,2969,881099,1960,S,46173,1669,250,0,436,66,0,2,152,3635122176,68443,0,887755,68444,48870,5,0
2023-01-10 05:41:32.363198,1811,488,1101,1767,997,0,0,0,2423039,3004,887680,1996,S,46213,1669,250,0,445,68,0,2,153,3636244480,68444,0,887755,68460,48886,5,0
