#com.wDokuStream
#./workspace/com.wDokuStream_0/app4729.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 00:41:36.773441,822,184,640,1084,703,0,0,0,207078,650,636061,863,R,6781,0,3,0,66,10,0,0,15,3307302912,30368,1,808063,33384,25547,5,0
2023-01-11 00:41:37.044750,833,186,643,1084,703,0,0,0,211154,691,643330,908,S,8035,0,18,0,69,16,0,0,17,3311677440,32516,1,813748,37652,29854,5,0
2023-01-11 00:41:37.310737,844,188,648,1084,703,0,0,0,212906,712,646587,931,R,8836,0,152,0,73,21,0,0,24,3327311872,36169,1,815918,39358,30786,5,0
2023-01-11 00:41:37.581185,854,190,655,1084,703,0,0,0,215397,742,653694,964,D,10308,0,205,0,83,26,0,0,37,3343163392,39359,1,818039,42590,33514,5,0
2023-01-11 00:41:37.852250,856,191,660,1084,703,0,0,0,217289,764,657965,989,S,11048,0,222,0,88,31,0,0,41,3347685376,41615,1,818039,42590,33514,5,0
2023-01-11 00:41:38.099847,869,194,667,1084,703,0,0,0,223181,813,666557,1047,S,11873,0,225,0,91,32,0,0,41,3350687744,42591,1,818039,42568,33614,5,0
2023-01-11 00:41:38.363979,869,194,666,1084,703,0,0,0,224241,826,669615,1060,S,11871,0,225,0,90,32,0,0,41,3350687744,42591,1,818039,42568,33614,5,0
2023-01-11 00:41:38.608155,872,200,673,1084,703,0,0,0,226353,851,674328,1091,S,11879,0,225,0,91,32,0,0,41,3350687744,42568,1,818361,42857,33856,5,0
2023-01-11 00:41:38.858997,879,203,679,1084,703,0,0,0,228497,877,679033,1121,S,11924,0,233,0,92,33,0,0,41,3352006656,42857,1,818361,42857,33856,5,0
2023-01-11 00:41:39.140099,881,208,683,1084,703,0,0,0,232634,907,684144,1157,S,11980,0,233,0,93,33,0,0,40,3352076288,43098,1,818378,43098,34061,5,0
2023-01-11 00:41:39.395600,886,214,686,1084,703,0,0,0,236190,950,691243,1203,S,12067,0,233,0,93,34,0,0,40,3352076288,43112,1,818378,43410,34282,5,0
2023-01-11 00:41:39.666419,892,216,689,1084,703,0,0,0,238217,975,695644,1233,S,12070,0,233,0,94,34,0,0,40,3352076288,43112,1,818161,43293,34362,5,0
2023-01-11 00:41:39.913660,900,220,697,1084,703,0,0,0,266616,1051,705309,1298,D,12497,0,235,0,95,38,0,0,39,3351187456,43293,1,818289,43466,34444,5,0
2023-01-11 00:41:40.178852,910,221,700,1084,703,0,0,0,267863,1066,708666,1315,S,12690,0,236,0,96,38,0,0,39,3350663168,43401,1,818289,43423,34460,5,0
