#com.wIndiaaTv
#./workspace/com.wIndiaaTv_0/com.wIndiaaTv.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 01:08:57.650565,851,301,882,1990,1110,0,0,0,669543,868,590870,740,S,12233,0,216,0,17,14,0,0,40,3361894400,46996,1,826945,52081,38124,5,0
2023-01-09 01:08:57.922274,872,304,888,1990,1110,0,0,0,672180,899,596937,772,R,17944,0,216,0,29,18,0,0,42,3390128128,52830,0,828738,53747,39660,5,0
2023-01-09 01:08:58.196261,877,304,891,1990,1110,0,0,0,673043,909,598827,782,S,18713,0,216,0,29,18,0,0,42,3393081344,53598,0,828738,53747,39660,5,0
2023-01-09 01:08:58.466745,885,305,897,1990,1110,0,0,0,676281,948,605786,823,S,18800,0,216,0,39,19,0,0,42,3394576384,53747,0,828754,53752,39660,5,0
2023-01-09 01:08:58.723677,890,306,902,1990,1111,0,0,0,678837,979,611999,858,S,18838,0,218,0,41,19,0,0,42,3394576384,53752,0,828754,53925,39792,5,0
2023-01-09 01:08:58.963375,895,309,906,1990,1112,0,0,0,680831,1003,615301,884,S,19039,0,218,0,42,20,0,0,42,3394576384,53980,0,828853,53557,39987,5,0
2023-01-09 01:08:59.220499,904,313,912,1990,1112,0,0,0,683433,1035,619978,914,R,19709,0,221,0,44,21,0,0,42,3399180288,53592,1,836043,58619,40264,5,0
2023-01-09 01:08:59.484719,916,315,917,1990,1112,0,0,0,686277,1070,626107,947,S,24823,0,234,0,49,23,0,0,44,3424432128,58566,1,837585,59706,40279,5,0
2023-01-09 01:08:59.755809,923,316,919,1990,1112,0,0,0,689043,1104,632494,984,S,25971,0,235,0,55,25,0,0,44,3430748160,59706,1,837761,60105,40440,5,0
2023-01-09 01:08:59.992450,927,317,921,1990,1112,0,0,0,690881,1126,635741,1011,S,26331,0,236,0,66,25,0,0,44,3431469056,60105,1,837761,60125,40456,5,0
2023-01-09 01:09:00.264884,936,319,925,1990,1114,0,0,0,693191,1154,640440,1041,S,26814,0,236,0,73,26,0,0,44,3431469056,60125,0,837609,60209,40511,5,0
2023-01-09 01:09:00.519783,953,321,929,1990,1114,0,0,0,695657,1184,645163,1071,S,26967,0,236,0,92,26,0,0,44,3430854656,60277,0,837611,60279,40511,5,0
2023-01-09 01:09:00.795208,989,324,935,1990,1114,0,0,0,699408,1230,652752,1120,S,27114,0,236,0,106,26,0,0,44,3430854656,60279,0,837611,58766,40533,5,0
2023-01-09 01:09:01.045512,1010,324,938,1990,1114,0,0,0,700097,1238,654205,1128,S,27236,0,237,0,106,26,0,0,44,3430854656,58766,0,837611,58766,40533,5,0
2023-01-09 01:09:01.300763,1028,331,942,1993,1114,0,0,0,702389,1265,659551,1166,S,27236,0,237,0,107,26,0,0,44,3430854656,58766,0,837643,58786,40549,5,0
2023-01-09 01:09:01.572105,1069,334,948,1996,1114,0,0,0,705053,1298,664279,1196,S,27752,0,237,0,123,26,0,0,44,3430985728,58810,0,837643,58787,40549,5,0
2023-01-09 01:09:01.836483,1094,335,951,2000,1114,0,0,0,707477,1327,669316,1230,R,27813,0,237,0,133,26,0,0,44,3430985728,58787,0,837643,58785,40549,5,0
2023-01-09 01:09:02.071116,1115,335,954,2005,1114,0,0,0,710009,1358,674043,1261,S,27869,0,237,0,144,26,0,0,44,3430985728,58789,0,836843,58726,40538,5,0
2023-01-09 01:09:02.346929,1146,335,959,2010,1114,0,0,0,712433,1387,678922,1294,S,27879,0,237,0,155,26,0,0,44,3427708928,58726,0,836843,57617,40538,5,0
2023-01-09 01:09:02.605171,1180,336,965,2013,1114,0,0,0,715518,1424,685600,1335,S,28471,0,237,0,169,27,0,0,44,3431387136,57839,1,837741,57843,40630,5,0
2023-01-09 01:09:02.849900,1206,336,972,2014,1114,0,0,0,717540,1448,690125,1363,S,28576,0,237,0,189,29,0,0,44,3431387136,57843,1,837741,57843,40630,5,0
2023-01-09 01:09:03.125420,1234,338,976,2015,1114,0,0,0,718943,1465,692707,1381,S,28577,0,237,0,191,29,0,0,44,3431387136,57843,1,837741,57843,40630,5,0
2023-01-09 01:09:03.374899,1254,340,980,2035,1114,0,0,0,722448,1508,701353,1434,S,29404,0,237,0,226,32,0,0,44,3431387136,57911,1,837741,57921,40689,5,0
2023-01-09 01:09:03.640302,1288,340,985,2035,1114,0,0,0,724555,1533,706849,1461,S,29421,0,237,0,241,33,0,0,44,3431387136,57911,1,838010,57878,40608,5,0
2023-01-09 01:09:03.895765,1331,342,990,2036,1114,0,0,0,726766,1559,711441,1490,S,29498,0,237,0,267,34,0,0,44,3431387136,57878,1,837741,57884,40608,5,0
2023-01-09 01:09:04.152176,1343,343,992,2036,1114,0,0,0,729030,1586,716626,1523,S,29526,0,237,0,277,35,0,0,44,3431387136,57884,1,837741,57884,40608,5,0
2023-01-09 01:09:04.432392,1363,343,995,2036,1114,0,0,0,729529,1592,718013,1530,S,29526,0,237,0,277,35,0,0,44,3431387136,57884,1,837741,57884,40608,5,0
2023-01-09 01:09:04.677933,1366,343,997,2054,1114,0,0,0,732323,1625,723211,1565,S,29526,0,237,0,277,35,0,0,44,3431387136,57884,1,837741,57884,40608,5,0
2023-01-09 01:09:04.943031,1368,344,1000,2089,1116,0,0,0,735209,1661,728277,1599,S,29548,0,237,0,279,35,0,0,44,3431387136,57884,0,837741,57884,40608,5,0
2023-01-09 01:09:05.204056,1372,345,1004,2116,1116,0,0,0,737841,1693,734344,1633,S,29573,0,242,0,279,36,0,0,44,3431387136,57884,0,837741,58047,40773,5,0
2023-01-09 01:09:05.719806,1392,347,1009,2120,1118,0,0,0,743215,1758,744763,1688,S,29898,0,242,0,341,44,0,0,44,3431387136,58131,0,837741,58125,40762,5,0
2023-01-09 01:09:05.469474,1390,347,1009,2120,1118,0,0,0,743461,1761,745952,1692,S,29889,0,242,0,337,44,0,0,44,3431387136,58202,0,837801,58341,40924,5,0
2023-01-09 01:09:06.253985,1409,348,1014,2120,1118,0,0,0,745581,1786,749169,1716,S,29917,0,242,0,341,44,0,0,44,3431387136,58124,0,837801,58341,40924,5,0
2023-01-09 01:09:05.995500,1406,348,1012,2120,1118,0,0,0,745515,1785,749169,1716,S,29917,0,242,0,341,44,0,0,44,3431387136,58124,0,837801,58343,40924,5,0
2023-01-09 01:09:06.781576,1474,350,1024,2121,1118,0,0,0,751959,1862,763655,1797,S,30185,0,242,0,385,45,0,0,44,3430969344,58263,0,837579,58202,40762,5,0
2023-01-09 01:09:06.506117,1461,350,1023,2121,1118,0,0,0,750934,1850,761632,1785,S,30182,0,242,0,378,44,0,0,44,3431632896,58357,0,837579,58202,40762,5,0
2023-01-09 01:09:07.052108,1511,350,1030,2121,1118,0,0,0,753019,1875,767005,1813,S,30216,0,242,0,395,45,0,0,44,3430969344,58262,0,837579,58272,40823,5,0
2023-01-09 01:09:07.299629,1549,351,1035,2121,1118,0,0,0,756592,1918,773645,1864,S,30263,0,242,0,410,47,0,0,44,3430723584,58272,0,837579,58272,40823,5,0
2023-01-09 01:09:07.579104,1559,351,1041,2121,1118,0,0,0,757437,1928,775212,1873,S,30263,0,242,0,410,47,0,0,44,3430723584,58272,0,837579,58272,40823,5,0
2023-01-09 01:09:07.804219,1570,351,1046,2132,1118,0,0,0,760371,1964,780591,1910,S,30289,0,242,0,411,47,0,0,44,3430723584,58272,0,837579,58272,40823,5,0
