#com.wangsong.cargallery
#./workspace/com.wangsong.cargallery_0/app5221.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:37:56.338524,895,231,673,1501,1352,0,0,0,772564,1147,770090,1078,S,11106,0,252,0,13,8,0,0,36,3381846016,43867,1,825646,43901,38192,5,0
2023-01-11 12:37:56.620085,902,231,675,1501,1352,0,0,0,777568,1180,777947,1112,S,11301,0,252,0,14,9,0,0,36,3381846016,43901,1,825646,43901,38192,5,0
2023-01-11 12:37:56.885264,910,233,678,1501,1352,0,0,0,780882,1221,785980,1149,S,11302,0,252,0,15,9,0,0,36,3381846016,43901,1,823769,42075,36544,5,0
2023-01-11 12:37:57.140433,920,235,682,1501,1352,0,0,0,783506,1253,791167,1186,S,11436,0,252,0,17,9,0,0,36,3374157824,42075,1,824364,42431,36736,5,0
2023-01-11 12:37:57.401066,926,237,685,1501,1352,0,0,0,786260,1287,797823,1222,S,11686,0,255,0,18,10,0,0,38,3376594944,42396,1,826258,44607,38891,5,0
2023-01-11 12:37:57.666567,936,238,689,1501,1352,0,0,0,790316,1336,806916,1276,R,13975,0,255,0,21,10,0,0,37,3384352768,44607,0,824121,42453,36733,5,0
2023-01-11 12:37:57.931741,945,239,691,1501,1352,0,0,0,790562,1339,808147,1281,D,13988,0,255,0,21,10,0,0,37,3375599616,42453,0,824121,42453,36733,5,0
2023-01-11 12:37:58.208309,967,246,698,1501,1352,0,0,0,792836,1366,811577,1309,S,13989,0,255,0,21,10,0,0,37,3375599616,42453,0,824121,42453,36733,5,0
2023-01-11 12:37:58.478742,983,256,709,1501,1352,0,0,0,795500,1399,816600,1341,S,13989,0,255,0,22,10,0,0,37,3375599616,42453,0,824121,42453,36733,5,0
2023-01-11 12:37:58.718669,995,269,717,1501,1352,0,0,0,798304,1431,821340,1372,S,14003,0,255,0,22,10,0,0,37,3375599616,42453,0,824121,42458,36733,5,0
2023-01-11 12:37:58.988076,1011,278,730,1504,1352,0,0,0,800818,1462,825963,1401,S,14263,0,255,0,23,11,0,0,37,3375411200,42336,0,824075,42336,36733,5,0
