#com.wfreeloanz
#./workspace/com.wfreeloanz_0/com.wfreeloanz.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:37:51.922277,694,237,776,582,1076,0,0,0,268023,690,681056,832,S,10280,0,204,0,14,9,0,0,41,3356516352,43514,0,824602,50240,37766,5,0
2023-01-09 06:37:52.182722,703,238,779,582,1076,0,0,0,270559,721,685674,862,S,14482,0,215,0,20,11,0,0,43,3377569792,50240,0,827076,52811,39347,5,0
2023-01-09 06:37:52.458829,714,239,783,582,1077,0,0,0,273234,753,690796,893,S,16897,0,218,0,22,12,0,0,43,3387703296,52811,0,827441,53315,39500,5,0
2023-01-09 06:37:52.714312,717,239,783,582,1077,0,0,0,273823,760,693436,900,S,17204,0,219,0,27,14,0,0,43,3389038592,53168,1,828164,54057,40233,5,0
2023-01-09 06:37:53.005918,725,243,790,582,1079,0,0,0,278256,814,701416,950,S,18229,0,221,0,34,16,0,0,43,3392159744,54143,1,828263,54213,40482,5,0
2023-01-09 06:37:53.260674,730,243,791,582,1079,0,0,0,279663,831,703417,964,S,18229,0,221,0,34,16,0,0,43,3392159744,54143,1,828263,53843,40533,5,0
2023-01-09 06:37:53.503474,748,245,802,583,1079,0,0,0,283462,877,711592,1007,S,18545,0,224,0,37,16,0,0,43,3392565248,53843,0,828263,53739,40549,5,0
2023-01-09 06:37:54.053316,758,246,808,583,1079,0,0,0,285667,903,716045,1035,S,18853,0,224,0,38,16,0,0,43,3392565248,53739,0,829934,55215,41125,5,0
2023-01-09 06:37:53.772269,751,245,805,583,1079,0,0,0,284832,893,714387,1026,S,18853,0,224,0,38,16,0,0,43,3392565248,53739,0,829936,55273,41125,5,0
2023-01-09 06:37:54.321123,763,249,814,583,1079,0,0,0,288899,943,721720,1077,D,20203,0,241,0,49,18,0,0,43,3399434240,55350,0,830212,55714,41382,5,0
2023-01-09 06:37:54.568189,770,251,816,583,1081,0,0,0,291455,974,726548,1109,D,20423,0,246,0,56,18,0,0,44,3400548352,55714,0,830226,56050,41382,5,0
2023-01-09 06:37:54.833531,789,257,822,583,1088,0,0,0,294077,1006,731625,1144,S,20833,0,247,0,76,18,0,0,44,3400613888,56050,0,830587,56162,41329,5,0
2023-01-09 06:37:55.094212,833,263,831,583,1088,0,0,0,296907,1040,738083,1182,S,21820,0,248,0,91,18,0,0,44,3402084352,56162,0,830619,56061,41329,5,0
2023-01-09 06:37:55.335749,854,265,835,583,1088,0,0,0,299458,1070,743251,1216,S,22066,0,248,0,96,18,0,0,44,3402215424,55923,0,830619,55918,41345,5,0
2023-01-09 06:37:55.597430,883,267,841,583,1088,0,0,0,301111,1090,746876,1236,S,22135,0,248,0,102,18,0,0,44,3402215424,55923,0,829819,55244,41340,5,0
2023-01-09 06:37:56.125741,925,268,851,583,1088,0,0,0,304351,1129,752701,1277,S,22268,0,249,0,115,21,0,0,44,3398938624,55244,0,829819,55260,41355,5,0
2023-01-09 06:37:55.867071,911,268,848,583,1088,0,0,0,304351,1129,752701,1277,S,22267,0,249,0,114,21,0,0,44,3398938624,55244,0,829819,55260,41355,5,0
2023-01-09 06:37:56.397157,946,270,858,583,1088,0,0,0,308680,1181,761192,1329,R,22394,0,249,0,124,22,0,0,44,3398938624,55260,0,829819,55247,41355,5,0
2023-01-09 06:37:56.660027,991,271,865,583,1088,0,0,0,310948,1208,766836,1354,S,22564,0,249,0,146,23,0,0,44,3398938624,55247,0,830749,55446,41438,5,0
2023-01-09 06:37:56.915406,1029,275,873,583,1088,0,0,0,312294,1224,770300,1372,R,22593,0,249,0,150,24,0,0,44,3398938624,55247,0,830749,55451,41449,5,0
2023-01-09 06:37:57.191085,1033,276,874,583,1088,0,0,0,314117,1246,774846,1400,S,22788,0,249,0,153,24,0,0,44,3402747904,55446,0,830749,55454,41450,5,0
2023-01-09 06:37:57.446475,1057,279,878,583,1088,0,0,0,316391,1273,778630,1433,S,22941,0,249,0,158,25,0,0,44,3402747904,55451,0,830749,55625,41531,5,0
2023-01-09 06:37:57.703452,1095,283,886,583,1088,0,0,0,319135,1306,783697,1468,S,23191,0,249,0,173,26,0,0,44,3402747904,55561,1,830749,55577,41547,5,0
2023-01-09 06:37:57.972046,1105,287,890,587,1088,0,0,0,321379,1333,788218,1496,S,23286,0,249,0,194,27,0,0,44,3402747904,55577,1,830749,55482,41385,5,0
2023-01-09 06:37:58.492734,1184,289,900,587,1088,0,0,0,325492,1382,797245,1549,S,23510,0,249,0,248,31,0,0,44,3402747904,55482,1,830717,55676,41544,5,0
2023-01-09 06:37:58.232309,1180,289,900,587,1088,0,0,0,327292,1403,801342,1572,S,23510,0,249,0,248,31,0,0,44,3402747904,55482,1,830717,55676,41544,5,0
2023-01-09 06:37:58.764944,1188,289,903,587,1088,0,0,0,328186,1414,804789,1586,R,24002,0,249,0,266,33,0,0,44,3402616832,55676,1,830717,55676,41544,5,0
2023-01-09 06:37:59.042127,1195,290,905,587,1088,0,0,0,329277,1427,807310,1603,S,24024,0,249,0,271,34,0,0,44,3402616832,55676,1,830717,55676,41544,5,0
2023-01-09 06:37:59.296912,1202,291,907,587,1088,0,0,0,331707,1456,811383,1639,S,24048,0,249,0,272,34,0,0,44,3402616832,55676,1,830717,55676,41544,5,0
2023-01-09 06:37:59.568197,1209,295,913,588,1089,0,0,0,334107,1485,816900,1675,S,24072,0,249,0,272,34,0,0,44,3402616832,55676,1,830717,55676,41544,5,0
2023-01-09 06:37:59.818454,1214,301,918,595,1090,0,0,0,336837,1519,822393,1711,S,24102,0,251,0,273,34,0,0,44,3402616832,55676,1,830555,55570,41449,5,0
2023-01-09 06:38:00.339482,1232,304,922,599,1090,0,0,0,341391,1574,832356,1762,S,24214,0,251,0,330,39,0,0,44,3401953280,55570,1,830717,55499,41448,5,0
2023-01-09 06:38:00.601796,1245,304,925,599,1090,0,0,0,343752,1602,837154,1789,S,24219,0,251,0,334,40,0,0,44,3398807552,55433,1,830717,55499,41448,5,0
2023-01-09 06:38:00.857164,1251,304,925,599,1090,0,0,0,344587,1612,839671,1799,S,24332,0,251,0,339,40,0,0,44,3402616832,55499,1,830717,55499,41448,5,0
2023-01-09 06:38:00.084085,1233,304,923,599,1090,0,0,0,344341,1609,838541,1796,S,24216,0,251,0,334,40,0,0,44,3401953280,55599,1,830717,55783,41448,5,0
2023-01-09 06:38:01.103649,1259,304,928,601,1090,0,0,0,349918,1676,849463,1863,S,24951,0,251,0,345,41,0,0,44,3402616832,55797,1,830555,55714,41496,5,0
2023-01-09 06:38:01.636028,1385,306,943,601,1090,0,0,0,353562,1719,857963,1906,S,25227,0,251,0,385,44,0,0,44,3402199040,55774,1,830555,55714,41496,5,0
2023-01-09 06:38:01.885589,1385,306,943,601,1090,0,0,0,354882,1735,862534,1924,S,25252,0,251,0,391,44,0,0,44,3402199040,55774,1,830555,55714,41496,5,0
2023-01-09 06:38:01.369248,1313,306,934,601,1090,0,0,0,353562,1719,857963,1906,S,25196,0,251,0,378,43,0,0,44,3402199040,56018,1,830555,55714,41496,5,0
2023-01-09 06:38:02.145893,1391,306,944,601,1090,0,0,0,356522,1754,864413,1937,S,25301,0,251,0,396,45,0,0,44,3401953280,55714,1,830555,55714,41496,5,0
2023-01-09 06:38:02.406498,1433,307,952,601,1090,0,0,0,359660,1792,870114,1978,S,25349,0,251,0,413,46,0,0,44,3401953280,55714,1,830555,55957,41495,5,0
2023-01-09 06:38:02.657480,1468,307,957,601,1090,0,0,0,361526,1814,875583,2005,S,25656,0,251,0,415,46,0,0,44,3401953280,55946,1,830555,55975,41511,5,0
