#com.wimolife.PhoneSketchFree
#./workspace/com.wimolife.PhoneSketchFree_0/app5401.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 13:34:40.829094,875,247,647,1499,1324,0,0,0,1959077,2134,819045,1294,S,7305,0,467,0,10,9,0,0,38,1214332928,40742,1,296468,40742,34705,5,0
2023-01-11 13:34:41.094616,883,249,650,1499,1324,0,0,0,1962503,2176,826133,1340,S,7314,0,467,0,10,9,0,0,38,1214332928,40742,1,296468,40742,34705,5,0
2023-01-11 13:34:41.357413,888,254,657,1500,1324,0,0,0,1965528,2213,832862,1383,S,7314,0,467,0,10,9,0,0,38,1214332928,40742,1,296468,40742,34705,5,0
2023-01-11 13:34:41.595367,892,257,662,1501,1325,0,0,0,1968460,2248,838986,1421,S,7329,0,471,0,10,9,0,0,38,1214332928,40842,1,296468,40842,34800,5,0
2023-01-11 13:34:41.871156,901,259,667,1501,1326,0,0,0,1982274,2299,846133,1476,S,7347,0,471,0,11,9,0,0,38,1213284352,40841,1,296212,40841,34845,5,0
2023-01-11 13:34:42.130397,908,263,672,1502,1327,0,0,0,1985607,2335,852288,1513,S,7354,0,471,0,11,9,0,0,38,1213284352,40841,1,296212,40841,34845,5,0
2023-01-11 13:34:42.385517,922,269,681,1502,1327,0,0,0,1997265,2383,859587,1560,S,7378,0,471,0,11,9,0,0,38,1213284352,40841,1,296212,41225,35136,5,0
2023-01-11 13:34:42.662896,929,279,692,1504,1328,0,0,0,2008743,2423,865160,1602,S,7469,0,471,0,12,9,0,0,38,1213284352,41225,1,296212,41225,35136,5,0
2023-01-11 13:34:42.904047,937,284,698,1504,1329,0,0,0,2015361,2453,870048,1635,S,7469,0,471,0,12,9,0,0,38,1213284352,41225,1,296212,41467,35377,5,0
2023-01-11 13:34:43.155118,956,291,709,1505,1329,0,0,0,2023613,2487,875010,1669,S,7529,0,477,0,13,9,0,0,38,1213284352,41467,1,296212,41467,35377,5,0
2023-01-11 13:34:43.409680,970,294,715,1514,1329,0,0,0,2026337,2521,880164,1705,S,7530,0,477,0,13,9,0,0,38,1213284352,41467,1,296212,41467,35377,5,0
2023-01-11 13:34:43.665661,978,295,721,1537,1329,0,0,0,2030851,2561,885409,1743,S,7530,0,477,0,13,9,0,0,38,1213284352,41467,1,296212,41467,35377,5,0
2023-01-11 13:34:43.936127,998,296,729,1544,1331,0,0,0,2033453,2593,890463,1778,S,7576,0,477,0,14,9,0,0,38,1213284352,41467,1,296212,41467,35377,5,0
2023-01-11 13:34:44.186282,1012,298,738,1551,1335,0,0,0,2036273,2628,895634,1814,S,7577,0,477,0,14,9,0,0,38,1213284352,41467,1,296212,41467,35377,5,0
2023-01-11 13:34:44.451739,1025,298,747,1573,1336,0,0,0,2038685,2658,900363,1845,S,7580,0,477,0,14,9,0,0,38,1213284352,41467,1,296244,41545,35436,5,0
2023-01-11 13:34:44.717187,1035,300,755,1596,1336,0,0,0,2041481,2693,905313,1878,S,7590,0,478,0,15,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:44.975068,1047,303,765,1612,1336,0,0,0,2044055,2725,910149,1910,S,7590,0,478,0,15,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:45.245479,1057,304,777,1635,1336,0,0,0,2046809,2759,916466,1948,S,7590,0,478,0,15,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:45.500745,1064,304,786,1656,1336,0,0,0,2049623,2794,921604,1983,S,7590,0,478,0,15,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:45.761343,1078,308,794,1674,1336,0,0,0,2052451,2829,928529,2020,S,7591,0,478,0,16,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:46.017451,1092,313,806,1687,1336,0,0,0,2059279,2869,934944,2056,S,7592,0,480,0,16,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:46.267929,1107,321,814,1692,1336,0,0,0,2063355,2902,940355,2095,S,7592,0,480,0,16,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:46.529764,1119,327,821,1694,1337,0,0,0,2074371,2940,946498,2138,S,7608,0,480,0,16,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:46.793117,1133,328,826,1695,1337,0,0,0,2079850,2973,951893,2175,S,7610,0,480,0,17,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:47.043393,1146,329,828,1699,1337,0,0,0,2082524,3005,957788,2220,S,7616,0,480,0,17,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:47.298939,1168,329,834,1701,1337,0,0,0,2084851,3031,962258,2248,S,7616,0,480,0,17,10,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:47.583213,1185,331,843,1712,1341,0,0,0,2087659,3066,968339,2292,S,7617,0,480,0,17,11,0,0,38,1213415424,41545,1,296244,41545,35436,5,0
2023-01-11 13:34:47.858401,1191,332,852,1738,1341,0,0,0,2090413,3100,974253,2334,S,7618,0,480,0,18,11,0,0,38,1213415424,41666,1,296244,41666,35540,5,0
2023-01-11 13:34:48.123912,1197,332,858,1762,1341,0,0,0,2093326,3136,980112,2374,S,7624,0,480,0,18,11,0,0,38,1213415424,41666,1,296244,41666,35540,5,0
2023-01-11 13:34:48.383074,1217,335,869,1775,1341,0,0,0,2095921,3168,986420,2412,S,7626,0,480,0,19,11,0,0,38,1213415424,41666,1,296244,41666,35540,5,0
2023-01-11 13:34:48.643480,1227,338,878,1793,1341,0,0,0,2098543,3200,991493,2446,S,7627,0,480,0,19,11,0,0,38,1213415424,41666,1,296244,41664,35540,5,0
2023-01-11 13:34:48.904983,1246,338,886,1803,1341,0,0,0,2100877,3228,996197,2476,S,7634,0,480,0,19,11,0,0,38,1213415424,41664,1,296276,41715,35589,5,0
