#com.xmultidigital.restauradoporcristo
#./workspace/com.xmultidigital.restauradoporcristo_0/com.xmultidigital.restauradoporcristo.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:52:59.263513,910,320,885,1750,1303,0,0,0,876967,1024,629681,766,S,5694,0,337,0,10,6,0,0,31,1167220736,35575,0,287869,37335,31542,5,0
2023-01-10 01:52:59.539923,916,320,887,1750,1303,0,0,0,878578,1043,632415,786,D,5930,0,341,0,10,7,0,0,36,1172992000,35927,0,287869,37335,31542,5,0
2023-01-10 01:52:59.805341,924,322,890,1750,1303,0,0,0,880596,1067,638391,815,D,6408,0,367,0,13,8,0,0,40,1180282880,37335,0,290755,41455,34563,5,0
2023-01-10 01:53:00.056583,935,325,897,1750,1305,0,0,0,883951,1107,645753,861,S,9239,0,420,0,17,10,0,0,42,1195986944,41704,0,291739,41913,34910,5,0
2023-01-10 01:53:00.316913,940,325,898,1750,1305,0,0,0,884762,1117,647597,872,S,9243,0,420,0,17,11,0,0,42,1196011520,41720,0,291739,41913,34910,5,0
2023-01-10 01:53:00.578465,944,330,903,1753,1306,0,0,0,888042,1157,653323,914,S,9267,0,420,0,17,11,0,0,42,1194962944,41913,1,291739,41913,34910,5,0
2023-01-10 01:53:00.843052,949,331,905,1787,1306,0,0,0,890928,1193,658448,949,S,9267,0,420,0,18,11,0,0,42,1194962944,41913,0,291739,41913,34910,5,0
2023-01-10 01:53:01.098400,954,331,906,1826,1306,0,0,0,893460,1224,663463,983,S,9290,0,420,0,18,11,0,0,42,1194962944,41913,0,291867,42381,35265,5,0
2023-01-10 01:53:01.364030,974,332,911,1839,1308,0,0,0,896190,1258,668294,1015,S,9492,0,425,0,20,11,0,0,42,1195487232,42381,0,291867,42381,35265,5,0
2023-01-10 01:53:01.618800,992,332,915,1859,1310,0,0,0,898458,1285,673216,1048,S,9683,0,426,0,21,11,0,0,42,1195487232,42466,1,292588,43125,35995,5,0
2023-01-10 01:53:01.884586,1017,333,919,1865,1310,0,0,0,900834,1314,677918,1078,S,10421,0,426,0,23,11,0,0,42,1198440448,43141,0,292620,43158,36027,5,0
2023-01-10 01:53:02.133892,1040,340,924,1869,1311,0,0,0,903144,1342,682752,1110,S,10542,0,426,0,24,11,0,0,42,1198571520,43158,1,292620,43159,36027,5,0
2023-01-10 01:53:02.397376,1049,341,928,1889,1311,0,0,0,905520,1371,687365,1139,S,10586,0,426,0,24,11,0,0,42,1198571520,43159,0,292620,43241,36089,5,0
2023-01-10 01:53:02.644432,1063,342,931,1913,1311,0,0,0,908226,1405,691979,1168,S,10618,0,426,0,26,11,0,0,42,1198571520,43241,0,292620,43241,36089,5,0
2023-01-10 01:53:02.927804,1073,343,934,1950,1311,0,0,0,911022,1440,696863,1200,S,10642,0,426,0,27,11,0,0,42,1198571520,43241,0,292620,43241,36089,5,0
2023-01-10 01:53:03.187197,1095,343,938,1968,1311,0,0,0,913554,1471,701592,1230,S,10655,0,426,0,27,11,0,0,42,1198571520,43241,0,292620,43241,36089,5,0
2023-01-10 01:53:03.447466,1104,344,940,2003,1311,0,0,0,916374,1506,707892,1267,S,10659,0,426,0,28,11,0,0,42,1198571520,43241,1,292620,43241,36089,5,0
2023-01-10 01:53:03.702832,1110,345,943,2040,1313,0,0,0,919260,1542,713173,1305,R,10663,0,427,0,29,11,0,0,42,1198571520,43241,1,292620,43241,36089,5,0
2023-01-10 01:53:03.968189,1118,345,946,2080,1313,0,0,0,921816,1573,718281,1340,S,10664,0,427,0,30,11,0,0,42,1198571520,43285,0,292620,43285,36118,5,0
2023-01-10 01:53:04.228676,1124,345,948,2118,1313,0,0,0,924348,1604,723233,1373,S,10669,0,427,0,30,11,0,0,42,1198571520,43285,0,292620,43285,36118,5,0
2023-01-10 01:53:04.484083,1127,345,950,2160,1314,0,0,0,927102,1638,728497,1410,S,10671,0,427,0,32,11,0,0,42,1198571520,43285,1,292620,43285,36118,5,0
2023-01-10 01:53:04.739510,1134,346,953,2199,1314,0,0,0,929346,1665,733269,1441,S,10671,0,427,0,32,11,0,0,42,1198571520,43285,0,292620,43285,36118,5,0
2023-01-10 01:53:05.015257,1145,356,958,2218,1316,0,0,0,931788,1695,737927,1471,S,10677,0,428,0,33,11,0,0,42,1198571520,43285,0,292620,43285,36118,5,0
2023-01-10 01:53:05.268361,1174,356,964,2222,1317,0,0,0,934476,1728,742855,1504,S,10678,0,428,0,33,11,0,0,42,1198571520,43285,1,292620,43285,36118,5,0
2023-01-10 01:53:05.535330,1205,356,969,2227,1317,0,0,0,936597,1753,747345,1532,S,10889,0,429,0,36,11,0,0,42,1198964736,43322,1,292795,43399,36204,5,0
2023-01-10 01:53:05.806337,1231,357,974,2231,1317,0,0,0,939181,1784,753460,1565,S,11120,0,429,0,38,11,0,0,42,1198964736,43362,1,292716,43362,36166,5,0
2023-01-10 01:53:06.056032,1262,357,977,2231,1317,0,0,0,941085,1807,756469,1588,S,11120,0,429,0,39,11,0,0,42,1198964736,43362,1,292716,43362,36166,5,0
2023-01-10 01:53:06.314644,1274,358,982,2238,1318,0,0,0,943527,1837,761175,1618,S,11121,0,429,0,40,12,0,0,42,1198964736,43362,1,292716,43362,36166,5,0
2023-01-10 01:53:06.563934,1282,358,984,2274,1318,0,0,0,946017,1867,766175,1651,S,11122,0,429,0,40,12,0,0,42,1198964736,43362,0,292716,43362,36166,5,0
2023-01-10 01:53:06.839571,1289,358,987,2316,1318,0,0,0,948483,1897,771259,1685,S,11124,0,429,0,41,12,0,0,42,1198964736,43362,0,292716,43362,36166,5,0
