#com.zazkidz.games.mathcards.math
#./workspace/com.zazkidz.games.mathcards.math_0/com.zazkidz.games.mathcards.math.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:34:48.385612,917,308,870,1821,1266,0,0,0,316736,713,665167,788,S,10465,0,165,0,12,9,0,0,33,3353976832,41317,1,818842,41778,34493,5,0
2023-01-10 00:34:48.921822,923,309,873,1821,1266,0,0,0,320241,755,672921,827,S,11518,0,165,0,15,10,0,0,33,3354370048,42329,1,819136,42521,34569,5,0
2023-01-10 00:34:48.656429,919,308,872,1821,1266,0,0,0,319437,745,670034,817,R,10920,0,165,0,13,10,0,0,33,3353976832,41778,1,819040,42336,34568,5,0
2023-01-10 00:34:49.198245,932,310,876,1821,1266,0,0,0,322888,786,677450,853,D,11998,1500,165,21,18,11,0,1,33,3355181056,42521,1,819965,43385,36166,5,0
2023-01-10 00:34:49.455384,939,311,878,1821,1266,0,0,0,324267,803,680126,873,S,12510,1500,182,21,20,12,0,1,36,3358576640,41192,1,819922,43515,36230,5,0
2023-01-10 00:34:49.727696,946,312,882,1822,1275,0,0,0,328407,854,688810,932,S,14513,1500,202,21,23,13,0,1,36,3358400512,43515,1,819922,43515,36230,5,0
2023-01-10 00:34:49.982787,955,312,886,1822,1287,0,0,0,330807,883,693477,961,S,14607,1500,203,21,23,13,0,1,36,3358400512,43716,1,819922,43716,36410,5,0
2023-01-10 00:34:50.248311,967,317,894,1822,1289,0,0,0,333159,912,698032,988,S,14703,1500,213,21,27,13,0,1,38,3362947072,44087,1,820778,45374,36903,5,0
2023-01-10 00:34:50.499171,986,321,899,1826,1292,0,0,0,335691,943,702955,1021,R,17529,1500,214,21,33,14,0,1,38,3361906688,45440,1,820778,45440,36903,5,0
2023-01-10 00:34:50.775040,1015,321,903,1836,1293,0,0,0,338511,978,707969,1055,R,17568,1500,214,21,39,14,0,1,38,3361906688,45440,0,820778,45524,36936,5,0
2023-01-10 00:34:51.016311,1039,323,908,1842,1293,0,0,0,341095,1009,712582,1084,R,17711,1500,218,21,46,14,0,1,38,3361906688,45715,0,820778,45715,37062,5,0
2023-01-10 00:34:51.281575,1065,325,912,1845,1294,0,0,0,343065,1033,716953,1110,S,17730,1500,218,21,51,14,0,1,38,3361906688,45715,1,820778,45715,37062,5,0
2023-01-10 00:34:51.555547,1095,326,918,1851,1294,0,0,0,345531,1063,721618,1139,S,17797,1500,218,21,57,14,0,1,38,3361906688,45786,1,820626,45634,36925,5,0
2023-01-10 00:34:51.824751,1117,326,922,1856,1294,0,0,0,347931,1092,726503,1171,R,17835,1500,218,21,61,14,0,1,38,3361284096,45636,0,820626,45636,36925,5,0
2023-01-10 00:34:52.075257,1151,328,928,1860,1294,0,0,0,350623,1125,731316,1203,R,17877,1500,218,21,69,15,0,1,38,3361284096,45636,0,820626,45636,36925,5,0
2023-01-10 00:34:52.336085,1169,332,933,1861,1294,0,0,0,352659,1150,735775,1230,R,17917,1500,218,21,73,15,0,1,38,3361284096,45636,1,820626,45558,36941,5,0
2023-01-10 00:34:52.586285,1191,332,937,1868,1294,0,0,0,355257,1182,740639,1262,S,17917,1500,218,21,78,15,0,1,38,3361284096,45558,0,820626,45558,36941,5,0
2023-01-10 00:34:52.842048,1216,332,940,1877,1294,0,0,0,357345,1207,745380,1293,R,17918,1500,218,21,83,15,0,1,38,3361284096,45558,1,820626,45558,36941,5,0
2023-01-10 00:34:53.099049,1240,333,944,1886,1294,0,0,0,359613,1234,750178,1324,S,17924,1500,218,21,87,15,0,1,38,3361284096,45558,0,820626,45558,36941,5,0
2023-01-10 00:34:53.369910,1272,334,948,1895,1295,0,0,0,362211,1266,755714,1361,S,17966,1500,218,21,95,15,0,1,38,3361284096,45558,0,820626,45558,36941,5,0
2023-01-10 00:34:53.635132,1295,334,951,1903,1295,0,0,0,364389,1292,760855,1393,S,17968,1500,218,21,101,16,0,1,38,3361284096,45558,1,820626,45558,36941,5,0
2023-01-10 00:34:53.900663,1321,335,955,1914,1295,0,0,0,366945,1323,766402,1429,R,17970,1500,218,21,107,18,0,1,38,3361284096,45558,1,820626,45558,36941,5,0
2023-01-10 00:34:54.151088,1345,335,960,1921,1295,0,0,0,369099,1349,772233,1461,S,17971,1500,218,21,110,18,0,1,38,3361284096,45558,0,820626,45558,36941,5,0
2023-01-10 00:34:54.401230,1371,336,964,1927,1296,0,0,0,371451,1378,776670,1488,R,17972,1500,218,21,117,19,0,1,38,3361284096,45558,1,820626,45558,36941,5,0
2023-01-10 00:34:54.682380,1399,336,969,1936,1297,0,0,0,374139,1411,781668,1522,S,17972,1500,218,21,124,19,0,1,38,3361284096,45558,1,820626,45558,36941,5,0
2023-01-10 00:34:54.932625,1419,336,973,1945,1297,0,0,0,376695,1442,786777,1557,R,18013,1500,218,21,129,19,0,1,38,3363381248,45617,0,821138,45617,36940,5,0
2023-01-10 00:34:55.193603,1442,337,976,1959,1297,0,0,0,379383,1475,793100,1595,S,18026,1500,218,21,134,20,0,1,38,3363381248,45617,1,821138,45617,36940,5,0
2023-01-10 00:34:55.448354,1469,337,981,1972,1297,0,0,0,381693,1503,797984,1628,S,18028,1500,218,21,140,21,0,1,38,3363381248,45615,1,821138,45615,36940,5,0
2023-01-10 00:34:55.712135,1483,341,985,1978,1297,0,0,0,384447,1537,802832,1659,S,18028,1500,218,21,141,21,0,1,38,3363381248,45615,0,821138,45615,36940,5,0
2023-01-10 00:34:55.975523,1507,348,991,1984,1297,0,0,0,386913,1567,807674,1691,S,18039,1500,218,21,144,22,0,1,38,3363381248,45615,0,821138,45615,36940,5,0
2023-01-10 00:34:56.231153,1531,348,997,1986,1297,0,0,0,389487,1599,812516,1723,S,18042,1500,218,21,151,22,0,1,38,3363381248,45615,0,821138,45615,36940,5,0
2023-01-10 00:34:56.499360,1560,349,1002,1989,1297,0,0,0,391731,1626,817137,1752,S,18042,1500,218,21,154,22,0,1,38,3363381248,45615,0,821138,45642,36940,5,0
2023-01-10 00:34:56.754671,1598,349,1006,1994,1297,0,0,0,394027,1653,822067,1785,R,18099,1500,218,21,158,23,0,1,38,3363381248,45642,0,821138,45642,36940,5,0
2023-01-10 00:34:57.010063,1616,349,1009,1995,1297,0,0,0,396087,1678,827830,1816,R,18099,1500,218,21,161,23,0,1,38,3363381248,45642,0,821138,45642,36940,5,0
2023-01-10 00:34:57.282523,1640,350,1013,2006,1297,0,0,0,398553,1708,832743,1849,S,18207,1500,218,21,167,23,0,1,38,3363381248,45691,0,821138,45691,36988,5,0
2023-01-10 00:34:57.538285,1664,350,1017,2017,1297,0,0,0,400887,1736,837451,1879,R,18211,1500,218,21,172,24,0,1,38,3363381248,45691,0,821138,45691,36988,5,0
2023-01-10 00:34:57.794972,1689,350,1023,2026,1297,0,0,0,403197,1764,842159,1909,R,18220,1500,218,21,178,25,0,1,38,3363381248,45691,1,821138,45691,36988,5,0
2023-01-10 00:34:58.058269,1716,350,1026,2037,1297,0,0,0,405795,1796,847131,1943,R,18267,1500,218,21,185,25,0,1,38,3367575552,45691,0,822162,45870,37082,5,0
2023-01-10 00:34:58.318724,1757,351,1031,2042,1298,0,0,0,408905,1833,854175,1988,S,18351,1500,218,21,192,27,0,1,38,3367575552,45861,1,822162,45861,37082,5,0
2023-01-10 00:34:58.574254,1772,351,1033,2043,1298,0,0,0,410587,1853,857360,2014,R,18391,1500,218,21,194,27,0,1,38,3367575552,45861,1,822162,45861,37082,5,0
2023-01-10 00:34:58.840197,1799,351,1037,2048,1298,0,0,0,412921,1881,862110,2045,R,18448,1500,218,21,198,28,0,1,38,3367575552,45907,0,822162,45907,37082,5,0
2023-01-10 00:34:59.100646,1826,351,1043,2053,1298,0,0,0,415609,1914,866977,2077,S,18451,1500,218,21,202,29,0,1,38,3367575552,45907,1,822196,45907,37082,5,0
