#com.zbien.jewishmeasumentsconversions
#./workspace/com.zbien.jewishmeasumentsconversions_0/com.zbien.jewishmeasumentsconversions.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:37:40.410983,839,299,881,1832,1181,0,0,0,277710,678,658619,791,S,6389,0,162,0,6,6,0,0,36,3335569408,36540,0,814348,36540,31167,5,0
2023-01-10 01:37:40.681626,847,299,883,1832,1181,0,0,0,281316,722,666246,841,S,6389,0,162,0,6,6,0,0,36,3335569408,36540,0,814348,36540,31167,5,0
2023-01-10 01:37:40.942514,858,302,887,1832,1181,0,0,0,283428,747,670811,869,S,6389,0,162,0,6,6,0,0,36,3335569408,36540,0,814348,36540,31167,5,0
2023-01-10 01:37:41.207709,866,306,890,1838,1181,0,0,0,285828,776,675737,901,S,6417,0,165,0,6,6,0,0,36,3335569408,36540,0,814348,36540,31167,5,0
2023-01-10 01:37:41.453020,869,310,892,1859,1181,0,0,0,288246,806,680254,929,S,6426,0,165,0,6,6,0,0,36,3335569408,36540,0,814348,36540,31167,5,0
2023-01-10 01:37:41.725755,873,310,894,1901,1181,0,0,0,291042,841,685267,963,S,6688,0,165,0,7,7,0,0,37,3337478144,37571,0,814814,37571,32145,5,0
2023-01-10 01:37:41.965613,877,311,897,1933,1182,0,0,0,294150,880,690330,997,S,6929,0,168,0,8,7,0,0,37,3337478144,38158,0,814814,38158,32614,5,0
2023-01-10 01:37:42.236129,907,311,901,1943,1183,0,0,0,296658,911,695094,1028,S,6930,0,168,0,8,7,0,0,37,3337478144,38158,1,814814,38158,32614,5,0
2023-01-10 01:37:42.496641,918,311,904,1971,1184,0,0,0,299520,947,700039,1061,S,7677,0,168,0,9,7,0,0,37,3339177984,38661,1,815229,38661,33100,5,0
2023-01-10 01:37:42.766547,938,312,908,1991,1185,0,0,0,302316,982,705028,1095,S,7696,0,169,0,10,7,0,0,37,3339177984,38661,0,815229,38661,33100,5,0
