#com.zelmamarcelino12.fifa12
#./workspace/com.zelmamarcelino12.fifa12_0/app3599.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 16:42:42.481660,847,155,563,2144,768,0,0,0,1370537,2242,783010,1756,S,8686,0,292,0,17,13,0,0,40,3350089728,39647,0,818278,39796,33654,5,0
2023-01-11 16:42:42.740742,854,157,567,2144,768,0,0,0,1376171,2291,792135,1819,S,8813,0,292,0,17,14,0,0,41,3351666688,39796,0,818009,39891,33734,5,0
2023-01-11 16:42:43.011298,866,158,571,2144,768,0,0,0,1378275,2314,795187,1841,S,8826,0,292,0,18,14,0,0,40,3350564864,39891,0,818009,39891,33734,5,0
2023-01-11 16:42:43.276833,872,161,574,2144,768,0,0,0,1388021,2368,805115,1898,S,8826,0,292,0,18,14,0,0,40,3350564864,39891,0,818009,39891,33734,5,0
2023-01-11 16:42:43.559219,879,170,580,2148,769,0,0,0,1390841,2403,810352,1934,S,8840,0,292,0,18,14,0,0,40,3350564864,39891,0,818009,39891,33734,5,0
2023-01-11 16:42:43.826266,901,171,585,2152,769,0,0,0,1393777,2439,816373,1975,S,8848,0,292,0,18,14,0,0,40,3350564864,39891,0,818009,39969,33797,5,0
2023-01-11 16:42:44.102644,908,172,590,2177,770,0,0,0,1396477,2472,821588,2011,S,8855,0,292,0,18,15,0,0,40,3350564864,39969,0,818009,39969,33797,5,0
2023-01-11 16:42:44.344652,912,172,593,2209,770,0,0,0,1399141,2505,826781,2048,S,8857,0,292,0,19,15,0,0,40,3350564864,39969,0,818009,40011,33817,5,0
2023-01-11 16:42:44.605022,914,172,596,2249,770,0,0,0,1401735,2537,832788,2089,S,8890,0,292,0,19,15,0,0,40,3350564864,40011,0,818233,40777,34575,5,0
2023-01-11 16:42:44.875718,919,172,599,2286,771,0,0,0,1404699,2574,839081,2133,S,9131,0,293,0,20,15,0,0,40,3350020096,40534,1,817876,40671,34428,5,0
2023-01-11 16:42:45.135998,934,172,604,2299,772,0,0,0,1406603,2597,843812,2161,S,9208,0,293,0,22,15,0,0,40,3350020096,40689,0,817876,40689,34428,5,0
2023-01-11 16:42:45.406553,946,172,612,2321,773,0,0,0,1409513,2633,850788,2205,S,9218,0,293,0,22,15,0,0,40,3350020096,40689,0,817876,40689,34428,5,0
2023-01-11 16:42:45.645075,952,172,615,2355,773,0,0,0,1412151,2665,856360,2242,S,9227,0,293,0,23,15,0,0,40,3350020096,40824,0,817908,40824,34509,5,0
2023-01-11 16:42:45.891099,957,172,620,2379,773,0,0,0,1415047,2701,862236,2283,S,9275,0,293,0,24,15,0,0,40,3350151168,40825,0,817913,41300,34836,5,0
2023-01-11 16:42:46.147783,979,174,630,2393,774,0,0,0,1420689,2772,874549,2353,R,11652,0,322,0,32,18,0,0,43,3360714752,44460,0,819072,43710,35788,5,0
2023-01-11 16:42:46.447203,1027,178,646,2393,774,0,0,0,1424041,2811,880664,2396,S,12053,0,328,0,37,21,0,0,43,3354812416,43812,1,819042,43399,35788,5,0
