#com.zfo.simplemsgshower
#./workspace/com.zfo.simplemsgshower_0/com.zfo.simplemsgshower.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:37:56.835361,906,321,863,1884,1076,0,0,0,484880,881,658609,858,S,18424,1522,196,8,39,10,0,1,40,3387113472,52397,0,826933,53539,38666,5,0
2023-01-10 05:37:57.095181,913,322,867,1884,1076,0,0,0,487478,913,664592,890,S,19417,1522,210,8,40,13,0,1,40,3386830848,53303,0,826863,53303,38666,5,0
2023-01-10 05:37:57.365682,924,325,874,1884,1078,0,0,0,491054,958,670442,931,S,19513,1522,217,8,41,13,0,1,40,3387883520,53843,1,827719,53801,39351,5,0
2023-01-10 05:37:57.628360,929,332,877,1900,1081,0,0,0,493808,992,675541,964,S,19583,1522,222,8,41,15,0,1,42,3390337024,53801,0,827719,53801,39351,5,0
2023-01-10 05:37:57.893967,931,332,879,1947,1081,0,0,0,496958,1032,680737,1000,S,19583,1522,222,8,41,15,0,1,42,3390337024,53466,0,827719,53466,39351,5,0
2023-01-10 05:37:58.150200,934,333,881,1981,1082,0,0,0,499820,1068,685490,1030,S,19598,1522,222,8,41,15,0,1,42,3390337024,53466,0,827719,53466,39351,5,0
2023-01-10 05:37:58.400301,937,334,884,2018,1083,0,0,0,502706,1104,690526,1065,S,19601,1522,222,8,41,15,0,1,42,3390337024,53466,0,827719,53466,39351,5,0
2023-01-10 05:37:58.665767,939,334,885,2064,1083,0,0,0,505724,1142,695526,1098,S,19601,1522,222,8,41,15,0,1,42,3390337024,53466,0,827719,53466,39351,5,0
2023-01-10 05:37:58.925636,943,334,888,2089,1084,0,0,0,508190,1172,700454,1131,S,19603,1522,222,8,41,15,0,1,42,3390337024,53466,0,827719,53466,39351,5,0
2023-01-10 05:37:59.180973,945,334,889,2135,1084,0,0,0,511076,1208,705694,1168,S,19603,1522,222,8,41,15,0,1,42,3390337024,53466,1,827719,53538,39421,5,0
