#com.zft
#./workspace/com.zft_0/app5219.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 03:28:18.839087,946,257,740,909,608,0,0,0,2522044,2115,643643,864,S,4562,0,51,0,16,6,0,0,14,1124954112,23368,0,274647,23368,17922,5,0
2023-01-11 03:28:19.109882,956,259,743,909,608,0,0,0,2524813,2148,650233,903,S,4562,0,51,0,16,6,0,0,14,1124954112,23368,0,274647,23368,17922,5,0
2023-01-11 03:28:19.370613,958,259,744,909,608,0,0,0,2525436,2155,651620,910,S,4562,0,51,0,16,6,0,0,14,1124954112,23368,0,274647,23368,17922,5,0
2023-01-11 03:28:19.627715,963,262,749,909,608,0,0,0,2528682,2195,658323,951,S,4562,0,51,0,16,6,0,0,14,1124954112,23368,0,274647,23368,17922,5,0
2023-01-11 03:28:19.877988,966,267,751,909,608,0,0,0,2531082,2224,662968,980,S,4562,0,51,0,17,6,0,0,14,1124954112,23368,0,274647,23368,17922,5,0
2023-01-11 03:28:20.138397,975,274,755,910,608,0,0,0,2534993,2272,671611,1031,S,4665,0,51,0,20,7,0,0,14,1125085184,23518,1,274950,23696,18213,5,0
2023-01-11 03:28:20.389432,981,275,756,910,608,0,0,0,2536642,2292,674675,1055,S,4675,0,51,0,20,7,0,0,14,1125609472,23518,1,274950,23697,18213,5,0
2023-01-11 03:28:20.630083,989,278,761,917,608,0,0,0,2539264,2324,679917,1092,R,4874,0,51,0,22,8,0,0,14,1126195200,23697,1,275014,23717,18228,5,0
2023-01-11 03:28:20.905897,996,281,765,928,608,0,0,0,2541730,2354,684736,1124,S,5128,0,51,0,26,8,0,0,14,1126457344,23717,1,275014,23734,18244,5,0
2023-01-11 03:28:21.171708,1003,284,769,935,608,0,0,0,2543884,2380,689221,1152,S,5308,0,51,0,32,9,0,0,14,1126461440,23898,1,275015,23901,18378,5,0
2023-01-11 03:28:21.434965,1017,286,774,948,608,0,0,0,2547717,2426,696863,1202,S,5790,0,51,0,41,9,0,0,14,1126461440,23903,0,275015,23952,18427,5,0
2023-01-11 03:28:21.706020,1033,288,778,949,608,0,0,0,2548968,2441,698941,1217,S,5804,0,52,0,42,9,0,0,14,1126461440,23903,0,275015,23955,18427,5,0
2023-01-11 03:28:21.961359,1068,289,787,949,608,0,0,0,2551392,2470,704744,1246,R,6150,0,52,0,49,9,0,0,14,1126461440,23955,1,275015,23957,18427,5,0
