#com.zuikong.zuikong1094
#./workspace/com.zuikong.zuikong1094_0/com.zuikong.zuikong1094.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:34:51.649949,924,297,870,1665,1205,0,0,0,175032,623,643178,804,S,9494,0,197,0,9,10,0,0,41,3357364224,41619,0,820185,43617,34929,5,0
2023-01-10 01:34:51.926004,935,298,874,1665,1206,0,0,0,177744,656,649611,842,S,10765,0,208,0,10,10,0,0,40,3359477760,43617,0,821978,44673,35119,5,0
2023-01-10 01:34:52.176231,939,298,876,1665,1206,0,0,0,179426,676,652548,865,S,11649,0,214,0,10,11,0,0,40,3365773312,44673,0,825187,46825,35500,5,0
2023-01-10 01:34:52.435885,947,302,881,1665,1206,0,0,0,182786,717,659873,910,D,13615,0,217,0,12,13,0,0,39,3376713728,47476,0,825181,48219,36775,5,0
2023-01-10 01:34:52.694148,955,304,885,1666,1207,0,0,0,184964,743,664483,939,S,13741,0,219,0,13,13,0,0,39,3379941376,48327,0,825181,48327,36879,5,0
2023-01-10 01:34:52.960728,964,308,887,1666,1209,0,0,0,187388,772,670132,976,S,13814,0,219,0,13,13,0,0,39,3380219904,48408,0,825249,48408,36958,5,0
2023-01-10 01:34:53.210140,973,310,891,1669,1209,0,0,0,189920,803,675576,1012,S,13815,0,219,0,14,13,0,0,39,3380219904,48408,1,825249,48417,36963,5,0
2023-01-10 01:34:53.480749,978,313,893,1686,1209,0,0,0,192344,832,681159,1049,S,13815,0,219,0,14,13,0,0,39,3380219904,48417,1,825409,48712,37254,5,0
2023-01-10 01:34:53.746455,988,313,897,1717,1209,0,0,0,194942,864,687610,1089,S,15109,0,225,0,18,13,0,0,39,3384221696,49632,1,826226,49632,38181,5,0
2023-01-10 01:34:54.012285,1003,314,902,1723,1209,0,0,0,197762,899,692715,1124,S,15110,0,225,0,20,13,0,0,39,3384221696,49632,0,826226,49632,38181,5,0
2023-01-10 01:34:54.265780,1010,314,903,1745,1209,0,0,0,200516,933,697844,1159,S,15110,0,225,0,20,13,0,0,39,3384221696,49632,1,826226,49632,38181,5,0
2023-01-10 01:34:54.546778,1015,315,905,1782,1209,0,0,0,203114,965,702679,1191,S,15133,0,225,0,20,13,0,0,39,3384221696,49632,1,826226,49632,38181,5,0
2023-01-10 01:34:54.790835,1018,315,908,1814,1209,0,0,0,205670,996,709175,1231,S,15134,0,225,0,21,13,0,0,39,3384221696,49632,1,826226,49634,38181,5,0
2023-01-10 01:34:55.056592,1023,315,909,1858,1209,0,0,0,208598,1033,714100,1264,S,15198,0,225,0,21,13,0,0,39,3384221696,49634,0,826022,49452,37994,5,0
