#cuga.fuc.gug.remote.desktop.spy
#./workspace/cuga.fuc.gug.remote.desktop.spy_0/cuga.fuc.gug.remote.desktop.spy.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:15:09.979500,751,307,810,1792,1248,0,0,0,587379,861,665970,779,S,8163,0,180,0,13,6,0,0,38,3341553664,40160,0,815952,40292,33404,5,0
2023-01-10 02:15:10.250282,762,307,814,1792,1248,0,0,0,590113,893,672313,812,S,8308,0,180,0,13,6,0,0,38,3342139392,40292,0,815952,40292,33404,5,0
2023-01-10 02:15:10.510832,766,307,815,1792,1248,0,0,0,590671,900,675217,823,S,8308,0,180,0,13,6,0,0,38,3342139392,40292,0,815952,40292,33404,5,0
2023-01-10 02:15:10.762583,774,310,818,1792,1248,0,0,0,592987,928,678555,850,S,8308,0,180,0,13,6,0,0,38,3342139392,40292,0,816016,40930,34033,5,0
2023-01-10 02:15:11.013163,786,313,823,1793,1248,0,0,0,596766,974,686774,894,S,8841,0,200,0,18,6,0,0,41,3347910656,41325,0,818514,42253,35037,5,0
2023-01-10 02:15:11.550763,840,314,831,1793,1248,0,0,0,599500,1006,692245,931,S,9991,0,206,0,20,7,0,0,41,3352633344,42253,0,818514,42271,35053,5,0
2023-01-10 02:15:11.290417,825,314,828,1793,1248,0,0,0,599656,1008,693224,933,S,9990,0,206,0,19,7,0,0,41,3352633344,42253,0,818514,42271,35053,5,0
2023-01-10 02:15:11.808105,844,318,834,1793,1249,0,0,0,602053,1037,697192,968,S,9997,0,206,0,20,7,0,0,41,3352633344,42253,0,818514,42271,35053,5,0
2023-01-10 02:15:12.050516,854,326,844,1799,1257,0,0,0,604675,1069,702203,1002,S,10383,0,216,0,22,7,0,0,41,3353952256,42660,1,818836,42777,35389,5,0
2023-01-10 02:15:12.321176,874,327,854,1801,1264,0,0,0,606943,1096,707017,1033,S,10537,0,217,0,23,8,0,0,41,3353952256,42777,1,818836,42777,35389,5,0
2023-01-10 02:15:12.595959,894,328,866,1804,1269,0,0,0,609583,1129,711693,1063,S,10540,0,217,0,23,8,0,0,41,3353952256,42777,0,819041,43345,35769,5,0
2023-01-10 02:15:12.861959,921,328,876,1808,1275,0,0,0,611893,1157,716305,1092,S,11651,0,220,0,27,9,0,0,41,3354791936,43361,1,819041,43361,35785,5,0
2023-01-10 02:15:13.121355,947,330,881,1811,1275,0,0,0,613849,1180,720958,1122,S,11659,0,220,0,29,9,0,0,41,3354791936,43361,0,819041,43456,35846,5,0
2023-01-10 02:15:13.384630,974,330,887,1816,1275,0,0,0,616225,1209,725609,1152,R,11936,0,220,0,31,10,0,0,41,3354791936,43456,1,819073,43456,35846,5,0
2023-01-10 02:15:13.638020,1002,331,892,1822,1276,0,0,0,618691,1239,730493,1184,S,11989,0,220,0,32,11,0,0,41,3354923008,43456,0,819073,43458,35846,5,0
2023-01-10 02:15:13.895228,1011,331,897,1842,1278,0,0,0,621313,1271,735623,1219,S,12018,0,221,0,33,11,0,0,41,3354923008,43480,1,819073,43459,35862,5,0
2023-01-10 02:15:14.160782,1015,332,900,1883,1280,0,0,0,623713,1300,740873,1256,S,12032,0,221,0,33,11,0,0,41,3354923008,43459,0,819073,43459,35862,5,0
2023-01-10 02:15:14.416061,1018,332,902,1925,1280,0,0,0,626533,1335,746093,1292,S,12036,0,221,0,33,11,0,0,41,3354923008,43459,0,819073,43459,35862,5,0
2023-01-10 02:15:14.671828,1024,332,904,1965,1280,0,0,0,629287,1369,751703,1329,S,12037,0,221,0,34,11,0,0,41,3354923008,43459,0,819073,43463,35865,5,0
2023-01-10 02:15:14.934232,1030,333,906,2001,1281,0,0,0,632305,1407,757248,1365,S,12063,0,222,0,35,11,0,0,41,3354923008,43463,1,819073,43464,35865,5,0
2023-01-10 02:15:15.194743,1035,333,908,2044,1281,0,0,0,634837,1438,762614,1399,S,12152,0,222,0,35,12,0,0,41,3354923008,43464,1,819073,43466,35865,5,0
2023-01-10 02:15:15.450150,1042,334,910,2083,1281,0,0,0,637855,1476,769047,1438,S,12155,0,222,0,35,12,0,0,41,3354923008,43466,0,819073,43466,35865,5,0
2023-01-10 02:15:15.710378,1044,334,914,2124,1283,0,0,0,640807,1513,774152,1473,R,12155,0,222,0,36,12,0,0,41,3354923008,43466,1,819073,43485,35877,5,0
2023-01-10 02:15:15.976004,1051,335,916,2166,1283,0,0,0,643447,1546,778966,1505,S,12207,0,222,0,36,12,0,0,42,3356012544,43486,0,819339,43486,35877,5,0
2023-01-10 02:15:16.224053,1058,344,922,2181,1284,0,0,0,646451,1583,785333,1543,S,12274,0,222,0,37,13,0,0,42,3355938816,43470,1,819321,43487,35893,5,0
2023-01-10 02:15:16.499808,1090,347,929,2183,1285,0,0,0,648605,1609,789661,1568,S,12399,0,222,0,38,13,0,0,42,3355938816,43487,1,819321,43534,35938,5,0
2023-01-10 02:15:16.755646,1118,347,934,2184,1285,0,0,0,650533,1632,794013,1593,S,12401,0,222,0,38,13,0,0,42,3355938816,43534,1,819321,43534,35938,5,0
2023-01-10 02:15:17.001312,1140,347,939,2187,1285,0,0,0,653287,1666,798923,1625,S,12407,0,222,0,39,13,0,0,42,3355938816,43534,1,819335,43534,35938,5,0
2023-01-10 02:15:17.272435,1176,348,945,2191,1285,0,0,0,655621,1694,803854,1658,R,12546,0,223,0,40,14,0,0,42,3355938816,43559,0,819321,43562,35939,5,0
2023-01-10 02:15:17.522485,1197,348,948,2195,1285,0,0,0,657955,1722,808674,1689,S,12546,0,223,0,40,14,0,0,42,3355938816,43562,0,819321,43562,35939,5,0
2023-01-10 02:15:17.792971,1202,349,951,2228,1285,0,0,0,660907,1759,813608,1721,S,13037,0,223,0,41,14,0,0,42,3356463104,43585,1,819449,43585,35956,5,0
