#de.k4ever.k4android
#./workspace/de.k4ever.k4android_0/de.k4ever.k4android.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:25:32.765553,877,211,671,2405,710,0,0,0,451937,851,701230,934,S,13842,0,11,0,87,10,0,0,17,3339128832,40228,1,816110,41137,27771,5,0
2023-01-11 02:25:33.041494,877,211,672,2405,710,0,0,0,452651,860,704044,944,S,13842,0,11,0,88,10,0,0,17,3339128832,40228,1,816110,41137,27771,5,0
2023-01-11 02:25:33.297052,891,212,677,2405,710,0,0,0,456012,900,710268,990,S,14734,0,11,0,100,11,0,0,17,3342786560,41137,1,816110,41137,27771,5,0
2023-01-11 02:25:33.551298,892,213,677,2405,710,0,0,0,456791,909,711811,999,S,14734,0,11,0,100,11,0,0,17,3342786560,41137,1,816110,41137,27771,5,0
2023-01-11 02:25:33.817138,901,218,682,2405,710,0,0,0,461525,967,722654,1062,S,14734,0,11,0,101,11,0,0,17,3342786560,41137,1,815599,40115,27266,5,0
2023-01-11 02:25:34.087753,913,221,686,2405,710,0,0,0,463642,992,726382,1092,S,14750,0,11,0,105,11,0,0,17,3340693504,40115,1,815599,40115,27266,5,0
2023-01-11 02:25:34.348093,913,221,686,2405,710,0,0,0,464421,1001,727914,1099,S,14750,0,11,0,105,11,0,0,17,3340693504,40115,1,815599,40115,27266,5,0
2023-01-11 02:25:34.611654,921,224,692,2405,710,0,0,0,466935,1031,733018,1133,S,14752,0,11,0,107,12,0,0,17,3340693504,40115,1,815823,40567,28057,5,0
2023-01-11 02:25:34.872149,927,228,695,2405,710,0,0,0,469335,1060,737636,1162,S,14977,0,11,0,113,12,0,0,17,3341611008,40567,1,815823,40567,28057,5,0
2023-01-11 02:25:35.123570,934,230,699,2405,710,0,0,0,472198,1094,744361,1203,S,14995,0,11,0,120,12,0,0,17,3341611008,40567,1,815824,40634,28107,5,0
2023-01-11 02:25:35.373959,939,231,705,2405,710,0,0,0,473781,1113,747183,1225,S,15020,0,12,0,121,13,0,0,17,3341615104,40634,1,815824,40634,28107,5,0
2023-01-11 02:25:35.619213,941,232,709,2405,713,0,0,0,476115,1141,752652,1260,S,15020,0,12,0,121,14,0,0,17,3341615104,40634,1,815824,40634,28107,5,0
2023-01-11 02:25:35.879747,953,241,720,2406,717,0,0,0,478425,1169,757197,1288,S,15024,0,12,0,124,14,0,0,17,3341615104,40634,1,815824,40634,28107,5,0
2023-01-11 02:25:36.150540,972,252,732,2410,717,0,0,0,481249,1204,763165,1327,S,15029,0,12,0,133,14,0,0,17,3341615104,40634,1,815856,40634,28107,5,0
2023-01-11 02:25:36.405488,985,258,738,2411,717,0,0,0,483243,1228,767776,1356,S,15062,0,12,0,135,14,0,0,17,3341746176,40634,1,815856,40635,28107,5,0
2023-01-11 02:25:36.675886,1003,267,752,2414,718,0,0,0,486223,1265,774133,1395,S,15100,0,12,0,148,14,0,0,17,3341746176,40072,1,815856,40072,28107,5,0
2023-01-11 02:25:36.921038,1024,269,757,2415,718,0,0,0,487929,1285,778475,1421,S,15100,0,12,0,153,14,0,0,17,3341746176,40072,0,815856,40072,28107,5,0
2023-01-11 02:25:37.182255,1034,273,765,2423,722,0,0,0,490617,1318,783489,1455,S,15133,0,12,0,153,14,0,0,17,3341746176,40072,0,815856,40072,28107,5,0
2023-01-11 02:25:37.440008,1041,279,771,2446,723,0,0,0,493323,1352,788035,1483,S,15157,0,12,0,155,15,0,0,17,3341746176,40072,1,815856,40072,28107,5,0
2023-01-11 02:25:37.700588,1047,279,775,2484,723,0,0,0,495609,1380,794272,1520,S,15158,0,12,0,158,16,0,0,17,3341746176,40072,0,815856,40072,28107,5,0
2023-01-11 02:25:37.961362,1058,280,780,2512,723,0,0,0,498297,1413,799508,1557,S,15159,0,12,0,159,16,0,0,17,3341746176,40072,0,815856,40072,28107,5,0
2023-01-11 02:25:38.227120,1068,280,786,2544,723,0,0,0,500697,1442,805264,1597,S,15160,0,12,0,162,17,0,0,17,3341746176,40072,1,815856,40072,28107,5,0
2023-01-11 02:25:38.489229,1082,280,791,2576,723,0,0,0,503545,1477,811214,1638,S,15160,0,12,0,170,18,0,0,17,3341746176,40061,0,815856,40061,28107,5,0
