#de.trier.infsec.koch.droidsheep
#./workspace/de.trier.infsec.koch.droidsheep_5/app1642.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:43:47.572940,908,417,907,1326,1302,0,0,0,206079,662,699580,835,S,1563,0,0,0,0,1,0,0,13,3283169280,20605,1,801555,20605,16173,5,0
2023-01-10 03:43:47.825472,920,418,911,1327,1302,0,0,0,209395,703,706886,878,S,1564,0,0,0,0,1,0,0,13,3283169280,20605,1,801555,20605,16173,5,0
2023-01-10 03:43:48.114250,928,420,913,1327,1302,0,0,0,211257,725,711318,904,S,1564,0,0,0,0,1,0,0,13,3283169280,20605,1,801555,20605,16173,5,0
2023-01-10 03:43:48.368110,935,422,916,1328,1302,0,0,0,213567,753,716574,937,S,1564,0,0,0,0,1,0,0,13,3283169280,20605,1,801555,20605,16173,5,0
2023-01-10 03:43:48.632467,945,424,919,1330,1303,0,0,0,216099,784,721746,969,S,1564,0,0,0,0,1,0,0,13,3283169280,20605,1,803480,26571,21719,5,0
2023-01-10 03:43:48.891252,955,425,923,1333,1303,0,0,0,218971,819,728009,1004,S,4078,1674,2,5,1,4,1,0,16,3293437952,27149,1,804062,27149,22346,5,0
2023-01-10 03:43:49.146773,957,425,925,1333,1303,0,0,0,221121,845,732665,1033,S,4079,1674,2,5,1,4,1,0,16,3293437952,27149,1,804062,27149,22346,5,0
2023-01-10 03:43:49.412526,962,426,929,1333,1303,0,0,0,223653,876,737477,1064,S,4093,1674,2,5,1,4,1,0,16,3293437952,27149,1,804034,26984,22443,5,0
2023-01-10 03:43:49.678092,974,426,932,1345,1303,0,0,0,226407,910,742661,1101,S,4274,1674,2,5,2,4,1,0,16,3293323264,26984,1,804035,27076,22472,5,0
2023-01-10 03:43:49.933536,997,428,938,1350,1304,0,0,0,228873,940,748841,1137,S,4727,1674,2,5,4,4,1,0,16,3293327360,27094,0,804450,27519,22875,5,0
2023-01-10 03:43:50.188807,1016,430,941,1352,1304,0,0,0,231051,966,753542,1167,S,5146,1674,2,5,5,4,1,0,16,3295027200,27519,0,804482,27679,23017,5,0
2023-01-10 03:43:50.444297,1029,430,944,1379,1304,0,0,0,233427,995,758375,1199,S,5383,1674,3,5,6,4,1,0,16,3295158272,27679,0,804482,27679,23017,5,0
2023-01-10 03:43:50.704580,1036,431,946,1418,1304,0,0,0,236181,1029,763700,1237,S,5393,1674,4,5,7,4,1,0,16,3295158272,27680,0,804482,27680,23018,5,0
2023-01-10 03:43:50.970018,1042,431,948,1456,1304,0,0,0,238911,1063,768647,1270,S,5394,1674,4,5,7,4,1,0,16,3295158272,27680,1,804649,27883,23213,5,0
2023-01-10 03:43:51.215332,1056,431,951,1481,1304,0,0,0,241311,1092,773438,1301,S,5594,1674,4,5,9,4,1,0,16,3296104448,27951,1,804734,27951,23281,5,0
2023-01-10 03:43:51.491214,1077,432,954,1503,1304,0,0,0,244041,1126,778230,1332,S,5688,1674,4,5,10,4,1,0,16,3296190464,27952,0,804734,27952,23281,5,0
2023-01-10 03:43:51.744604,1098,432,957,1512,1304,0,0,0,246573,1157,784299,1367,S,5691,1674,4,5,11,5,1,0,16,3296190464,27952,1,804734,27952,23281,5,0
2023-01-10 03:43:52.011516,1120,433,962,1526,1304,0,0,0,248931,1185,789133,1399,S,5728,1674,4,5,11,5,1,0,16,3296190464,27952,1,804734,27952,23281,5,0
2023-01-10 03:43:52.271779,1130,433,964,1558,1305,0,0,0,251553,1217,794105,1432,S,5728,1674,4,5,11,5,1,0,16,3296190464,27952,1,804734,27952,23281,5,0
2023-01-10 03:43:52.527315,1139,433,967,1588,1305,0,0,0,254109,1248,799011,1464,S,5729,1674,4,5,11,5,1,0,16,3296190464,27952,1,804734,27952,23281,5,0
2023-01-10 03:43:52.787491,1148,434,972,1624,1307,0,0,0,256995,1284,804115,1499,S,5750,1674,4,5,12,5,1,0,16,3296190464,27992,1,804734,27976,23301,5,0
2023-01-10 03:43:53.052948,1156,434,974,1661,1307,0,0,0,259701,1318,808949,1531,S,5753,1674,4,5,12,5,1,0,16,3296190464,27976,0,804734,27976,23301,5,0
2023-01-10 03:43:53.308341,1162,435,975,1702,1307,0,0,0,262653,1355,813987,1565,S,5753,1674,4,5,13,5,1,0,16,3296190464,27976,0,804979,27960,23281,5,0
2023-01-10 03:43:53.569503,1185,436,979,1717,1307,0,0,0,264939,1383,818485,1593,S,5769,1674,4,5,13,5,1,0,17,3297193984,27960,0,804979,27960,23281,5,0
