#dfjg6.Gtr6H
#./workspace/dfjg6.Gtr6H_0/app937.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 03:17:22.866953,1398,416,911,1014,703,0,0,0,19650163,13918,764886,1690,S,6028,0,15,0,40,16,0,0,13,3288506368,25105,0,803194,25265,19421,5,0
2023-01-11 03:17:23.142980,1405,418,913,1014,703,0,0,0,19651911,13939,767775,1712,S,6107,0,15,0,51,18,0,0,13,3288780800,25171,0,802741,25292,19437,5,0
2023-01-11 03:17:23.415286,1411,421,917,1014,703,0,0,0,19655237,13979,775712,1753,S,6336,0,15,0,53,19,0,0,12,3288027136,25292,0,802741,25292,19437,5,0
2023-01-11 03:17:23.685911,1415,424,919,1014,703,0,0,0,19656829,13998,778511,1774,S,6336,0,15,0,53,19,0,0,12,3288027136,25292,0,802741,25292,19437,5,0
2023-01-11 03:17:23.941665,1416,435,921,1014,703,0,0,0,19659545,14031,783627,1808,S,6386,0,15,0,53,20,0,0,12,3288027136,25292,1,802741,25292,19437,5,0
2023-01-11 03:17:24.186809,1423,437,924,1016,703,0,0,0,19661719,14057,788300,1838,S,6391,0,15,0,54,20,0,0,12,3288027136,25292,1,802741,25292,19437,5,0
2023-01-11 03:17:24.443491,1425,443,927,1023,703,0,0,0,19664053,14085,793063,1869,S,6392,0,15,0,54,20,0,0,12,3288027136,25292,1,802741,25292,19437,5,0
2023-01-11 03:17:24.707932,1429,447,933,1037,706,0,0,0,19666969,14120,799765,1910,S,6474,0,15,0,55,21,0,0,12,3288027136,25292,1,802742,25584,19675,5,0
2023-01-11 03:17:24.967835,1436,451,938,1037,706,0,0,0,19671240,14172,807652,1962,S,6587,0,15,0,58,21,0,0,12,3288031232,25584,1,802742,25589,19680,5,0
2023-01-11 03:17:25.243616,1439,453,941,1037,706,0,0,0,19672676,14189,811126,1980,S,6624,0,15,0,58,21,0,0,12,3288031232,25589,0,802742,25589,19680,5,0
2023-01-11 03:17:25.488928,1450,463,948,1037,706,0,0,0,19674533,14211,814304,2005,S,6624,0,15,0,58,21,0,0,12,3288031232,25589,0,802742,25589,19680,5,0
2023-01-11 03:17:25.742672,1457,477,955,1037,706,0,0,0,19676839,14239,819314,2039,S,6624,0,15,0,58,21,0,0,12,3288031232,25589,0,802742,25639,19728,5,0
2023-01-11 03:17:26.014827,1509,500,975,1038,706,0,0,0,19681431,14295,828551,2094,S,6828,0,15,0,63,22,0,0,12,3288031232,25655,0,802742,25656,19743,5,0
2023-01-11 03:17:26.265100,1510,504,976,1038,706,0,0,0,19682772,14311,830971,2111,S,6828,0,15,0,63,22,0,0,12,3288031232,25655,0,802742,25656,19743,5,0
2023-01-11 03:17:26.540653,1512,506,979,1038,706,0,0,0,19684043,14326,834302,2127,S,6874,0,15,0,63,22,0,0,12,3288031232,25656,0,802742,25656,19743,5,0
2023-01-11 03:17:26.799234,1523,524,989,1038,706,0,0,0,19686061,14350,837768,2156,S,6875,0,15,0,64,22,0,0,12,3288031232,25656,0,802742,25656,19743,5,0
2023-01-11 03:17:27.069404,1533,536,1001,1038,706,0,0,0,19688617,14381,842756,2190,S,6876,0,15,0,65,22,0,0,12,3288031232,25656,0,802742,25656,19743,5,0
2023-01-11 03:17:27.319401,1540,554,1009,1038,706,0,0,0,19691215,14413,847479,2220,S,6936,0,15,0,65,22,0,0,12,3288031232,25623,0,802742,25625,19743,5,0
2023-01-11 03:17:27.575961,1546,574,1020,1038,707,0,0,0,19694555,14454,853865,2256,S,6990,0,15,0,66,22,0,0,12,3288031232,25625,0,802742,25625,19743,5,0
2023-01-11 03:17:27.826930,1562,580,1030,1039,708,0,0,0,19696303,14475,856712,2277,S,7001,0,15,0,66,22,0,0,12,3288031232,25625,0,802742,25642,19758,5,0
2023-01-11 03:17:28.082671,1572,592,1040,1043,709,0,0,0,19698679,14504,861387,2307,S,7142,0,15,0,68,22,0,0,12,3288031232,25642,0,802774,25647,19758,5,0
2023-01-11 03:17:28.343033,1576,608,1047,1052,710,0,0,0,19701565,14540,866440,2342,S,7447,0,15,0,69,22,0,0,12,3288162304,25648,0,802774,25649,19758,5,0
2023-01-11 03:17:28.597158,1579,619,1056,1067,713,0,0,0,19704097,14571,871427,2376,S,7565,0,15,0,70,22,0,0,12,3288162304,25649,0,802774,25652,19758,5,0
2023-01-11 03:17:28.879704,1583,638,1063,1084,716,0,0,0,19706629,14602,877469,2411,S,7612,0,15,0,71,22,0,0,12,3288162304,25652,0,802774,25660,19758,5,0
2023-01-11 03:17:29.130972,1587,646,1070,1099,717,0,0,0,19709317,14635,882508,2445,S,7696,0,15,0,72,22,0,0,12,3288162304,25679,1,802774,25679,19774,5,0
2023-01-11 03:17:29.388294,1590,664,1075,1112,718,0,0,0,19712179,14671,887363,2477,S,7708,0,15,0,73,22,0,0,12,3288162304,25679,0,802774,25679,19774,5,0
2023-01-11 03:17:29.672206,1592,670,1081,1132,721,0,0,0,19714933,14705,892266,2509,S,7732,0,15,0,73,22,0,0,12,3288162304,25680,0,802774,25680,19774,5,0
2023-01-11 03:17:29.957029,1594,675,1084,1132,721,0,0,0,19717399,14735,897079,2540,S,7732,0,15,0,73,22,0,0,12,3288162304,25680,0,802774,25680,19774,5,0
2023-01-11 03:17:30.201714,1598,681,1087,1132,722,0,0,0,19720469,14773,903259,2574,Z,7787,0,15,0,75,22,0,0,2,0,0,0,-1,-1,-1,-1,-1
2023-01-11 03:17:30.472534,1603,683,1090,1132,722,0,0,0,19722338,14795,905870,2594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:30.748157,1612,684,1093,1132,722,0,0,0,19724703,14823,910339,2623,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:31.000097,1623,687,1097,1134,723,0,0,0,19728451,14868,922215,2675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:31.275476,1627,687,1100,1135,723,0,0,0,19731036,14898,926775,2704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:31.542140,1637,688,1102,1135,723,0,0,0,19733048,14921,932557,2722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:31.787046,1646,689,1105,1135,723,0,0,0,19734826,14942,936581,2743,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:32.051021,1654,690,1108,1135,723,0,0,0,19737914,14976,941695,2777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:32.316272,1658,691,1110,1135,723,0,0,0,19742926,15034,957809,2835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:32.832104,1681,693,1117,1135,723,0,0,0,19744331,15050,961398,2854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:32.566429,1683,693,1118,1135,723,0,0,0,19747890,15090,966380,2883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:33.358343,1695,694,1122,1135,723,0,0,0,19748550,15097,967834,2891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:33.102638,1686,693,1119,1135,723,0,0,0,19749963,15113,972856,2903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:33.626140,1696,694,1124,1135,723,0,0,0,19754908,15170,984817,2956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:33.880730,1712,695,1132,1135,723,0,0,0,19755400,15176,986349,2962,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:34.130893,1714,696,1133,1135,723,0,0,0,19757607,15200,991461,2986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:34.392281,1720,696,1138,1135,723,0,0,0,19758903,15216,997710,3008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:34.674344,1727,697,1142,1135,723,0,0,0,19764524,15282,1010268,3078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:17:34.953323,1746,698,1151,1135,723,0,0,0,19768924,15335,1022371,3132,S,4925,0,0,0,28,8,0,0,13,3288248320,24678,1,802795,24678,18948,5,0
2023-01-11 03:17:35.489787,1766,698,1157,1135,723,0,0,0,19772381,15377,1033221,3179,S,4926,0,0,0,31,9,0,0,13,3288248320,24678,1,802795,24679,18948,5,0
2023-01-11 03:17:35.219743,1749,698,1153,1135,723,0,0,0,19773095,15386,1037218,3191,S,4926,0,0,0,31,9,0,0,13,3288248320,24678,1,802795,24679,18948,5,0
2023-01-11 03:17:35.760214,1772,699,1160,1135,723,0,0,0,19774655,15404,1040759,3210,S,4926,0,0,0,32,9,0,0,13,3288248320,24678,1,802795,24679,18948,5,0
2023-01-11 03:17:36.011221,1784,699,1165,1135,723,0,0,0,19778465,15450,1049536,3258,S,4967,0,0,0,36,10,0,0,13,3288248320,24679,1,802795,24679,18948,5,0
2023-01-11 03:17:36.266899,1790,699,1168,1135,723,0,0,0,19779244,15459,1051104,3267,S,4968,0,0,0,38,12,0,0,13,3288248320,24679,1,802830,24745,18948,5,0
2023-01-11 03:17:36.542503,1795,702,1172,1135,723,0,0,0,19781800,15490,1056074,3299,S,5080,0,0,0,45,15,0,0,13,3288391680,24746,1,802535,24592,19065,5,0
2023-01-11 03:17:36.818581,1798,710,1174,1137,723,0,0,0,19784662,15526,1062056,3332,S,5371,0,0,0,48,15,0,0,12,3287183360,24592,1,802536,24929,19345,5,0
