#dk.sofabold.sofapp
#./workspace/dk.sofabold.sofapp_0/dk.sofabold.sofapp.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:19:23.177885,895,317,893,2001,1094,0,0,0,503050,886,649790,855,S,3871,0,15,0,4,2,0,0,14,3290222592,27134,0,804719,28678,23383,5,0
2023-01-10 03:19:23.446649,906,318,896,2001,1094,0,0,0,506291,925,656771,899,S,5313,0,15,0,6,2,0,0,14,3296129024,28678,0,804719,28678,23383,5,0
2023-01-10 03:19:23.695672,913,319,898,2001,1094,0,0,0,507316,937,659917,911,S,5313,0,15,0,6,2,0,0,14,3296129024,28678,0,804719,28678,23383,5,0
2023-01-10 03:19:23.954337,917,321,900,2001,1094,0,0,0,510028,970,664885,943,S,5313,0,15,0,6,2,0,0,14,3296129024,28678,0,804719,28678,23383,5,0
2023-01-10 03:19:24.224265,922,324,904,2001,1096,0,0,0,512494,1000,670932,977,S,5346,0,16,0,6,2,0,0,14,3296129024,28791,0,804719,28791,23477,5,0
2023-01-10 03:19:24.479295,925,329,908,2001,1096,0,0,0,515248,1034,675972,1010,S,5348,0,16,0,7,3,0,0,14,3296129024,28791,0,804719,28791,23477,5,0
2023-01-10 03:19:24.736675,931,334,912,2001,1097,0,0,0,517624,1063,680621,1040,S,5348,0,16,0,7,3,0,0,14,3296129024,28791,0,804719,28791,23477,5,0
2023-01-10 03:19:25.008926,937,339,915,2024,1097,0,0,0,520708,1102,685679,1074,S,5457,0,16,0,8,3,0,0,14,3296522240,29534,0,804882,29610,24498,5,0
2023-01-10 03:19:25.281151,961,341,920,2038,1097,0,0,0,523618,1138,690900,1110,S,6164,0,17,0,11,3,0,0,14,3296796672,29611,0,804882,29611,24498,5,0
2023-01-10 03:19:25.538888,980,342,924,2046,1098,0,0,0,525904,1166,695483,1139,R,6166,0,17,0,13,3,0,0,14,3296796672,29675,1,805026,29769,24618,5,0
2023-01-10 03:19:25.797064,1002,342,928,2053,1098,0,0,0,528058,1192,700070,1168,S,6624,0,17,0,17,3,0,0,15,3298279424,29729,0,805244,29729,24575,5,0
2023-01-10 03:19:26.062553,1028,343,934,2062,1098,0,0,0,530524,1222,705101,1203,S,6689,0,18,0,18,3,0,0,15,3298279424,29745,0,805244,29745,24591,5,0
2023-01-10 03:19:26.307704,1038,345,937,2086,1099,0,0,0,533188,1255,710048,1236,S,6690,0,18,0,19,3,0,0,15,3298279424,29745,0,805244,29746,24591,5,0
2023-01-10 03:19:26.573255,1044,345,939,2125,1099,0,0,0,535744,1286,715110,1270,S,6753,0,18,0,19,3,0,0,15,3298279424,29746,0,805244,29779,24623,5,0
2023-01-10 03:19:26.828616,1048,345,941,2164,1099,0,0,0,538630,1322,720152,1304,S,6954,0,18,0,21,3,0,0,15,3298279424,29779,1,805276,29787,24624,5,0
2023-01-10 03:19:27.099530,1074,348,944,2172,1099,0,0,0,541006,1351,724830,1334,S,7049,0,18,0,23,3,0,0,15,3298410496,29787,0,805276,29787,24624,5,0
2023-01-10 03:19:27.353678,1084,349,947,2200,1099,0,0,0,543604,1383,729581,1364,S,7050,0,18,0,24,4,0,0,15,3298410496,29787,1,805276,29787,24624,5,0
2023-01-10 03:19:27.603838,1090,349,949,2240,1099,0,0,0,546070,1413,734530,1397,S,7052,0,18,0,24,4,0,0,15,3298410496,29787,0,805276,29787,24624,5,0
2023-01-10 03:19:27.864215,1099,350,951,2282,1099,0,0,0,548626,1444,739719,1434,S,7056,0,18,0,25,4,0,0,15,3298410496,29787,0,805276,29787,24624,5,0
2023-01-10 03:19:28.124791,1103,350,952,2319,1099,0,0,0,551290,1477,744773,1469,R,7108,0,18,0,26,4,0,0,15,3298410496,29787,1,805276,29787,24624,5,0
