#dutchandroid.calllog.export
#./workspace/dutchandroid.calllog.export_0/dutchandroid.calllog.export.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:25:58.154020,897,304,895,1812,1362,0,0,0,389580,763,640908,805,S,15719,1520,164,2,22,10,0,1,39,3371220992,48419,0,823062,48482,35673,5,0
2023-01-10 00:25:58.419988,903,304,897,1812,1362,0,0,0,391980,792,645300,831,S,15757,1520,164,2,31,11,0,1,39,3371253760,48482,0,823582,48592,35720,5,0
2023-01-10 00:25:58.685269,912,305,899,1812,1362,0,0,0,395127,830,653558,873,S,15864,1520,164,2,48,13,0,1,39,3373400064,48592,0,826894,52208,37949,5,0
2023-01-10 00:25:58.940652,922,306,901,1812,1362,0,0,0,396582,847,655988,889,S,17507,1520,185,2,52,13,0,1,42,3383775232,50397,0,827617,53438,39011,5,0
2023-01-10 00:25:59.201599,936,307,904,1812,1362,0,0,0,399129,877,662029,921,S,19776,1520,202,2,68,15,0,1,42,3389919232,53438,0,827618,53738,39237,5,0
2023-01-10 00:25:59.456034,939,308,907,1813,1362,0,0,0,400220,890,664104,933,S,19884,1520,207,2,71,15,0,1,42,3389923328,53738,0,827618,53738,39237,5,0
2023-01-10 00:25:59.739644,951,310,912,1813,1363,0,0,0,403112,925,669694,972,S,19904,1520,207,2,72,16,0,1,42,3389923328,53691,0,829748,53335,39552,5,0
2023-01-10 00:26:00.017220,966,320,918,1816,1368,0,0,0,405578,955,674463,1003,S,20224,1520,218,2,74,19,0,1,44,3398017024,53524,1,829594,53730,39875,5,0
2023-01-10 00:26:00.282781,1002,320,922,1827,1370,0,0,0,408426,990,679479,1037,S,20266,1520,221,2,98,19,0,1,44,3398037504,53761,0,829608,54648,39929,5,0
2023-01-10 00:26:00.542421,1020,320,926,1830,1371,0,0,0,410240,1012,683467,1058,R,21418,1520,221,2,103,19,0,1,44,3398074368,54648,1,829603,54720,39945,5,0
2023-01-10 00:26:00.806264,1052,320,931,1832,1372,0,0,0,412706,1042,688149,1088,S,21450,1520,223,2,106,19,0,1,44,3398053888,54720,0,829603,54803,39973,5,0
