#eng.trickersticks.lighters
#./workspace/eng.trickersticks.lighters_0/app2963.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:28:10.869125,1096,235,807,1280,864,0,0,0,3299982,2690,692512,962,S,3387,0,5,0,7,3,0,0,15,3290390528,26042,1,803318,26042,21225,5,0
2023-01-11 04:28:11.134831,1106,236,811,1280,864,0,0,0,3302514,2721,697315,994,S,3387,0,5,0,7,3,0,0,15,3290390528,26042,1,803318,26042,21225,5,0
2023-01-11 04:28:11.402669,1110,236,816,1280,864,0,0,0,3304598,2746,701788,1021,S,3387,0,5,0,7,3,0,0,15,3290390528,26042,1,803733,26457,21639,5,0
2023-01-11 04:28:11.675640,1120,237,821,1280,864,0,0,0,3307692,2784,708469,1059,S,3802,0,5,0,8,3,0,0,15,3292090368,26457,1,803733,26457,21639,5,0
2023-01-11 04:28:11.934614,1132,239,827,1280,864,0,0,0,3310953,2823,715734,1104,S,3802,0,5,0,9,3,0,0,15,3292090368,26457,1,803733,26457,21639,5,0
2023-01-11 04:28:12.195097,1133,239,827,1280,864,0,0,0,3311916,2834,717409,1115,S,3802,0,5,0,9,3,0,0,15,3292090368,26457,1,803733,26457,21639,5,0
2023-01-11 04:28:12.451911,1138,243,833,1280,864,0,0,0,3314402,2864,722730,1152,S,3802,0,5,0,9,3,0,0,15,3292090368,26457,1,803733,26457,21639,5,0
2023-01-11 04:28:12.715258,1142,246,840,1280,864,0,0,0,3318243,2911,729777,1197,S,3802,0,5,0,9,3,0,0,15,3292090368,26457,1,803733,26457,21639,5,0
2023-01-11 04:28:12.983283,1148,248,844,1280,864,0,0,0,3319830,2930,733796,1220,S,3802,0,5,0,9,3,0,0,15,3292090368,26457,1,803733,26457,21639,5,0
2023-01-11 04:28:13.253009,1155,250,849,1280,864,0,0,0,3322410,2961,737646,1254,S,3802,0,5,0,9,3,0,0,15,3292090368,26457,1,803733,26457,21639,5,0
2023-01-11 04:28:13.528400,1160,252,854,1280,864,0,0,0,3324560,2987,742302,1283,S,3813,0,5,0,9,3,0,0,15,3292090368,26457,1,803733,26457,21639,5,0
2023-01-11 04:28:13.794069,1165,255,860,1280,864,0,0,0,3327474,3023,747163,1314,S,3825,0,5,0,9,3,0,0,15,3292090368,26458,1,803734,26458,21640,5,0
2023-01-11 04:28:14.315368,1179,256,865,1280,864,0,0,0,3331574,3072,756286,1368,S,3854,0,6,0,10,3,0,0,15,3292094464,26458,1,803734,26458,21640,5,0
2023-01-11 04:28:14.054460,1180,256,865,1280,864,0,0,0,3331976,3077,757673,1375,S,3854,0,6,0,10,3,0,0,15,3292094464,26458,1,803734,26458,21640,5,0
