#eryngii.mori.htt.app
#./workspace/eryngii.mori.htt.app_0/eryngii.mori.htt.app.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 04:57:05.815262,757,292,835,1566,1396,0,0,0,189045,607,649705,822,S,12013,0,233,0,26,10,0,0,39,3347779584,39871,0,817329,39938,31744,5,0
2023-01-09 04:57:06.081028,767,292,838,1566,1396,0,0,0,191237,634,654159,849,S,12087,0,233,0,27,10,0,0,39,3347779584,39938,0,817329,39938,31744,5,0
2023-01-09 04:57:06.354534,774,295,842,1566,1396,0,0,0,193637,663,658883,879,S,12190,0,234,0,27,10,0,0,39,3347779584,39938,0,817329,39939,31744,5,0
2023-01-09 04:57:06.625432,779,296,848,1566,1398,0,0,0,195881,690,663691,911,S,12202,0,234,0,27,10,0,0,39,3347779584,39939,0,817329,39939,31744,5,0
2023-01-09 04:57:06.882516,782,297,859,1568,1413,0,0,0,198257,719,669430,940,R,12202,0,234,0,28,10,0,0,39,3347779584,39939,1,817329,39939,31744,5,0
2023-01-09 04:57:07.128912,790,298,863,1570,1414,0,0,0,200615,747,674449,973,S,12210,0,234,0,29,10,0,0,39,3347779584,39939,1,817329,39940,31744,5,0
2023-01-09 04:57:07.399600,795,304,866,1578,1415,0,0,0,202991,776,679125,1003,S,12222,0,234,0,30,10,0,0,39,3347779584,39940,0,817329,39940,31744,5,0
2023-01-09 04:57:07.675370,803,307,869,1608,1416,0,0,0,205433,806,683958,1035,S,12257,0,234,0,32,10,0,0,39,3347779584,39940,0,817329,39958,31760,5,0
2023-01-09 04:57:07.951013,815,309,872,1639,1416,0,0,0,207875,836,688593,1064,S,12783,0,235,0,35,10,0,0,39,3347779584,40165,1,817329,40165,31924,5,0
2023-01-09 04:57:08.191331,844,310,877,1642,1416,0,0,0,211092,875,695234,1104,D,13144,0,235,0,38,10,0,0,39,3350192128,40795,0,817293,40144,31903,5,0
2023-01-09 04:57:08.467152,869,312,886,1643,1417,0,0,0,212679,894,698951,1123,S,13888,0,237,0,41,11,0,0,39,3351838720,41152,0,817293,40144,31903,5,0
2023-01-09 04:57:08.722433,898,313,892,1644,1417,0,0,0,214895,921,702783,1156,S,14626,0,237,0,43,11,0,0,39,3347632128,40144,0,817293,40144,31903,5,0
2023-01-09 04:57:08.983099,912,316,899,1650,1418,0,0,0,217097,947,707707,1189,S,14626,0,237,0,43,11,0,0,39,3347632128,40144,0,817293,40144,31903,5,0
2023-01-09 04:57:09.263789,938,320,905,1659,1418,0,0,0,219629,978,712655,1222,S,14626,0,237,0,43,11,0,0,39,3347632128,40144,0,817293,40144,31903,5,0
2023-01-09 04:57:09.512524,964,324,910,1662,1418,0,0,0,221807,1004,717291,1251,S,14744,0,237,0,44,11,0,0,39,3347632128,40127,0,817389,40130,31923,5,0
2023-01-09 04:57:09.797880,980,325,914,1681,1418,0,0,0,224561,1038,722288,1284,S,15504,0,237,0,46,11,0,0,39,3349725184,40541,0,817804,40543,32354,5,0
2023-01-09 04:57:10.048699,1002,325,918,1698,1420,0,0,0,227093,1069,727148,1316,S,15718,0,237,0,50,11,0,0,39,3349725184,40545,0,817804,40545,32354,5,0
2023-01-09 04:57:10.309531,1008,326,922,1729,1423,0,0,0,230045,1106,732386,1353,S,15773,0,237,0,50,12,0,0,39,3349725184,40545,0,817804,40546,32354,5,0
