#es.pfleon.retateline
#./workspace/es.pfleon.retateline_0/es.pfleon.retateline.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:11:42.773227,720,282,793,1822,1155,0,0,0,992936,1079,655736,788,S,4238,0,1,0,3,2,0,0,12,3291717632,25218,0,803642,25218,19285,5,0
2023-01-10 00:11:43.049025,728,283,797,1841,1156,0,0,0,996494,1123,662367,832,S,4250,0,2,0,3,2,0,0,12,3291717632,25372,0,803642,25372,19437,5,0
2023-01-10 00:11:43.306406,733,286,801,1855,1156,0,0,0,999338,1158,667739,869,S,4251,0,2,0,3,2,0,0,12,3291717632,25372,0,803642,25372,19437,5,0
2023-01-10 00:11:43.571845,735,286,803,1898,1156,0,0,0,1001738,1187,672876,905,S,4255,0,2,0,4,2,0,0,12,3291717632,25373,0,803642,25373,19438,5,0
2023-01-10 00:11:43.827207,738,286,804,1942,1156,0,0,0,1004180,1217,677767,938,S,4275,0,2,0,4,2,0,0,12,3291717632,25373,1,803642,25373,19438,5,0
2023-01-10 00:11:44.092887,743,288,805,1979,1157,0,0,0,1006934,1251,682791,973,S,4352,0,3,0,4,2,0,0,12,3291721728,25910,0,803643,25910,19937,5,0
2023-01-10 00:11:44.357613,767,288,810,1993,1157,0,0,0,1009490,1282,687872,1007,S,4352,0,3,0,4,2,0,0,12,3291721728,25910,0,808524,32158,25849,5,0
2023-01-10 00:11:44.616053,788,291,818,2008,1158,0,0,0,1012262,1317,692674,1039,D,7051,0,47,0,8,4,0,0,18,3319885824,33806,1,814078,36459,30203,5,0
2023-01-10 00:11:44.876278,802,301,823,2008,1167,0,0,0,1014860,1349,697533,1071,S,8616,0,157,0,14,6,0,0,33,3341189120,39296,1,816340,39932,33260,5,0
2023-01-10 00:11:45.136944,824,302,832,2009,1170,0,0,0,1017288,1378,702126,1099,S,10553,0,163,0,16,7,0,0,37,3343728640,39932,0,816091,39866,32988,5,0
2023-01-10 00:11:45.412541,860,303,838,2011,1171,0,0,0,1019372,1403,706716,1128,S,11303,1519,164,9,19,8,1,1,37,3342708736,39866,0,818456,42176,34191,5,0
2023-01-10 00:11:45.657774,879,303,842,2012,1172,0,0,0,1021904,1434,711511,1159,S,13171,1519,200,9,22,10,1,1,40,3352399872,43006,1,818457,43142,34785,5,0
2023-01-10 00:11:45.923151,889,303,848,2023,1190,0,0,0,1024346,1464,716217,1189,S,13267,1519,209,9,23,10,1,1,40,3353583616,43456,0,819313,43641,35184,5,0
2023-01-10 00:11:46.183594,893,303,851,2052,1200,0,0,0,1026968,1496,721128,1221,S,13383,1519,211,9,24,10,1,1,42,3355906048,43712,0,819313,43712,35254,5,0
2023-01-10 00:11:46.444070,903,304,855,2086,1200,0,0,0,1029663,1529,725934,1252,R,14750,1519,211,9,27,12,1,1,43,3360751616,44813,0,820945,45230,36544,5,0
2023-01-10 00:11:46.701725,939,306,861,2089,1200,0,0,0,1032283,1561,730797,1284,S,15183,1519,211,9,28,12,1,1,43,3362590720,45230,1,819700,44024,35332,5,0
2023-01-10 00:11:46.969655,967,306,865,2094,1200,0,0,0,1034121,1583,734815,1305,S,15186,1519,211,9,29,12,1,1,43,3357491200,44024,1,819700,44024,35332,5,0
2023-01-10 00:11:47.231535,974,307,869,2118,1202,0,0,0,1036809,1616,739948,1340,S,15186,1519,211,9,29,12,1,1,43,3357491200,44024,0,819700,44024,35332,5,0
2023-01-10 00:11:47.497063,983,307,871,2153,1202,0,0,0,1039629,1651,745321,1378,S,15187,1519,211,9,29,13,1,1,43,3357491200,44024,0,819700,44024,35332,5,0
2023-01-10 00:11:47.752404,987,308,874,2192,1204,0,0,0,1042713,1690,750586,1415,S,15198,1519,212,9,30,13,1,1,43,3357491200,44024,0,819700,44024,35332,5,0
2023-01-10 00:11:48.007842,990,308,875,2231,1205,0,0,0,1045335,1722,756286,1457,S,15201,1519,212,9,30,13,1,1,43,3357491200,44024,1,819700,44024,35332,5,0
2023-01-10 00:11:48.268337,994,308,878,2276,1208,0,0,0,1048089,1756,762228,1499,S,15201,1519,212,9,30,13,1,1,43,3357491200,44024,1,819700,44024,35332,5,0
2023-01-10 00:11:48.528738,1004,309,881,2306,1209,0,0,0,1050909,1791,768473,1542,S,15205,1519,212,9,30,13,1,1,43,3357491200,44024,0,819700,44024,35332,5,0
2023-01-10 00:11:48.782131,1018,317,888,2314,1210,0,0,0,1053237,1819,774886,1581,S,15208,1519,212,9,30,13,1,1,43,3357491200,44024,0,819700,44024,35332,5,0
2023-01-10 00:11:49.033707,1041,318,892,2322,1210,0,0,0,1055727,1849,779775,1613,S,15410,1519,213,9,31,13,1,1,43,3357622272,44025,0,819732,44068,35397,5,0
2023-01-10 00:11:49.294553,1073,318,897,2329,1210,0,0,0,1058457,1883,784505,1643,R,15462,1519,213,9,31,13,1,1,43,3357626368,44095,0,819732,44112,35397,5,0
2023-01-10 00:11:49.563203,1101,319,903,2333,1210,0,0,0,1060725,1910,789394,1675,S,15474,1519,213,9,32,13,1,1,43,3357622272,44005,0,819732,44005,35397,5,0
2023-01-10 00:11:49.796398,1105,319,905,2359,1210,0,0,0,1063281,1941,795566,1710,S,15475,1519,213,9,32,13,1,1,43,3357622272,44005,0,819732,44005,35397,5,0
2023-01-10 00:11:50.072160,1109,319,907,2406,1210,0,0,0,1065945,1974,800497,1743,S,15476,1519,213,9,32,13,1,1,43,3357622272,44005,0,819732,44005,35397,5,0
2023-01-10 00:11:50.322406,1117,319,909,2443,1210,0,0,0,1068501,2005,805650,1779,S,15477,1519,213,9,32,13,1,1,43,3357622272,44005,0,819732,44005,35397,5,0
2023-01-10 00:11:50.588103,1136,319,912,2471,1210,0,0,0,1071123,2037,810827,1815,S,15601,1519,213,9,33,14,1,1,43,3359719424,44078,0,820244,44078,35459,5,0
2023-01-10 00:11:50.841032,1152,320,915,2486,1210,0,0,0,1073877,2071,815896,1849,S,15602,1519,213,9,33,14,1,1,43,3359719424,44078,1,820244,44078,35459,5,0
2023-01-10 00:11:51.116833,1166,320,918,2521,1211,0,0,0,1076787,2107,821089,1884,S,16022,1519,213,9,33,14,1,1,43,3361419264,44472,0,820659,44472,35846,5,0
