#es.uma.lcc.nativejpegencoder
#./workspace/es.uma.lcc.nativejpegencoder_0/es.uma.lcc.nativejpegencoder.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 05:49:16.850758,883,297,895,1915,1251,0,0,0,869736,1012,626045,777,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:17.131505,898,297,901,1930,1252,0,0,0,874676,1073,637438,835,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:17.384219,903,297,903,1930,1252,0,0,0,874922,1076,638627,839,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:17.646552,913,297,905,1930,1252,0,0,0,877782,1110,644091,876,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:17.926806,922,298,908,1932,1252,0,0,0,880602,1145,649011,909,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:18.171781,930,298,910,1937,1252,0,0,0,883162,1176,653657,939,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:18.432266,958,299,914,1940,1252,0,0,0,885066,1199,657949,964,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:18.708297,975,302,918,1951,1252,0,0,0,888018,1236,662841,997,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:18.956713,999,304,921,1959,1252,0,0,0,890682,1269,667643,1029,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:19.206609,1020,304,924,1975,1252,0,0,0,893058,1298,672159,1057,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:19.482224,1039,304,926,1996,1254,0,0,0,895410,1327,676652,1085,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:19.737788,1063,304,929,2015,1254,0,0,0,897630,1354,681170,1113,S,7099,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:19.980127,1098,305,936,2020,1254,0,0,0,900280,1386,687410,1148,S,7112,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:20.259983,1118,306,939,2020,1255,0,0,0,901938,1406,691444,1172,S,7112,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:20.522084,1152,307,944,2023,1255,0,0,0,904867,1441,697863,1209,S,7112,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:20.777400,1179,308,946,2025,1255,0,0,0,906298,1458,700320,1226,S,7112,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:21.037833,1202,309,950,2026,1255,0,0,0,908514,1485,705115,1257,S,7112,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:21.303219,1225,309,955,2035,1255,0,0,0,911046,1516,710012,1290,S,7112,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:21.563978,1250,309,957,2043,1255,0,0,0,913776,1550,714802,1321,S,7112,0,29,0,14,6,0,0,23,3307773952,26024,1,807562,26024,20772,5,0
2023-01-09 05:49:21.834379,1290,309,963,2050,1255,0,0,0,916582,1584,721999,1358,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:22.086467,1312,309,967,2052,1255,0,0,0,918916,1612,726987,1392,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:22.332353,1341,310,972,2055,1255,0,0,0,923280,1665,738272,1448,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:22.597830,1360,310,974,2055,1255,0,0,0,923682,1670,739437,1452,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:22.858288,1394,310,980,2056,1255,0,0,0,925908,1697,742951,1481,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:23.117782,1435,311,988,2056,1255,0,0,0,928780,1732,749414,1519,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:23.388082,1459,311,990,2057,1255,0,0,0,930528,1753,752525,1544,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:23.648753,1490,311,994,2060,1255,0,0,0,932644,1778,756733,1568,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:23.904371,1514,311,999,2062,1255,0,0,0,936177,1821,763348,1607,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:24.164584,1556,312,1004,2063,1255,0,0,0,937859,1841,769174,1627,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:24.419827,1572,312,1007,2064,1255,0,0,0,939536,1861,772153,1650,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:24.675192,1592,312,1014,2065,1255,0,0,0,942707,1899,781549,1699,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:24.950884,1622,312,1018,2066,1255,0,0,0,944134,1916,784258,1719,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:25.230218,1650,313,1025,2068,1255,0,0,0,946666,1947,789571,1753,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:25.481789,1675,313,1029,2071,1255,0,0,0,949066,1976,794884,1787,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:25.763427,1710,314,1035,2076,1256,0,0,0,951626,2007,800419,1824,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:26.017586,1726,314,1038,2077,1256,0,0,0,953620,2031,804940,1852,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:26.272867,1751,322,1043,2085,1256,0,0,0,956350,2065,811188,1889,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:26.543304,1785,322,1047,2090,1257,0,0,0,959618,2106,819631,1928,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:26.809055,1828,322,1055,2090,1257,0,0,0,963472,2152,826934,1974,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:27.064476,1850,323,1058,2090,1257,0,0,0,963538,2153,827114,1976,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:27.600669,1898,323,1065,2091,1257,0,0,0,967734,2203,836639,2026,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:27.352919,1887,323,1063,2091,1257,0,0,0,967422,2199,835474,2022,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:27.841995,1922,324,1069,2092,1257,0,0,0,970414,2235,841762,2061,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
2023-01-09 05:49:28.136732,1974,324,1073,2093,1257,0,0,0,973532,2273,848188,2098,S,7112,0,29,0,14,6,0,0,23,3307773952,26022,1,807562,26022,20772,5,0
