#exam.fengyan.aiqingceshi
#./workspace/exam.fengyan.aiqingceshi_0/app2939.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 18:06:12.009578,648,147,526,880,715,0,0,0,435019,1548,687558,1504,S,8193,0,305,0,12,10,0,0,40,3347685376,40710,1,817306,40710,33661,5,0
2023-01-11 18:06:12.283712,651,149,531,880,715,0,0,0,442939,1589,694509,1541,S,8209,0,305,0,12,10,0,0,40,3347685376,40710,1,817580,40784,33702,5,0
2023-01-11 18:06:12.537944,657,151,537,880,715,0,0,0,447591,1635,702596,1594,S,8274,0,306,0,13,10,0,0,41,3348807680,40784,1,817580,40784,33702,5,0
2023-01-11 18:06:12.798104,665,155,542,880,715,0,0,0,450905,1660,709523,1621,S,8274,0,306,0,13,10,0,0,41,3348807680,40784,1,817306,40752,33746,5,0
2023-01-11 18:06:13.053704,671,158,547,880,715,0,0,0,553154,1784,720530,1709,S,8275,0,306,0,13,10,0,0,40,3347685376,40752,1,817306,40752,33746,5,0
2023-01-11 18:06:13.310085,679,164,552,880,715,0,0,0,557486,1821,727175,1748,S,8276,0,306,0,13,10,0,0,40,3347685376,40752,1,817306,40752,33746,5,0
2023-01-11 18:06:13.586164,684,166,555,880,716,0,0,0,565648,1861,732988,1789,S,8608,0,313,0,14,11,0,0,40,3350044672,41447,1,818323,41449,34395,5,0
2023-01-11 18:06:13.851295,693,168,558,880,716,0,0,0,568625,1893,738619,1826,S,8629,0,315,0,15,11,0,0,40,3350761472,41447,1,818037,41454,34387,5,0
2023-01-11 18:06:14.087394,705,170,561,880,716,0,0,0,571743,1931,745489,1867,S,8660,0,315,0,15,11,0,0,41,3350679552,41454,1,818437,41904,34770,5,0
2023-01-11 18:06:14.344494,711,170,564,880,716,0,0,0,573779,1956,748911,1896,R,9042,0,321,0,17,12,0,0,41,3351527424,41935,1,818437,41986,34829,5,0
2023-01-11 18:06:14.617491,718,172,568,880,716,0,0,0,576023,1983,753731,1928,S,9616,0,321,0,19,13,0,0,41,3353038848,41986,1,818613,42201,34990,5,0
2023-01-11 18:06:14.857005,724,174,571,880,716,0,0,0,578357,2011,759327,1966,S,9970,0,321,0,20,13,0,0,41,3353038848,42217,1,819125,42731,35415,5,0
2023-01-11 18:06:15.117396,731,176,573,880,716,0,0,0,580889,2042,764699,2000,R,10465,0,325,0,22,14,0,0,41,3355136000,42731,1,819157,42747,35431,5,0
2023-01-11 18:06:15.388137,749,177,577,884,716,0,0,0,583581,2075,769787,2031,S,10664,0,326,0,25,14,0,0,41,3355267072,42747,0,819466,42758,35431,5,0
2023-01-11 18:06:15.648679,780,179,585,884,716,0,0,0,586089,2106,775839,2066,S,10881,0,327,0,28,14,0,0,42,3356389376,42780,0,819431,42798,35462,5,0
2023-01-11 18:06:15.906978,806,180,589,885,716,0,0,0,588239,2132,781504,2098,S,11218,0,327,0,29,15,0,0,42,3356389376,42800,0,819431,42800,35462,5,0
2023-01-11 18:06:16.159519,826,181,595,888,717,0,0,0,650134,2214,787654,2148,S,11327,0,327,0,30,15,0,0,42,3356389376,42815,1,819431,42815,35475,5,0
2023-01-11 18:06:16.430549,859,182,600,890,718,0,0,0,654878,2272,809168,2208,S,11453,0,327,0,33,15,0,0,42,3356389376,42822,1,819431,42839,35492,5,0
2023-01-11 18:06:16.700898,887,183,608,892,718,0,0,0,728452,2366,816608,2259,S,11628,0,327,0,35,16,0,0,42,3356389376,42839,0,819431,42881,35528,5,0
2023-01-11 18:06:16.966871,916,184,613,897,718,0,0,0,730606,2392,821258,2289,S,11716,0,327,0,37,16,0,0,42,3356389376,42841,1,819431,42841,35528,5,0
2023-01-11 18:06:17.233127,938,186,617,907,718,0,0,0,746803,2462,858908,2359,S,11731,0,327,0,40,16,0,0,42,3356389376,42839,1,819431,42839,35528,5,0
2023-01-11 18:06:17.488683,961,188,621,921,720,0,0,0,752223,2499,863965,2394,S,11732,0,327,0,41,17,0,0,42,3356389376,42833,0,819431,42833,35528,5,0
2023-01-11 18:06:17.764510,977,188,625,950,720,0,0,0,755175,2536,869090,2429,S,11761,0,327,0,43,17,0,0,42,3356389376,42849,1,819431,42856,35528,5,0
2023-01-11 18:06:18.012609,998,188,630,964,720,0,0,0,757575,2565,874101,2463,S,11900,0,327,0,46,17,0,0,42,3356389376,42856,0,819431,42856,35528,5,0
2023-01-11 18:06:18.290863,1019,188,634,983,720,0,0,0,760192,2595,878983,2496,S,11903,0,327,0,48,18,0,0,42,3356389376,42856,0,819431,42856,35528,5,0
2023-01-11 18:06:18.557095,1039,189,638,997,720,0,0,0,763062,2631,884422,2531,S,11914,0,327,0,50,18,0,0,42,3356409856,42856,0,819436,42856,35528,5,0
2023-01-11 18:06:18.802222,1058,189,640,1017,720,0,0,0,766373,2666,890658,2568,S,11940,0,327,0,52,18,0,0,42,3356409856,42862,0,819162,42878,35528,5,0
2023-01-11 18:06:19.077907,1071,190,643,1037,721,0,0,0,769571,2706,896144,2605,S,12002,0,329,0,53,19,0,0,41,3355287552,42878,0,819162,43061,35664,5,0
2023-01-11 18:06:19.338108,1079,195,648,1050,722,0,0,0,773600,2749,903513,2650,S,12070,0,329,0,54,19,0,0,41,3355287552,43061,1,819162,43418,36013,5,0
2023-01-11 18:06:19.588521,1091,196,651,1050,722,0,0,0,776630,2785,909182,2683,S,12097,0,329,0,56,20,0,0,41,3355287552,43418,1,819162,43418,36013,5,0
2023-01-11 18:06:19.844037,1096,196,653,1050,722,0,0,0,778468,2807,912101,2705,S,12125,0,329,0,57,21,0,0,41,3355287552,43418,1,819267,43513,36079,5,0
2023-01-11 18:06:20.385413,1145,197,663,1053,722,0,0,0,783236,2864,921855,2765,S,12543,0,329,0,60,22,0,0,41,3355287552,43618,1,819290,43510,36046,5,0
2023-01-11 18:06:20.120015,1128,196,661,1053,722,0,0,0,782521,2855,920288,2756,S,12388,0,329,0,59,22,0,0,41,3355287552,43488,1,819290,43510,36046,5,0
2023-01-11 18:06:20.643943,1167,197,668,1057,722,0,0,0,785940,2896,927224,2803,S,12818,0,329,0,62,23,0,0,41,3355811840,43510,0,819290,43510,36046,5,0
2023-01-11 18:06:20.893910,1180,197,673,1083,722,0,0,0,788472,2927,932106,2835,S,12819,0,329,0,64,23,0,0,41,3355811840,43510,1,819290,43510,36046,5,0
2023-01-11 18:06:21.164385,1203,197,677,1100,723,0,0,0,790782,2955,936874,2866,S,12821,0,329,0,65,24,0,0,41,3355811840,43585,0,819290,43585,36113,5,0
2023-01-11 18:06:21.424730,1212,197,680,1134,723,0,0,0,793776,2993,941798,2899,S,13045,0,329,0,67,24,0,0,41,3355811840,43625,0,819290,43625,36143,5,0
2023-01-11 18:06:21.695009,1232,198,685,1144,723,0,0,0,796086,3021,946542,2930,S,13048,0,329,0,68,24,0,0,41,3355811840,43625,0,819290,43626,36143,5,0
2023-01-11 18:06:21.941939,1261,198,689,1158,723,0,0,0,798882,3056,951424,2962,S,13306,0,329,0,69,25,0,0,41,3356098560,43708,1,820399,43955,36321,5,0
2023-01-11 18:06:22.206575,1282,199,695,1166,723,0,0,0,801636,3090,956538,2997,S,13792,0,330,0,71,26,0,0,43,3360940032,44087,1,820542,44087,36451,5,0
2023-01-11 18:06:22.458045,1305,204,698,1169,723,0,0,0,804300,3123,961372,3029,S,13799,0,330,0,72,26,0,0,43,3360940032,44087,0,819839,43716,36074,5,0
2023-01-11 18:06:22.734491,1320,212,701,1177,723,0,0,0,806676,3152,967483,3064,S,13835,0,330,0,72,26,0,0,42,3358060544,43731,0,819839,43731,36074,5,0
