#facildefalar.com.br.aquitem
#./workspace/facildefalar.com.br.aquitem_0/facildefalar.com.br.aquitem.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 02:36:55.984187,756,297,826,1512,1479,0,0,0,430851,702,642538,736,S,66712,0,223,0,574,89,0,0,18,357273600,32187,0,87225,32187,16314,7,0
2023-01-09 02:36:56.248444,769,297,832,1512,1479,0,0,0,434002,740,650896,781,S,66712,0,223,0,608,92,0,0,18,357273600,32187,1,87385,32385,16314,7,0
2023-01-09 02:36:56.506241,776,299,834,1512,1479,0,0,0,435915,764,653859,804,S,66884,0,223,0,626,93,0,0,18,357928960,32385,1,87385,32385,16314,7,0
2023-01-09 02:36:56.767354,789,303,838,1512,1479,0,0,0,439251,805,660826,847,S,67699,0,223,0,644,94,0,0,18,361078784,34143,1,89357,35029,17914,7,0
2023-01-09 02:36:57.298757,806,305,844,1512,1479,0,0,0,443861,861,670244,905,S,68501,0,223,0,715,103,0,0,18,366006272,35029,0,77542,32815,16465,7,0
2023-01-09 02:36:57.038329,801,304,842,1512,1479,0,0,0,443272,854,668767,897,S,68499,0,223,0,693,100,0,0,18,366006272,35029,1,77542,32815,16465,7,0
2023-01-09 02:36:57.562561,817,306,847,1512,1479,0,0,0,447193,901,680577,948,S,69323,0,223,0,736,106,0,0,18,320761856,33567,1,88283,35072,17757,7,0
2023-01-09 02:36:57.812381,824,308,849,1513,1480,0,0,0,449059,923,683596,970,S,70144,0,223,0,766,110,0,0,18,357801984,33169,0,87963,34756,17597,7,0
2023-01-09 02:36:58.083209,837,309,852,1513,1480,0,0,0,451615,954,688347,1000,S,71983,0,223,0,806,117,0,0,18,357146624,35797,0,87963,36607,17913,7,0
2023-01-09 02:36:58.342955,844,309,854,1517,1480,0,0,0,454015,983,693206,1032,S,72798,0,223,0,830,122,0,0,18,360296448,36607,0,87963,36607,17913,7,0
2023-01-09 02:36:58.603631,856,309,858,1518,1480,0,0,0,456009,1007,697531,1057,S,72798,0,223,0,859,122,0,0,18,360296448,36607,0,87963,36607,17913,7,0
2023-01-09 02:36:58.858164,880,309,861,1524,1480,0,0,0,458319,1035,702187,1087,S,72798,0,223,0,877,122,0,0,18,360296448,36607,1,87963,36607,17913,7,0
2023-01-09 02:36:59.135600,912,310,865,1534,1480,0,0,0,461049,1069,707138,1120,S,72798,0,223,0,901,122,0,0,18,360296448,36607,0,87963,36607,17913,7,0
2023-01-09 02:36:59.380599,927,310,868,1550,1482,0,0,0,463581,1100,712131,1154,S,72798,0,223,0,904,122,0,0,18,360296448,36607,1,87963,36607,17913,7,0
2023-01-09 02:36:59.641001,948,310,872,1571,1482,0,0,0,466113,1131,718359,1191,S,72798,0,223,0,904,122,0,0,18,360296448,36607,1,87963,36607,17913,7,0
2023-01-09 02:36:59.901391,967,310,874,1591,1482,0,0,0,468621,1162,723130,1222,S,72798,0,223,0,920,122,0,0,18,360296448,36603,1,87963,36588,17913,7,0
2023-01-09 02:37:00.166967,996,311,878,1598,1482,0,0,0,470817,1189,727409,1247,S,72798,0,223,0,959,122,0,0,18,360296448,36588,1,87963,36588,17913,7,0
2023-01-09 02:37:00.422670,1027,311,882,1602,1482,0,0,0,473377,1220,732469,1282,S,72798,0,223,0,986,122,0,0,18,360296448,36588,1,87963,36588,17913,7,0
2023-01-09 02:37:00.693225,1065,313,887,1603,1482,0,0,0,475933,1251,738648,1316,S,72798,0,223,0,1031,122,0,0,18,360296448,36588,1,87963,36585,17913,7,0
2023-01-09 02:37:00.948942,1090,314,891,1604,1482,0,0,0,477685,1272,741367,1336,S,72798,0,223,0,1056,122,0,0,18,360296448,36585,0,87963,36585,17913,7,0
2023-01-09 02:37:01.232418,1114,314,894,1605,1482,0,0,0,480331,1304,747530,1369,S,72798,0,223,0,1091,122,0,0,18,360296448,36585,1,87963,36585,17913,7,0
2023-01-09 02:37:01.472683,1140,316,897,1605,1482,0,0,0,482169,1326,750633,1393,S,72798,0,223,0,1108,122,0,0,18,360296448,36585,1,87963,36585,17913,7,0
2023-01-09 02:37:01.737486,1171,317,902,1613,1482,0,0,0,484545,1355,755251,1422,S,72798,0,223,0,1145,122,0,0,18,360296448,36585,1,87963,36585,17913,7,0
2023-01-09 02:37:01.988330,1191,317,905,1614,1483,0,0,0,487011,1385,759959,1452,S,72798,0,223,0,1178,122,0,0,18,360296448,36585,1,87963,36585,17913,7,0
2023-01-09 02:37:02.243556,1220,317,910,1620,1483,0,0,0,489675,1418,764781,1483,S,72798,0,223,0,1196,122,0,0,18,360296448,36585,1,80281,37174,18542,7,0
2023-01-09 02:37:02.514170,1270,318,919,1624,1483,0,0,0,493564,1465,772504,1533,S,74579,0,223,0,1266,122,0,0,18,328175616,37305,1,79801,37026,18382,7,0
2023-01-09 02:37:02.788959,1278,319,922,1624,1483,0,0,0,495118,1483,776127,1553,S,74579,0,223,0,1281,122,0,0,18,328175616,37352,0,79801,37026,18382,7,0
2023-01-09 02:37:03.035193,1300,319,927,1625,1483,0,0,0,497731,1515,782674,1591,S,74579,0,223,0,1313,122,0,0,18,326864896,37026,1,86425,33390,16231,7,0
2023-01-09 02:37:03.296213,1339,319,936,1626,1483,0,0,0,500041,1543,788527,1623,S,75394,0,223,0,1352,122,0,0,18,353996800,33390,1,87963,36992,18315,7,0
2023-01-09 02:37:03.560071,1356,319,939,1628,1483,0,0,0,502441,1572,793325,1654,S,77024,0,223,0,1375,122,0,0,18,360296448,37055,0,87963,37040,18315,7,0
2023-01-09 02:37:03.820357,1389,320,943,1631,1483,0,0,0,505039,1604,799194,1684,S,77024,0,223,0,1418,122,0,0,18,360296448,37040,1,87963,37040,18315,7,0
2023-01-09 02:37:04.097020,1427,320,947,1633,1483,0,0,0,506815,1625,802069,1706,S,77024,0,223,0,1443,122,0,0,18,360296448,37040,0,89885,37765,18315,7,0
2023-01-09 02:37:04.341111,1453,320,951,1634,1483,0,0,0,510687,1672,809404,1752,S,77824,0,223,0,1489,122,0,0,18,368168960,37765,1,78999,35980,17914,7,0
2023-01-09 02:37:04.611606,1481,320,954,1636,1483,0,0,0,511255,1679,810839,1759,S,77824,0,223,0,1523,122,0,0,18,368168960,36227,1,78999,35980,17914,7,0
2023-01-09 02:37:04.873324,1527,322,963,1636,1483,0,0,0,514492,1718,820231,1803,S,78010,0,223,0,1564,123,0,0,18,323579904,36019,0,86296,33082,16466,7,0
2023-01-09 02:37:05.122155,1530,322,965,1636,1483,0,0,0,516263,1739,823049,1824,R,78011,0,223,0,1571,123,0,0,18,353468416,33082,1,87065,33845,16466,7,0
2023-01-09 02:37:05.403982,1562,324,971,1638,1483,0,0,0,518191,1762,827446,1850,S,78827,0,223,0,1606,125,0,0,18,356618240,33845,0,87385,35139,17497,7,0
2023-01-09 02:37:05.634164,1578,328,975,1645,1483,0,0,0,520615,1791,832335,1882,S,79172,0,223,0,1630,125,0,0,18,357928960,35139,1,87385,34870,17497,7,0
2023-01-09 02:37:05.910206,1608,328,979,1648,1483,0,0,0,523123,1822,837110,1913,S,80804,0,223,0,1665,128,0,0,18,360951808,37123,1,87963,36800,18052,7,0
2023-01-09 02:37:06.166877,1629,328,981,1655,1483,0,0,0,525655,1853,841951,1945,S,80805,0,223,0,1700,128,0,0,18,360296448,36799,1,87963,36800,18052,7,0
2023-01-09 02:37:06.441885,1650,336,986,1662,1484,0,0,0,528343,1886,846948,1979,S,82617,0,223,0,1721,130,0,0,18,362352640,37393,1,90772,37449,18445,7,0
2023-01-09 02:37:06.701015,1679,340,994,1663,1484,0,0,0,531149,1920,853257,2015,S,82885,0,223,0,1759,132,0,0,18,373858304,37646,1,92043,39475,19482,7,0
2023-01-09 02:37:06.971503,1720,340,999,1663,1484,0,0,0,534522,1961,859064,2056,S,83714,0,223,0,1791,134,0,0,18,377008128,39475,1,85680,39541,20786,7,0
