#fahrbot.apps.rootcallblocker.pro
#./workspace/fahrbot.apps.rootcallblocker.pro_0/app5301.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:33:50.294088,790,140,534,2214,853,0,0,0,1256522,2697,1503816,2602,S,5862,0,14,0,6,4,0,0,16,3303657472,29826,0,806557,29826,24538,5,0
2023-01-11 23:33:50.565400,800,141,536,2214,853,0,0,0,1259570,2734,1510539,2640,S,5862,0,14,0,6,4,0,0,16,3303657472,29826,0,806557,29826,24538,5,0
2023-01-11 23:33:50.828001,810,142,539,2214,853,0,0,0,1265220,2804,1535363,2724,S,5916,0,14,0,6,4,0,0,16,3303657472,29916,0,806557,29916,24599,5,0
2023-01-11 23:33:51.098722,824,143,543,2215,853,0,0,0,1267152,2827,1539627,2749,S,5930,0,14,0,6,4,0,0,16,3303657472,29916,0,806557,29916,24599,5,0
2023-01-11 23:33:51.338743,830,146,547,2215,853,0,0,0,1269548,2856,1543777,2783,S,5930,0,14,0,6,4,0,0,16,3303657472,29916,0,806557,29916,24599,5,0
2023-01-11 23:33:51.609473,835,156,551,2228,853,0,0,0,1273328,2903,1552012,2839,S,5930,0,14,0,6,4,0,0,16,3303657472,29916,0,806557,29916,24599,5,0
2023-01-11 23:33:51.865775,839,161,554,2239,853,0,0,0,1276082,2937,1557900,2880,S,5930,0,14,0,6,4,0,0,16,3303657472,29916,0,806557,29916,24599,5,0
2023-01-11 23:33:52.110963,843,165,557,2249,853,0,0,0,1279976,2985,1568297,2938,S,5937,0,14,0,7,4,0,0,16,3303657472,29916,1,806557,29997,24679,5,0
2023-01-11 23:33:52.392066,851,166,561,2282,853,0,0,0,1282928,3022,1574703,2976,S,6166,0,14,0,8,4,0,0,16,3303657472,30216,1,806557,30216,24848,5,0
2023-01-11 23:33:52.659314,853,166,563,2323,854,0,0,0,1286126,3062,1580713,3020,S,6252,0,14,0,8,4,0,0,16,3303661568,30451,1,806558,30451,25031,5,0
2023-01-11 23:33:52.914576,858,166,565,2357,855,0,0,0,1288880,3096,1585893,3055,S,6255,0,15,0,9,4,0,0,16,3303661568,30451,1,806558,30451,25031,5,0
2023-01-11 23:33:53.175066,871,166,569,2392,855,0,0,0,1292192,3137,1593409,3105,R,6277,0,15,0,11,4,0,0,16,3303661568,30451,1,806558,30451,25031,5,0
2023-01-11 23:33:53.428171,884,166,572,2411,855,0,0,0,1295078,3173,1598370,3138,S,6277,0,15,0,11,4,0,0,16,3303661568,30451,0,806558,30451,25031,5,0
2023-01-11 23:33:53.687960,889,166,574,2453,855,0,0,0,1300536,3241,1612795,3223,S,6520,0,18,0,13,5,0,0,16,3304026112,30979,0,807849,31805,26457,5,0
2023-01-11 23:33:53.953679,918,170,584,2460,855,0,0,0,1302936,3270,1618341,3256,S,7481,0,29,0,14,6,0,0,16,3308949504,31805,0,807849,31805,26457,5,0
2023-01-11 23:33:54.208797,937,173,588,2462,855,0,0,0,1305308,3299,1623218,3288,S,7481,0,29,0,14,6,0,0,16,3308949504,31805,0,805686,29674,24297,5,0
2023-01-11 23:33:54.489715,955,182,593,2467,855,0,0,0,1308062,3333,1629463,3325,S,7485,0,29,0,14,6,0,0,16,3300089856,29674,0,805686,29674,24297,5,0
2023-01-11 23:33:54.724635,976,191,598,2472,855,0,0,0,1311870,3380,1637538,3373,S,7485,0,29,0,14,6,0,0,16,3300089856,29674,0,806407,30333,24954,5,0
2023-01-11 23:33:54.995440,992,196,601,2474,855,0,0,0,1314644,3414,1645051,3409,S,8206,0,29,0,14,6,0,0,16,3303043072,30333,0,807128,31059,25679,5,0
2023-01-11 23:33:55.270894,1014,205,606,2475,855,0,0,0,1316912,3441,1649882,3441,S,8983,0,29,0,17,7,0,0,16,3305996288,31060,1,807128,31060,25679,5,0
2023-01-11 23:33:55.536364,1041,212,613,2477,855,0,0,0,1320002,3479,1658395,3486,S,9011,0,29,0,18,7,0,0,16,3305996288,31141,1,807128,31142,25753,5,0
2023-01-11 23:33:55.785578,1064,213,617,2486,855,0,0,0,1322666,3512,1663443,3517,S,9055,0,30,0,19,7,0,0,16,3305996288,31142,0,807128,31142,25753,5,0
2023-01-11 23:33:56.032423,1072,214,619,2513,855,0,0,0,1325288,3544,1668676,3554,S,9083,0,30,0,19,7,0,0,16,3305996288,31142,0,807128,31142,25753,5,0
2023-01-11 23:33:56.318344,1085,215,631,2538,855,0,0,0,1333261,3641,1688004,3656,S,11679,0,31,0,21,8,0,0,16,3314855936,33815,1,809291,33815,28045,5,0
2023-01-11 23:33:56.556912,1107,215,636,2543,855,0,0,0,1335775,3671,1693848,3692,S,11683,0,31,0,21,8,0,0,16,3314855936,33815,0,808836,32824,26936,5,0
2023-01-11 23:33:56.837368,1135,217,644,2548,855,0,0,0,1338979,3710,1701081,3736,S,13256,0,32,0,23,9,0,0,17,3312992256,33220,0,808836,33220,27332,5,0
2023-01-11 23:33:57.107814,1157,225,649,2552,855,0,0,0,1341577,3742,1706081,3769,S,13256,0,32,0,23,9,0,0,17,3312992256,33220,0,806673,31118,25229,5,0
2023-01-11 23:33:57.358489,1170,231,653,2559,855,0,0,0,1345693,3793,1717547,3827,S,13486,0,32,0,24,9,0,0,17,3306229760,31206,0,807725,32050,25878,5,0
