#fourthofjuly.iconosys.eng
#./workspace/fourthofjuly.iconosys.eng_0/app1246.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:32:03.721781,819,125,527,2293,731,0,0,0,8890811,7721,1466352,2801,S,5096,0,4,0,7,4,0,0,14,3295461376,28241,0,804556,28241,22262,5,0
2023-01-11 23:32:04.003450,831,129,531,2296,731,0,0,0,8989720,7860,1484528,2907,S,5096,0,4,0,7,4,0,0,14,3295461376,28241,0,804526,28213,22233,5,0
2023-01-11 23:32:04.243468,838,132,537,2296,731,0,0,0,8993326,7904,1493177,2952,S,5116,0,5,0,8,4,0,0,14,3295342592,28213,1,805039,28330,22336,5,0
2023-01-11 23:32:04.512535,852,132,542,2298,732,0,0,0,8996360,7940,1499616,2988,S,5122,0,5,0,8,4,0,0,14,3297439744,28330,1,805039,28371,22369,5,0
2023-01-11 23:32:04.794830,860,134,546,2300,732,0,0,0,8998468,7965,1504916,3018,S,5131,0,6,0,9,4,0,0,14,3297439744,28371,1,805305,28376,22369,5,0
2023-01-11 23:32:05.036677,863,134,548,2339,733,0,0,0,9001132,7998,1509767,3050,S,5141,0,6,0,9,4,0,0,15,3298529280,28376,1,805305,28376,22369,5,0
2023-01-11 23:32:05.292026,865,134,550,2381,733,0,0,0,9004198,8036,1515381,3088,S,5503,0,6,0,10,4,0,0,15,3299446784,29541,0,805529,29541,23453,5,0
2023-01-11 23:32:05.542294,867,134,552,2414,736,0,0,0,9007690,8079,1522201,3133,S,5513,0,6,0,10,4,0,0,15,3299446784,29541,0,805529,29541,23453,5,0
2023-01-11 23:32:05.812341,869,134,555,2453,736,0,0,0,9010690,8116,1527798,3172,S,5513,0,6,0,10,4,0,0,15,3299446784,29541,0,805529,29541,23453,5,0
2023-01-11 23:32:06.062363,891,134,562,2465,736,0,0,0,9013888,8156,1534174,3214,S,5558,0,6,0,13,4,0,0,15,3299446784,29556,0,805529,29697,23587,5,0
2023-01-11 23:32:06.347421,911,134,567,2485,736,0,0,0,9016486,8188,1540477,3252,S,5559,0,6,0,14,4,0,0,15,3299446784,29697,1,805529,29698,23587,5,0
2023-01-11 23:32:06.594522,919,134,570,2519,736,0,0,0,9019042,8219,1546184,3291,S,5596,0,6,0,15,5,0,0,15,3299446784,29698,0,805529,29698,23587,5,0
2023-01-11 23:32:06.859547,924,135,572,2556,736,0,0,0,9021862,8254,1551348,3327,S,5655,0,6,0,15,5,0,0,15,3299446784,29698,0,805529,29698,23587,5,0
2023-01-11 23:32:07.121499,928,135,574,2597,736,0,0,0,9024616,8288,1557082,3366,S,5658,0,6,0,15,5,0,0,15,3299446784,29698,0,805529,29702,23599,5,0
2023-01-11 23:32:07.386769,945,135,577,2627,736,0,0,0,9027790,8328,1563314,3409,S,5683,0,6,0,18,6,0,0,15,3299446784,29702,0,805529,29702,23599,5,0
2023-01-11 23:32:07.646923,956,135,580,2655,736,0,0,0,9030634,8363,1569687,3454,S,5684,0,6,0,19,6,0,0,15,3299446784,29702,1,805529,29702,23599,5,0
2023-01-11 23:32:07.888336,964,135,583,2692,736,0,0,0,9033544,8399,1576247,3493,S,5685,0,6,0,20,6,0,0,15,3299446784,29702,1,805529,29702,23599,5,0
2023-01-11 23:32:08.148735,967,135,586,2733,736,0,0,0,9036496,8436,1581189,3526,S,5687,0,6,0,20,6,0,0,15,3299446784,29702,1,805529,29702,23599,5,0
2023-01-11 23:32:08.414374,977,136,588,2766,736,0,0,0,9039652,8475,1587174,3566,S,5689,0,6,0,22,6,0,0,15,3299446784,29702,0,805529,29702,23599,5,0
2023-01-11 23:32:08.674779,984,136,591,2810,736,0,0,0,9042694,8513,1592952,3605,S,5689,0,6,0,23,6,0,0,15,3299446784,29716,1,805529,29716,23615,5,0
2023-01-11 23:32:08.930333,1000,136,595,2824,736,0,0,0,9045316,8545,1598075,3640,S,5689,0,6,0,24,6,0,0,15,3299446784,29716,0,805529,29716,23615,5,0
2023-01-11 23:32:09.190821,1008,142,601,2846,736,0,0,0,9049744,8600,1609056,3705,S,5725,0,9,0,26,6,0,0,15,3299467264,29763,1,805534,29860,23725,5,0
2023-01-11 23:32:09.452244,1039,145,609,2849,738,0,0,0,9054002,8652,1619377,3766,S,5742,0,9,0,27,6,0,0,15,3299467264,29860,1,805534,29860,23725,5,0
2023-01-11 23:32:09.712693,1065,145,614,2849,738,0,0,0,9056488,8682,1625946,3802,S,5743,0,9,0,27,6,0,0,15,3299467264,29860,1,805534,29860,23725,5,0
2023-01-11 23:32:09.967552,1091,145,618,2855,738,0,0,0,9059692,8721,1633981,3849,S,5747,0,9,0,28,7,0,0,15,3299467264,29860,1,805534,29947,23803,5,0
2023-01-11 23:32:10.223734,1114,146,624,2866,738,0,0,0,9063316,8766,1640998,3896,S,5817,0,9,0,30,7,0,0,15,3299467264,29947,0,805534,29947,23803,5,0
2023-01-11 23:32:10.483667,1127,146,629,2892,738,0,0,0,9067096,8813,1648266,3945,S,5817,0,9,0,31,7,0,0,15,3299467264,29947,1,805534,29948,23803,5,0
2023-01-11 23:32:10.737396,1144,146,632,2903,738,0,0,0,9069718,8845,1653681,3979,S,5876,0,9,0,33,7,0,0,15,3299467264,29948,1,805534,29958,23802,5,0
2023-01-11 23:32:11.002683,1153,146,634,2939,738,0,0,0,9072472,8879,1659973,4016,S,5878,0,9,0,34,7,0,0,15,3299467264,29957,1,805534,29957,23802,5,0
2023-01-11 23:32:11.258290,1164,146,637,2971,738,0,0,0,9075094,8911,1664916,4049,S,6005,0,9,0,34,8,0,0,15,3299467264,30006,1,805554,30028,23850,5,0
2023-01-11 23:32:11.513910,1185,146,644,2980,738,0,0,0,9079546,8966,1673918,4103,S,6047,0,9,0,35,9,0,0,15,3299549184,30028,0,805554,30028,23850,5,0
2023-01-11 23:32:11.791717,1217,147,653,2993,738,0,0,0,9085225,9034,1685053,4170,S,6073,0,9,0,36,9,0,0,15,3299549184,30028,0,805554,30028,23850,5,0
2023-01-11 23:32:12.041905,1236,147,658,2993,738,0,0,0,9087465,9061,1690050,4202,R,6073,0,9,0,37,9,0,0,15,3299549184,30028,0,805554,30060,23870,5,0
