#gdt.qkpadt.aebdacs
#./workspace/gdt.qkpadt.aebdacs_0/app1513.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 13:33:50.564579,911,217,611,1366,1251,0,0,0,1901917,2128,842595,1369,S,5583,0,4,0,6,6,0,0,16,3409498112,27792,0,834957,27802,22563,5,0
2023-01-11 13:33:50.840623,919,218,614,1366,1251,0,0,0,1902762,2138,844228,1379,S,5583,0,4,0,6,6,0,0,16,3409498112,27792,0,836493,27800,22566,5,0
2023-01-11 13:33:51.101203,925,220,618,1366,1251,0,0,0,1906268,2180,851850,1426,S,5648,0,4,0,6,7,0,0,16,3438858240,27816,0,859021,27912,22610,5,0
2023-01-11 13:33:51.361389,932,225,625,1367,1253,0,0,0,1914527,2222,857824,1466,S,6072,0,4,0,9,11,0,0,16,3627634688,28040,0,911317,28871,23406,5,0
2023-01-11 13:33:51.618837,945,226,631,1368,1253,0,0,0,1918012,2261,863266,1504,S,6947,0,4,0,14,16,0,0,16,3984412672,29492,0,885325,29382,23729,5,0
2023-01-11 13:33:51.876715,967,227,642,1375,1254,0,0,0,1921902,2309,870115,1546,S,8315,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:52.142216,979,228,645,1377,1254,0,0,0,1923591,2329,873887,1565,S,8315,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:52.398200,990,228,650,1379,1254,0,0,0,1925675,2354,877113,1590,S,8316,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:52.658172,1020,228,658,1380,1254,0,0,0,1927985,2382,881721,1619,S,8316,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:52.926402,1043,229,664,1386,1254,0,0,0,1930577,2414,887860,1655,S,8316,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:53.186577,1068,229,670,1387,1254,0,0,0,1932977,2443,892576,1686,S,8316,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:53.441989,1093,231,677,1387,1254,0,0,0,1935533,2474,897562,1720,S,8317,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:53.697276,1125,232,684,1387,1254,0,0,0,1937933,2503,902212,1750,S,8317,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:53.974354,1148,232,690,1394,1254,0,0,0,1940237,2531,906780,1779,S,8317,0,4,0,24,19,0,0,15,3680493568,28650,0,898558,28650,22941,5,0
2023-01-11 13:33:54.214482,1184,233,696,1395,1254,0,0,0,1943277,2568,911952,1815,S,8327,0,4,0,24,19,0,0,15,3680493568,28629,0,898558,28629,22941,5,0
2023-01-11 13:33:54.490227,1232,233,703,1396,1254,0,0,0,1947758,2622,922402,1875,S,8328,0,4,0,24,19,0,0,15,3680493568,28629,0,898558,28629,22941,5,0
2023-01-11 13:33:54.755404,1248,233,705,1396,1254,0,0,0,1947356,2617,921015,1868,S,8328,0,4,0,24,19,0,0,15,3680493568,28629,0,898558,28629,22941,5,0
2023-01-11 13:33:55.016002,1281,233,710,1396,1254,0,0,0,1949649,2644,925580,1900,S,8328,0,4,0,24,19,0,0,15,3680493568,28629,0,898558,28629,22941,5,0
2023-01-11 13:33:55.277522,1315,234,718,1396,1254,0,0,0,1952493,2679,931920,1937,S,8328,0,4,0,24,19,0,0,15,3680493568,28629,0,898558,28629,22941,5,0
2023-01-11 13:33:55.535239,1339,234,723,1397,1254,0,0,0,1954827,2707,935883,1973,S,8328,0,4,0,24,19,0,0,15,3680493568,28629,0,898558,28629,22941,5,0
2023-01-11 13:33:55.778803,1350,234,728,1402,1254,0,0,0,1957287,2737,940590,2003,S,8328,0,4,0,24,19,0,0,15,3680493568,28629,0,900992,30488,24412,5,0
2023-01-11 13:33:56.304580,1416,236,739,1403,1254,0,0,0,1961806,2791,951155,2062,S,10730,0,4,0,27,20,0,0,15,3690651648,30428,1,900426,29794,23881,5,0
2023-01-11 13:33:56.049257,1415,235,738,1403,1254,0,0,0,1963178,2808,955284,2084,S,11574,0,4,0,28,20,0,0,15,3688144896,29794,1,900426,29794,23881,5,0
2023-01-11 13:33:56.570096,1460,237,748,1403,1254,0,0,0,1964798,2827,957966,2106,S,11576,0,4,0,28,20,0,0,15,3688144896,29794,1,900426,29794,23881,5,0
2023-01-11 13:33:56.831934,1474,238,752,1403,1254,0,0,0,1966773,2851,962325,2132,S,11576,0,4,0,28,20,0,0,15,3688144896,29794,1,900426,29794,23881,5,0
2023-01-11 13:33:57.080999,1486,240,758,1403,1254,0,0,0,1968668,2874,965728,2160,S,11576,0,4,0,28,20,0,0,15,3688144896,29794,1,900426,29794,23881,5,0
2023-01-11 13:33:57.351226,1515,245,767,1403,1254,0,0,0,1971357,2907,971062,2198,S,11576,0,4,0,28,20,0,0,15,3688144896,29794,1,900426,29794,23881,5,0
2023-01-11 13:33:57.615368,1522,255,773,1405,1254,0,0,0,1975367,2957,979006,2252,S,11577,0,4,0,28,20,0,0,15,3688144896,29794,1,900426,29794,23881,5,0
2023-01-11 13:33:57.865632,1550,260,778,1406,1254,0,0,0,1976392,2969,980952,2265,S,11577,0,4,0,28,20,0,0,15,3688144896,29794,1,900426,29794,23881,5,0
2023-01-11 13:33:58.115823,1565,266,786,1409,1255,0,0,0,1978745,2998,985393,2292,S,11585,0,4,0,29,20,0,0,15,3688144896,29794,1,901038,30778,24582,5,0
2023-01-11 13:33:58.391648,1604,267,797,1410,1255,0,0,0,1981619,3033,990854,2332,S,13389,0,4,0,30,20,0,0,15,3690651648,30778,1,901038,30778,24582,5,0
2023-01-11 13:33:58.655708,1623,272,804,1410,1255,0,0,0,1984694,3070,998013,2376,S,13391,0,4,0,30,20,0,0,15,3690651648,30778,1,901038,30778,24582,5,0
2023-01-11 13:33:58.900175,1636,275,807,1411,1255,0,0,0,1985942,3085,1000403,2395,S,13391,0,4,0,30,20,0,0,15,3690651648,30778,1,901038,30778,24582,5,0
2023-01-11 13:33:59.190078,1672,287,815,1412,1255,0,0,0,1988649,3119,1006159,2431,S,13607,0,4,0,31,21,0,0,15,3690651648,30901,0,901038,30901,24691,5,0
