#in.webaddiction.spark
#./workspace/in.webaddiction.spark_0/in.webaddiction.spark.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-07 20:29:36.629887,946,298,906,2390,1069,0,0,0,915183,1053,590548,761,S,11413,0,3,0,69,12,0,0,15,3325636608,36116,1,811923,36116,25073,5,0
2023-01-07 20:29:37.156123,962,299,908,2390,1069,0,0,0,918906,1096,597248,802,S,11413,0,3,0,81,14,0,0,15,3325636608,36116,0,813237,38068,25617,5,0
2023-01-07 20:29:36.895500,961,299,908,2390,1069,0,0,0,917754,1083,595549,791,R,11413,0,3,0,77,14,0,0,15,3325636608,36116,1,813237,38068,25617,5,0
2023-01-07 20:29:37.422000,975,300,912,2390,1069,0,0,0,920621,1117,601649,827,S,11414,0,3,0,84,15,0,0,15,3325636608,36115,0,814811,39641,25804,5,0
2023-01-07 20:29:37.681282,982,301,913,2390,1069,0,0,0,923258,1148,607892,862,S,14345,0,4,0,91,16,0,0,18,3337437184,39456,1,814815,39862,25804,5,0
2023-01-07 20:29:37.941710,988,302,917,2390,1069,0,0,0,924841,1167,610850,885,S,14584,0,4,0,98,17,0,0,18,3337474048,39641,1,814822,39862,25804,5,0
2023-01-07 20:29:38.212434,995,304,920,2390,1069,0,0,0,927199,1195,616294,921,S,14912,0,4,0,115,17,0,0,18,3337519104,39862,1,814832,39862,25804,5,0
2023-01-07 20:29:38.479566,1007,305,923,2392,1069,0,0,0,929939,1228,623835,965,S,15776,0,5,0,138,18,0,0,18,3340963840,40338,0,814694,39509,25390,5,0
2023-01-07 20:29:38.730669,1016,305,925,2394,1069,0,0,0,932089,1254,627347,993,S,15789,0,5,0,138,18,0,0,19,3336986624,39509,0,815109,39701,25785,5,0
2023-01-07 20:29:39.000057,1025,306,929,2407,1069,0,0,0,934489,1283,633440,1028,S,16206,0,5,0,140,18,0,0,19,3338686464,39701,1,815109,39701,25785,5,0
2023-01-07 20:29:39.259008,1029,306,931,2448,1069,0,0,0,937213,1317,638493,1063,R,16224,0,5,0,140,18,0,0,19,3338686464,39701,0,815111,39696,26157,5,0
