#info.gangdevils
#./workspace/info.gangdevils_0/info.gangdevils.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:16:57.178434,876,292,855,502,971,0,0,0,268396,804,660565,918,S,15141,0,213,0,32,15,0,0,41,3379064832,50355,0,826936,51813,37845,5,0
2023-01-09 23:16:57.711721,893,293,861,502,971,0,0,0,273355,864,672478,982,S,17812,0,221,0,51,19,0,0,41,3391131648,52967,0,827913,52967,39120,5,0
2023-01-09 23:16:57.445450,891,293,860,502,971,0,0,0,273109,861,671157,976,S,17669,0,221,0,50,18,0,0,41,3390607360,53083,0,827913,52967,39120,5,0
2023-01-09 23:16:57.984155,900,294,866,502,971,0,0,0,275492,889,677286,1013,S,17812,0,221,0,51,19,0,0,41,3391131648,52967,0,828938,52966,39120,5,0
2023-01-09 23:16:58.247848,904,294,873,502,971,0,0,0,277396,912,680337,1037,S,17820,0,221,0,51,19,0,0,41,3395330048,52966,0,836125,57562,39555,5,0
2023-01-09 23:16:58.521878,917,299,880,502,972,0,0,0,280334,948,686585,1070,S,23836,0,235,0,62,20,0,0,43,3428995072,58473,0,837171,59290,39600,5,0
2023-01-09 23:16:58.775898,921,301,883,502,972,0,0,0,282172,970,689636,1094,S,24874,0,236,0,72,21,0,0,43,3429052416,59290,0,837171,59290,39600,5,0
2023-01-09 23:16:59.031099,931,306,888,502,973,0,0,0,284572,999,694467,1126,S,24875,0,236,0,72,22,0,0,43,3429052416,59290,1,837171,59307,39616,5,0
2023-01-09 23:16:59.290556,936,314,894,502,982,0,0,0,287458,1035,699346,1158,S,25169,0,236,0,73,22,0,0,43,3429052416,59308,1,837171,59308,39616,5,0
2023-01-09 23:16:59.556586,947,318,898,503,983,0,0,0,290386,1072,704267,1191,S,25188,0,236,0,74,22,0,0,43,3429052416,59308,1,837171,59131,39639,5,0
2023-01-09 23:16:59.819152,955,320,902,513,984,0,0,0,293248,1108,709146,1223,S,25294,0,236,0,75,22,0,0,43,3429052416,59131,0,837171,59182,39687,5,0
2023-01-09 23:17:00.070357,963,321,905,539,984,0,0,0,295780,1139,714161,1257,S,25519,0,237,0,76,23,0,0,43,3429052416,58690,1,837171,58691,39702,5,0
2023-01-09 23:17:00.337590,970,321,909,554,984,0,0,0,298402,1171,719262,1292,S,25600,0,237,0,76,23,0,0,43,3425775616,57922,0,836371,57922,39682,5,0
2023-01-09 23:17:00.582926,972,322,911,595,984,0,0,0,301288,1207,724231,1325,S,25686,0,237,0,77,23,0,0,43,3425906688,57922,1,836403,57937,39696,5,0
2023-01-09 23:17:00.843255,976,322,912,636,984,0,0,0,304306,1245,729224,1358,S,25812,0,237,0,78,23,0,0,43,3425906688,57954,0,836403,57936,39712,5,0
2023-01-09 23:17:01.103700,979,322,914,678,986,0,0,0,306994,1278,734259,1392,S,25899,0,237,0,79,23,0,0,43,3425906688,57951,1,836403,57951,39727,5,0
2023-01-09 23:17:01.364205,980,323,916,721,986,0,0,0,309460,1308,739204,1425,S,25928,0,237,0,79,23,0,0,43,3425906688,56216,0,836403,56216,39728,5,0
2023-01-09 23:17:01.629684,982,323,918,767,988,0,0,0,312388,1345,744257,1460,S,25928,0,237,0,80,23,0,0,43,3425906688,56216,1,836403,56216,39728,5,0
2023-01-09 23:17:01.897266,987,324,921,799,991,0,0,0,315340,1382,749203,1493,S,25929,0,237,0,80,23,0,0,43,3425906688,56216,1,836403,56232,39744,5,0
2023-01-09 23:17:02.164895,992,325,924,835,992,0,0,0,318004,1415,755228,1527,S,26900,0,238,0,87,23,0,0,43,3425931264,56968,1,836409,56968,39744,5,0
2023-01-09 23:17:02.425242,995,325,925,877,992,0,0,0,321022,1453,760348,1563,S,26900,0,238,0,87,24,0,0,43,3425931264,56968,0,836409,56968,39744,5,0
2023-01-09 23:17:02.690562,999,325,927,918,992,0,0,0,323842,1488,765558,1600,S,26910,0,238,0,88,24,0,0,43,3425931264,56968,0,836409,56970,39745,5,0
2023-01-09 23:17:02.946016,1003,325,929,961,992,0,0,0,326662,1523,770728,1636,S,26961,0,238,0,89,24,0,0,43,3425931264,56968,0,836409,56773,39771,5,0
2023-01-09 23:17:03.206361,1017,326,934,994,993,0,0,0,329458,1558,775718,1670,S,26971,0,238,0,89,24,0,0,43,3425931264,56773,0,836409,56741,39787,5,0
