#it.MicroApps.Solitario
#./workspace/it.MicroApps.Solitario_0/app4463.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 03:05:55.812175,925,221,695,1690,718,0,0,0,517199,765,656354,802,D,9376,0,23,0,69,14,0,0,14,3312291840,31689,0,812045,34427,26581,5,0
2023-01-11 03:05:56.083003,928,222,697,1690,718,0,0,0,518290,778,658463,815,R,9852,0,63,0,75,16,0,0,16,3315507200,33247,0,813479,35376,27514,5,0
2023-01-11 03:05:56.343536,936,226,702,1690,718,0,0,0,520964,810,663359,847,D,10574,0,195,0,82,20,0,0,24,3331145728,35551,0,816885,38822,30659,5,0
2023-01-11 03:05:56.622483,940,227,706,1690,718,0,0,0,523421,839,669387,880,R,11276,0,247,0,90,23,0,0,35,3343491072,38166,0,819326,42040,33271,5,0
2023-01-11 03:05:56.883006,945,228,710,1690,718,0,0,0,526236,873,676433,911,S,14135,0,248,0,96,27,0,0,40,3356975104,41502,0,819326,42072,33271,5,0
2023-01-11 03:05:57.404065,959,230,716,1690,718,0,0,0,528963,906,682192,951,S,14602,0,248,0,100,28,0,0,39,3355959296,42040,1,819492,42351,33584,5,0
2023-01-11 03:05:57.143513,956,230,714,1690,718,0,0,0,530209,921,684463,966,S,14732,0,249,0,100,29,0,0,39,3355959296,42254,1,819492,42351,33584,5,0
2023-01-11 03:05:57.654621,963,231,720,1690,718,0,0,0,531580,937,686854,984,S,14882,0,252,0,103,29,0,0,38,3356639232,42351,1,819492,42351,33584,5,0
2023-01-11 03:05:57.934913,967,236,724,1691,719,0,0,0,534386,971,691945,1017,S,14902,0,252,0,104,30,0,0,38,3356639232,42351,1,819416,42380,33593,5,0
2023-01-11 03:05:58.189087,978,238,727,1695,719,0,0,0,536630,998,696513,1045,S,14902,0,252,0,104,31,0,0,38,3356327936,42380,1,819416,42380,33593,5,0
2023-01-11 03:05:58.449311,983,239,730,1697,719,0,0,0,538766,1023,701215,1075,S,14902,0,252,0,104,31,0,0,38,3356327936,42380,1,819416,42045,33615,5,0
2023-01-11 03:05:58.704093,991,240,735,1698,719,0,0,0,541100,1051,706072,1107,S,14917,0,252,0,104,31,0,0,38,3356327936,42045,1,819682,42392,33873,5,0
2023-01-11 03:05:58.966180,996,241,738,1698,719,0,0,0,543344,1078,711064,1137,D,15031,0,254,0,105,31,0,0,39,3357417472,42259,1,819714,42465,33932,5,0
2023-01-11 03:05:59.221589,1004,245,741,1698,719,0,0,0,546401,1115,718256,1179,S,16015,0,256,0,106,34,0,0,39,3360501760,43138,1,820461,43234,34687,5,0
2023-01-11 03:05:59.479131,1015,247,747,1704,719,0,0,0,548373,1139,723478,1213,R,16311,0,256,0,106,35,0,0,39,3361148928,43357,1,820461,43234,34687,5,0
2023-01-11 03:05:59.747756,1056,249,759,1705,720,0,0,0,551832,1181,731086,1264,S,16491,0,256,0,110,35,0,0,39,3360608256,43234,0,820461,43234,34687,5,0
2023-01-11 03:06:00.003681,1057,249,760,1711,720,0,0,0,552677,1191,732875,1276,S,16491,0,256,0,110,35,0,0,39,3360608256,43234,0,820461,43234,34687,5,0
2023-01-11 03:06:00.248728,1062,249,767,1742,720,0,0,0,555767,1229,738605,1318,S,16518,0,256,0,110,35,0,0,39,3360608256,43250,1,820461,43250,34703,5,0
2023-01-11 03:06:00.519387,1065,250,771,1786,720,0,0,0,558275,1260,743434,1350,S,16588,0,256,0,111,36,0,0,39,3360608256,43225,0,820461,43225,34703,5,0
2023-01-11 03:06:00.780092,1073,250,778,1816,720,0,0,0,560897,1292,748473,1384,S,16588,0,256,0,111,36,0,0,39,3360608256,43225,0,820461,43226,34703,5,0
2023-01-11 03:06:01.044224,1077,251,783,1855,720,0,0,0,563627,1326,753730,1420,S,16690,0,256,0,112,37,0,0,39,3360608256,43226,0,820461,43225,34703,5,0
2023-01-11 03:06:01.300966,1085,251,788,1892,720,0,0,0,566381,1360,759709,1462,S,16732,0,256,0,114,37,0,0,39,3360608256,43225,1,820461,43224,34703,5,0
2023-01-11 03:06:01.546326,1090,251,791,1921,720,0,0,0,569135,1394,765382,1500,S,16739,0,256,0,114,37,0,0,39,3360608256,43224,0,820461,43226,34703,5,0
2023-01-11 03:06:01.822162,1099,251,796,1956,720,0,0,0,571601,1424,771517,1537,S,16932,0,256,0,116,37,0,0,39,3360608256,43226,0,820461,43226,34703,5,0
2023-01-11 03:06:02.072510,1107,251,803,1985,720,0,0,0,574091,1454,777173,1575,S,16940,0,256,0,117,37,0,0,39,3360608256,43225,0,820461,43225,34703,5,0
2023-01-11 03:06:02.326458,1119,253,810,2011,720,0,0,0,576779,1487,782321,1611,S,16948,0,256,0,119,37,0,0,39,3360608256,43224,0,820461,43224,34703,5,0
2023-01-11 03:06:02.606998,1126,255,816,2038,721,0,0,0,579179,1516,787553,1648,S,16948,0,256,0,119,37,0,0,39,3360608256,43224,0,820461,43224,34703,5,0
2023-01-11 03:06:02.865336,1133,256,819,2074,721,0,0,0,581621,1546,792162,1677,S,16951,0,256,0,120,37,0,0,39,3360608256,43224,1,820461,43224,34703,5,0
2023-01-11 03:06:03.105259,1136,260,823,2086,721,0,0,0,584111,1576,797593,1712,S,16951,0,256,0,121,37,0,0,39,3360608256,43224,1,820461,43224,34703,5,0
2023-01-11 03:06:03.391698,1144,264,826,2093,721,0,0,0,586997,1612,803090,1748,S,17001,0,256,0,124,37,0,0,39,3360608256,43257,0,820461,43257,34718,5,0
2023-01-11 03:06:03.641987,1151,264,829,2100,721,0,0,0,589397,1641,808587,1784,S,17002,0,256,0,124,37,0,0,39,3360608256,43257,0,820461,43256,34718,5,0
2023-01-11 03:06:03.897792,1172,265,834,2108,721,0,0,0,592708,1681,816565,1827,S,17132,0,256,0,126,37,0,0,39,3360608256,43267,0,820461,43267,34718,5,0
2023-01-11 03:06:04.166380,1208,266,839,2109,721,0,0,0,594858,1707,821439,1857,S,17132,0,256,0,126,37,0,0,39,3360608256,43267,1,820461,43267,34718,5,0
2023-01-11 03:06:04.414437,1225,266,842,2109,721,0,0,0,595849,1719,823673,1874,S,17132,0,256,0,126,37,0,0,39,3360608256,43267,1,820461,43267,34718,5,0
2023-01-11 03:06:04.656899,1253,266,851,2112,721,0,0,0,598793,1755,828692,1907,S,17172,0,256,0,127,38,0,0,39,3360608256,43267,1,820461,43269,34718,5,0
2023-01-11 03:06:04.931893,1257,266,854,2131,721,0,0,0,600881,1780,834453,1938,S,17289,0,256,0,128,38,0,0,39,3360608256,43269,1,820461,43269,34718,5,0
2023-01-11 03:06:05.192454,1261,266,858,2168,721,0,0,0,603569,1813,839447,1972,S,17290,0,256,0,129,38,0,0,39,3360608256,43269,0,820461,43330,34764,5,0
2023-01-11 03:06:05.458340,1289,266,865,2185,721,0,0,0,606399,1847,845783,2008,S,17563,0,257,0,131,38,0,0,39,3360608256,43330,0,820461,43330,34764,5,0
2023-01-11 03:06:05.713552,1306,266,869,2189,721,0,0,0,607859,1864,848655,2030,S,17564,0,257,0,131,38,0,0,39,3360608256,43330,1,820461,43330,34764,5,0
2023-01-11 03:06:05.963864,1313,266,875,2218,721,0,0,0,610037,1890,853403,2061,S,17564,0,257,0,132,39,0,0,39,3360608256,43330,1,820461,43386,34809,5,0
2023-01-11 03:06:06.219897,1344,267,884,2228,721,0,0,0,614041,1939,860998,2110,S,18023,0,257,0,135,40,0,0,39,3360608256,43403,0,820619,43533,34945,5,0
2023-01-11 03:06:06.495208,1361,267,889,2229,721,0,0,0,614727,1947,862409,2117,R,18108,0,257,0,136,41,0,0,39,3360608256,43403,1,820619,43533,34945,5,0
