#it.angrydroids.epub3reader
#./workspace/it.angrydroids.epub3reader_0/it.angrydroids.epub3reader.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 00:01:14.359263,886,176,656,695,565,0,0,0,1055926,1316,614969,968,D,7607,0,65,0,68,11,0,0,18,3318632448,32903,0,813669,35825,28155,5,0
2023-01-11 00:01:14.631981,890,178,660,695,565,0,0,0,1058476,1347,619866,1001,D,8966,0,174,0,78,17,0,0,33,3341721600,38056,0,817571,41069,31149,5,0
2023-01-11 00:01:14.895665,898,180,665,695,565,0,0,0,1060810,1375,622995,1025,S,10855,0,188,0,88,21,0,0,36,3341762560,39178,0,822671,48370,34160,5,0
2023-01-11 00:01:15.161336,907,181,673,695,565,0,0,0,1063735,1410,632260,1069,S,17403,0,214,0,104,28,0,0,41,3369811968,50286,0,825278,52377,35929,5,0
2023-01-11 00:01:15.421789,910,182,676,695,565,0,0,0,1065580,1433,636133,1090,S,19486,0,214,0,120,32,0,0,41,3380330496,52377,0,825794,52848,36196,5,0
2023-01-11 00:01:15.671289,916,183,681,695,565,0,0,0,1069511,1481,644029,1141,S,19710,0,225,0,132,32,0,0,41,3382444032,52848,0,825803,53246,36242,5,0
2023-01-11 00:01:15.931902,921,183,684,695,565,0,0,0,1071803,1504,647047,1162,S,20138,0,225,0,145,34,0,0,41,3382460416,53183,0,828302,55202,38154,5,0
2023-01-11 00:01:16.193647,927,184,688,695,565,0,0,0,1072385,1511,649620,1168,S,20166,0,225,0,152,36,0,0,41,3382480896,53246,0,828302,55582,38507,5,0
2023-01-11 00:01:16.454100,940,185,693,695,565,0,0,0,1075977,1554,657746,1224,R,20995,0,226,0,165,45,0,0,41,3389640704,54049,0,828302,54844,38693,5,0
2023-01-11 00:01:16.716479,955,187,702,695,565,0,0,0,1078977,1590,664138,1269,S,22691,0,226,0,180,48,0,0,41,3392724992,55582,0,830675,55410,38962,5,0
2023-01-11 00:01:16.972014,955,187,703,695,565,0,0,0,1083674,1624,670042,1312,S,22730,0,226,0,181,49,0,0,41,3392724992,54845,0,832381,58103,39567,5,0
2023-01-11 00:01:17.232532,960,187,707,695,565,0,0,0,1083674,1624,670042,1312,S,22731,0,227,0,181,49,0,0,41,3396923392,54845,0,832383,58103,39567,5,0
2023-01-11 00:01:17.760652,972,191,717,695,565,0,0,0,1087667,1672,680515,1374,S,25519,0,244,0,199,56,0,0,41,3409432576,58103,0,832385,58119,39581,5,0
2023-01-11 00:01:17.485061,967,191,714,695,565,0,0,0,1087109,1665,678219,1363,S,25515,0,244,0,194,53,0,0,41,3409424384,58103,0,832517,58207,39613,5,0
2023-01-11 00:01:18.046522,985,194,726,695,566,0,0,0,1091344,1716,687952,1424,S,26028,0,244,0,218,59,0,0,41,3409981440,58207,0,832033,57102,39202,5,0
2023-01-11 00:01:18.559561,1008,195,732,695,566,0,0,0,1095546,1767,699543,1486,S,26565,0,244,0,284,71,0,0,41,3408007168,57171,0,832035,57721,39202,5,0
2023-01-11 00:01:18.298681,993,195,729,695,566,0,0,0,1095168,1762,698288,1481,S,26320,0,244,0,281,71,0,0,41,3408007168,57870,0,832037,57849,39202,5,0
2023-01-11 00:01:19.075202,1014,195,737,695,566,0,0,0,1098635,1804,704014,1524,S,27504,0,244,0,293,73,0,0,41,3408015360,57787,0,832039,57817,39202,5,0
2023-01-11 00:01:18.819783,1013,195,736,695,566,0,0,0,1099467,1813,705467,1532,S,26596,0,244,0,284,71,0,0,41,3408007168,57038,0,832041,57817,39202,5,0
2023-01-11 00:01:19.596515,1035,196,746,695,566,0,0,0,1104746,1876,716601,1600,S,27815,0,244,0,340,82,0,0,41,3408039936,57817,0,832286,57998,39433,5,0
2023-01-11 00:01:19.335796,1031,196,745,695,566,0,0,0,1103750,1864,714752,1587,S,27815,0,244,0,339,81,0,0,41,3408039936,57817,0,832286,57998,39433,5,0
2023-01-11 00:01:19.867427,1043,197,750,695,566,0,0,0,1108191,1917,725295,1647,S,28087,0,244,0,372,91,0,0,41,3409043456,57998,0,832043,57184,39207,5,0
2023-01-11 00:01:20.113749,1057,197,756,695,566,0,0,0,1109686,1934,727773,1665,S,28205,0,244,0,395,96,0,0,41,3409043456,57421,0,832043,57184,39207,5,0
