#iup.pr4f.umiob.abaipic
#./workspace/iup.pr4f.umiob.abaipic_0/app4766.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 16:51:48.619916,661,133,490,1351,875,0,0,0,1000321,1992,749458,1695,S,8257,0,15,0,26,24,0,0,35,3334230016,32843,0,813932,33109,25855,5,0
2023-01-11 16:51:49.151853,686,134,497,1351,875,0,0,0,1003255,2028,757848,1733,S,8457,0,15,0,32,29,0,0,34,3333107712,33128,0,813599,33078,25827,5,0
2023-01-11 16:51:48.890534,662,133,490,1351,875,0,0,0,1002038,2013,754723,1719,S,8257,0,15,0,26,24,0,0,35,3334230016,32843,0,813599,33078,25827,5,0
2023-01-11 16:51:49.412261,693,134,500,1351,875,0,0,0,1005628,2056,763923,1765,S,8524,0,15,0,35,30,0,0,32,3332501504,33078,0,813599,33116,25827,5,0
2023-01-11 16:51:49.672945,697,134,502,1351,875,0,0,0,1006677,2068,766059,1777,S,8537,0,15,0,36,30,0,0,32,3332501504,33113,0,812777,33233,25857,5,0
2023-01-11 16:51:49.973817,711,135,505,1351,875,0,0,0,1009611,2103,771487,1816,S,8639,0,15,0,40,31,0,0,29,3329134592,33233,0,812777,32949,25873,5,0
2023-01-11 16:51:50.213294,718,136,509,1351,875,0,0,0,1012077,2133,776380,1849,S,8818,0,15,0,43,32,0,0,29,3329134592,33014,0,813077,33307,25957,5,0
2023-01-11 16:51:50.471343,731,139,513,1351,875,0,0,0,1016730,2188,783764,1901,S,9213,0,15,0,48,34,0,0,30,3330363392,33307,0,813077,33373,25957,5,0
2023-01-11 16:51:50.733393,735,140,515,1351,875,0,0,0,1024318,2224,789103,1938,S,9401,0,15,0,51,35,0,0,30,3330256896,33092,0,813051,33224,25957,5,0
2023-01-11 16:51:50.979790,744,142,519,1351,875,0,0,0,1027332,2257,794933,1975,S,9510,0,15,0,54,37,0,0,30,3330256896,33224,0,813051,33290,25957,5,0
2023-01-11 16:51:51.246058,753,143,522,1352,875,0,0,0,1030661,2294,801173,2012,S,9606,0,15,0,57,39,0,0,29,3329134592,33309,0,812777,33081,25957,5,0
2023-01-11 16:51:51.516319,763,145,525,1352,875,0,0,0,1032905,2321,805868,2042,S,9798,0,15,0,60,41,0,0,29,3329134592,33006,0,812777,33072,25957,5,0
2023-01-11 16:51:51.777460,771,148,528,1354,875,0,0,0,1035677,2356,810415,2069,S,10013,0,15,0,64,43,0,0,29,3329134592,33138,0,812777,33143,25957,5,0
2023-01-11 16:51:52.035536,783,150,533,1357,875,0,0,0,1037765,2381,814997,2098,S,10188,0,15,0,68,44,0,0,29,3329134592,33326,0,812777,33392,26105,5,0
2023-01-11 16:51:52.301801,791,151,536,1360,875,0,0,0,1040075,2409,819735,2129,S,10344,0,15,0,72,46,0,0,29,3329134592,33030,0,812777,33096,26105,5,0
2023-01-11 16:51:52.569573,810,151,542,1370,875,0,0,0,1042739,2442,824522,2160,S,10483,0,15,0,77,49,0,0,28,3328012288,33157,0,812504,33747,26497,5,0
2023-01-11 16:51:52.816013,823,151,547,1377,876,0,0,0,1046106,2483,831468,2204,S,10843,0,20,0,81,51,0,0,28,3328016384,33924,0,812504,33924,26575,5,0
2023-01-11 16:51:53.071010,831,151,549,1388,877,0,0,0,1047509,2500,834206,2224,S,10883,0,20,0,82,52,0,0,28,3328016384,33924,1,812504,33990,26575,5,0
2023-01-11 16:51:53.331481,857,151,556,1395,877,0,0,0,1049795,2528,838724,2252,S,11278,0,20,0,88,55,0,0,27,3327270912,33761,0,812568,33801,26638,5,0
2023-01-11 16:51:53.597309,885,152,562,1398,877,0,0,0,1052081,2556,843284,2281,S,11590,0,20,0,94,56,0,0,28,3328278528,33801,0,812568,33933,26638,5,0
2023-01-11 16:51:53.852823,908,154,567,1406,877,0,0,0,1054391,2584,848180,2314,S,11742,0,20,0,98,59,0,0,28,3328278528,33999,0,812568,33999,26638,5,0
2023-01-11 16:51:54.105403,925,154,575,1419,877,0,0,0,1057211,2619,853281,2349,S,11883,0,20,0,100,62,0,0,28,3328278528,33999,0,812568,34065,26638,5,0
2023-01-11 16:51:54.376091,943,154,582,1438,877,0,0,0,1059455,2646,857890,2378,S,12099,0,20,0,107,63,0,0,28,3328278528,33800,0,812568,33800,26638,5,0
2023-01-11 16:51:54.636340,964,154,591,1452,877,0,0,0,1061921,2676,862679,2409,S,12214,0,20,0,112,67,0,0,28,3328278528,33866,0,812568,33932,26638,5,0
2023-01-11 16:51:54.891342,977,154,596,1464,877,0,0,0,1064609,2709,867916,2446,S,12299,0,20,0,116,69,0,0,28,3328278528,33932,0,812568,34000,26638,5,0
2023-01-11 16:51:55.151935,998,154,603,1479,877,0,0,0,1067297,2742,872927,2480,S,12574,0,20,0,123,71,0,0,28,3328278528,33755,0,812568,33821,26654,5,0
2023-01-11 16:51:55.427529,1020,154,609,1497,877,0,0,0,1069961,2775,878335,2519,S,12706,0,20,0,130,75,0,0,28,3328278528,33887,0,812568,33953,26654,5,0
2023-01-11 16:51:55.682910,1036,155,617,1508,877,0,0,0,1072583,2807,883371,2553,S,12788,0,20,0,132,78,0,0,28,3328278528,33953,0,812568,34019,26654,5,0
2023-01-11 16:51:55.940545,1056,157,624,1520,877,0,0,0,1075403,2842,889061,2592,S,12945,0,20,0,138,82,0,0,28,3328278528,33726,0,812568,33791,26654,5,0
2023-01-11 16:51:56.198534,1077,157,631,1527,877,0,0,0,1077803,2871,894373,2626,S,13086,0,20,0,142,85,0,0,28,3328278528,33857,0,812568,33857,26654,5,0
2023-01-11 16:51:56.458863,1106,157,638,1542,877,0,0,0,1080533,2905,899931,2664,S,13219,0,20,0,149,87,0,0,28,3328278528,33989,0,812568,34053,26654,5,0
2023-01-11 16:51:56.738920,1120,157,643,1553,877,0,0,0,1082801,2932,905932,2698,S,13365,0,20,0,154,90,0,0,28,3328278528,33760,0,812568,33826,26654,5,0
2023-01-11 16:51:56.994219,1130,160,648,1555,877,0,0,0,1085649,2967,910668,2729,S,13666,0,20,0,160,94,0,0,28,3328782336,34068,0,812691,34198,26820,5,0
2023-01-11 16:51:57.249396,1144,160,651,1555,877,0,0,0,1088886,3006,918078,2776,S,13781,0,20,0,165,97,0,0,28,3328782336,34198,0,812691,33802,26820,5,0
2023-01-11 16:51:57.515082,1153,161,653,1555,877,0,0,0,1091224,3034,923234,2808,S,13887,0,20,0,167,99,0,0,28,3328782336,33802,0,812691,33947,26825,5,0
2023-01-11 16:51:57.770395,1158,161,655,1555,877,0,0,0,1092594,3050,926967,2827,S,14018,0,20,0,170,99,0,0,28,3328782336,33881,0,812691,33947,26825,5,0
2023-01-11 16:51:58.035996,1187,161,660,1555,877,0,0,0,1094796,3076,932257,2860,S,14054,0,20,0,172,100,0,0,28,3328782336,33947,0,812691,34013,26825,5,0
2023-01-11 16:51:58.287447,1212,161,668,1558,877,0,0,0,1096223,3093,935807,2884,S,14103,0,20,0,174,101,0,0,28,3328782336,33947,0,812691,34013,26825,5,0
2023-01-11 16:51:58.566772,1243,161,678,1561,877,0,0,0,1098467,3120,941629,2916,S,14208,0,20,0,179,103,0,0,28,3328782336,34079,1,812691,34177,26856,5,0
2023-01-11 16:51:58.810656,1259,161,684,1569,877,0,0,0,1100735,3147,946289,2945,S,14411,0,20,0,183,105,0,0,28,3328782336,34177,1,812691,34259,26872,5,0
2023-01-11 16:51:59.068472,1287,163,693,1579,877,0,0,0,1103555,3182,951255,2979,S,14814,0,20,0,189,108,0,0,28,3328782336,34022,0,812691,34088,26888,5,0
2023-01-11 16:51:59.332227,1305,163,698,1582,877,0,0,0,1105955,3211,956245,3013,S,14870,0,20,0,191,110,0,0,28,3328782336,34088,0,812691,34154,26888,5,0
2023-01-11 16:51:59.602645,1335,163,705,1585,877,0,0,0,1108223,3238,962272,3047,S,14998,0,20,0,195,113,0,0,28,3328782336,34170,0,812509,34438,27056,5,0
