#ix.com.android.VirtualRecorder
#./workspace/ix.com.android.VirtualRecorder_0/ix.com.android.VirtualRecorder.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:11:25.159329,789,127,464,1815,1263,0,0,0,843399,1089,704109,850,S,4154,0,7,0,3,3,0,0,11,3288412160,27297,1,802835,27297,22269,5,0
2023-01-11 12:11:25.435260,800,128,468,1815,1263,0,0,0,845511,1114,708640,878,S,4154,0,7,0,3,3,0,0,11,3288412160,27297,1,802835,27297,22269,5,0
2023-01-11 12:11:25.686705,813,129,471,1815,1263,0,0,0,849429,1162,716920,933,S,4154,0,7,0,3,3,0,0,11,3288412160,27297,1,802835,27297,22269,5,0
2023-01-11 12:11:25.947422,825,130,475,1815,1263,0,0,0,851135,1182,720899,954,S,4154,0,7,0,3,3,0,0,11,3288412160,27297,1,802835,27297,22269,5,0
2023-01-11 12:11:26.224361,829,135,480,1815,1263,0,0,0,853823,1215,727194,997,S,4154,0,7,0,3,3,0,0,11,3288412160,27297,1,802835,27297,22269,5,0
2023-01-11 12:11:26.494670,834,141,486,1817,1263,0,0,0,856289,1245,731862,1027,S,4182,0,7,0,3,3,0,0,12,3289501696,27298,1,803101,27465,22414,5,0
2023-01-11 12:11:26.749933,848,143,491,1822,1263,0,0,0,858779,1275,738042,1062,S,4217,0,7,0,3,3,0,0,12,3289501696,27473,1,803101,27473,22414,5,0
2023-01-11 12:11:27.010376,852,143,496,1846,1263,0,0,0,861467,1308,742998,1096,S,4222,0,7,0,3,4,0,0,12,3289501696,27473,1,803101,27473,22414,5,0
2023-01-11 12:11:27.275808,859,145,501,1870,1264,0,0,0,864065,1340,747979,1130,S,4243,0,7,0,4,4,0,0,12,3289501696,27473,1,803614,28059,22867,5,0
2023-01-11 12:11:27.527150,870,146,506,1879,1267,0,0,0,866895,1374,755543,1169,S,4490,0,12,0,5,4,0,0,12,3291602944,28059,1,803614,28059,22867,5,0
2023-01-11 12:11:27.793004,880,147,508,1880,1268,0,0,0,868709,1396,758500,1192,S,4494,0,13,0,5,4,0,0,12,3291602944,28059,0,803614,28059,22867,5,0
2023-01-11 12:11:28.037794,896,147,516,1897,1269,0,0,0,871085,1425,763328,1224,S,5744,0,13,0,6,4,0,0,12,3295473664,29795,0,804559,29665,24447,5,0
2023-01-11 12:11:28.288984,920,148,522,1904,1269,0,0,0,873707,1457,768360,1258,S,5750,0,13,0,7,4,0,0,12,3295473664,29665,0,804559,29665,24447,5,0
2023-01-11 12:11:28.549144,929,148,529,1923,1269,0,0,0,876107,1486,773438,1293,S,5752,0,13,0,7,4,0,0,12,3295473664,29665,1,804559,29665,24447,5,0
2023-01-11 12:11:28.814368,934,149,534,1951,1269,0,0,0,878729,1518,778494,1327,S,5820,0,13,0,7,4,0,0,12,3295473664,29666,1,804559,29732,24508,5,0
2023-01-11 12:11:29.064603,939,149,541,1976,1269,0,0,0,881261,1549,783569,1362,S,5846,0,13,0,8,4,0,0,12,3295473664,29732,1,804559,29732,24508,5,0
2023-01-11 12:11:29.335197,948,150,547,1999,1269,0,0,0,883817,1580,788626,1396,S,5880,0,13,0,8,4,0,0,12,3295473664,29732,1,804559,29732,24508,5,0
2023-01-11 12:11:29.585472,956,151,554,2022,1269,0,0,0,886505,1613,794960,1434,S,6039,0,13,0,9,5,0,0,12,3295473664,29441,1,804559,29441,24566,5,0
2023-01-11 12:11:29.851058,961,153,561,2047,1269,0,0,0,889193,1646,800130,1470,S,6039,0,13,0,9,5,0,0,12,3295473664,29441,1,804559,29448,24566,5,0
2023-01-11 12:11:30.111338,982,153,566,2060,1269,0,0,0,891791,1678,805009,1502,S,6041,0,13,0,10,5,0,0,12,3295473664,29448,1,804559,29448,24566,5,0
2023-01-11 12:11:30.371674,988,154,573,2083,1269,0,0,0,894545,1712,810068,1536,S,6041,0,13,0,10,5,0,0,12,3295473664,29448,1,804559,29448,24566,5,0
2023-01-11 12:11:30.632315,999,154,577,2105,1271,0,0,0,897341,1747,815080,1570,S,6045,0,13,0,11,5,0,0,12,3295473664,29451,1,804559,29451,24566,5,0
2023-01-11 12:11:30.888726,1012,156,586,2120,1271,0,0,0,899651,1775,819756,1600,S,6046,0,13,0,11,5,0,0,12,3295473664,29451,1,804559,29451,24566,5,0
2023-01-11 12:11:31.154297,1027,161,595,2134,1272,0,0,0,902277,1807,824546,1631,S,6051,0,13,0,11,5,0,0,12,3295473664,29451,1,804559,29467,24581,5,0
2023-01-11 12:11:31.415060,1050,164,604,2136,1272,0,0,0,904361,1832,829156,1660,S,6106,0,13,0,13,5,0,0,12,3295473664,29467,1,804559,29467,24581,5,0
2023-01-11 12:11:31.680283,1078,165,610,2137,1272,0,0,0,906917,1863,834210,1695,S,6109,0,13,0,13,5,0,0,12,3295473664,29491,1,804559,29491,24613,5,0
2023-01-11 12:11:31.935748,1110,165,616,2138,1272,0,0,0,909879,1899,840538,1731,S,6276,0,13,0,14,6,0,0,12,3295473664,29501,0,804559,29501,24613,5,0
2023-01-11 12:11:32.201536,1138,165,621,2139,1272,0,0,0,911495,1918,843340,1752,S,6276,0,13,0,14,6,0,0,12,3295473664,29501,0,804559,29501,24613,5,0
2023-01-11 12:11:32.505212,1154,171,630,2149,1272,0,0,0,914069,1950,847993,1782,S,6277,0,13,0,15,6,0,0,12,3295473664,29501,1,804559,29501,24613,5,0
2023-01-11 12:11:32.750264,1170,171,637,2165,1272,0,0,0,916823,1984,853025,1817,S,6280,0,13,0,15,6,0,0,12,3295473664,29501,1,804559,29501,24613,5,0
2023-01-11 12:11:33.025966,1182,172,644,2187,1272,0,0,0,919511,2017,858411,1856,S,6282,0,13,0,16,6,0,0,12,3295473664,29501,1,804559,29623,24724,5,0
2023-01-11 12:11:33.283076,1202,172,651,2200,1272,0,0,0,921977,2047,863311,1889,S,6674,0,13,0,17,7,0,0,12,3295473664,29623,1,804559,29623,24724,5,0
2023-01-11 12:11:33.549084,1221,173,658,2216,1272,0,0,0,924599,2079,868739,1924,S,6675,0,13,0,17,7,0,0,12,3295473664,29623,1,804638,29704,24790,5,0
2023-01-11 12:11:33.798362,1243,173,666,2231,1272,0,0,0,926999,2108,874113,1959,S,7070,0,13,0,18,8,0,0,12,3295473664,29653,1,804559,29653,24737,5,0
