#jp.co.makit.flashlight
#./workspace/jp.co.makit.flashlight_0/jp.co.makit.flashlight.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:03:32.385741,950,362,899,1737,1089,0,0,0,72573,539,700667,801,S,8194,0,214,0,12,5,0,0,42,3349741568,40647,1,819663,41200,34278,5,0
2023-01-10 04:03:32.670395,958,366,904,1737,1091,0,0,0,75681,578,706938,837,S,8625,0,216,0,12,5,0,0,42,3357339648,41200,1,819663,41653,34721,5,0
2023-01-10 04:03:32.915817,967,371,908,1741,1092,0,0,0,78303,610,712113,872,R,8719,0,220,0,13,6,0,0,42,3357339648,41668,1,819919,41735,34807,5,0
2023-01-10 04:03:33.182198,973,373,911,1758,1093,0,0,0,81255,647,717147,906,S,9038,0,221,0,14,7,0,0,42,3358388224,41735,0,819919,41895,34944,5,0
2023-01-10 04:03:33.427546,984,374,914,1777,1094,0,0,0,83877,679,722181,940,S,9055,0,222,0,15,8,0,0,42,3358388224,41895,0,819919,41936,34963,5,0
2023-01-10 04:03:33.692917,989,375,917,1806,1096,0,0,0,86697,714,727347,976,S,9162,0,222,0,15,8,0,0,42,3358388224,42119,0,820185,42123,35083,5,0
2023-01-10 04:03:33.953537,995,376,920,1842,1097,0,0,0,89319,746,732603,1013,S,9250,0,222,0,15,8,0,0,43,3359477760,42123,0,820185,42139,35099,5,0
2023-01-10 04:03:34.218931,1009,376,923,1869,1097,0,0,0,92389,784,737663,1047,S,9561,0,226,0,18,8,0,0,43,3359498240,42322,1,820190,42322,35244,5,0
2023-01-10 04:03:34.488809,1041,377,928,1874,1097,0,0,0,94293,807,741961,1072,S,9561,0,226,0,18,8,0,0,43,3359498240,42322,0,820190,42359,35276,5,0
2023-01-10 04:03:34.744457,1054,378,932,1894,1097,0,0,0,96915,839,746957,1105,S,9760,0,227,0,20,8,0,0,43,3359498240,42359,1,820190,42359,35276,5,0
2023-01-10 04:03:35.004764,1059,378,934,1931,1097,0,0,0,99669,873,752019,1139,S,9760,0,227,0,21,8,0,0,43,3359498240,42359,0,820190,42385,35291,5,0
2023-01-10 04:03:35.270985,1085,378,938,1947,1097,0,0,0,102069,902,756947,1172,S,9935,0,228,0,21,8,0,0,43,3359498240,42385,0,820190,42385,35291,5,0
2023-01-10 04:03:35.541504,1096,378,940,1979,1097,0,0,0,104865,937,761765,1203,S,10186,0,228,0,23,8,0,0,43,3359498240,42435,1,820464,42436,35339,5,0
2023-01-10 04:03:35.801524,1110,378,943,2004,1097,0,0,0,107421,968,766829,1237,S,10198,0,228,0,24,8,0,0,44,3360620544,42436,1,820496,42436,35339,5,0
2023-01-10 04:03:36.067097,1118,379,945,2042,1097,0,0,0,110109,1001,772200,1275,S,10214,0,228,0,25,8,0,0,44,3360751616,42418,1,820496,42418,35339,5,0
2023-01-10 04:03:36.337829,1122,380,947,2082,1097,0,0,0,112797,1034,777169,1308,S,10249,0,228,0,26,8,0,0,44,3360751616,42418,1,820496,42418,35339,5,0
2023-01-10 04:03:36.594152,1133,381,955,2111,1100,0,0,0,115485,1067,782780,1345,S,10253,0,228,0,26,8,0,0,44,3360751616,42440,1,820496,42440,35348,5,0
2023-01-10 04:03:36.848650,1137,381,957,2152,1100,0,0,0,118149,1100,788145,1379,S,10254,0,229,0,27,8,0,0,44,3360751616,42440,1,820496,42440,35348,5,0
2023-01-10 04:03:37.114170,1153,381,961,2175,1100,0,0,0,120747,1132,794787,1417,S,10254,0,229,0,27,8,0,0,44,3360751616,42440,1,820496,42459,35365,5,0
2023-01-10 04:03:37.357604,1180,381,967,2190,1100,0,0,0,123147,1161,799468,1447,S,10333,0,230,0,28,9,0,0,44,3360751616,42459,1,820460,42302,35380,5,0
2023-01-10 04:03:37.634456,1190,388,971,2197,1101,0,0,0,125703,1192,804860,1486,R,10455,0,230,0,29,9,0,0,44,3360604160,42365,1,820972,42410,35444,5,0
2023-01-10 04:03:37.904872,1230,390,977,2199,1101,0,0,0,128585,1227,809643,1517,S,10554,0,230,0,30,9,0,0,44,3362701312,42410,1,820972,42410,35444,5,0
2023-01-10 04:03:38.153676,1250,390,981,2200,1101,0,0,0,130957,1256,815829,1553,R,10556,0,230,0,30,9,0,0,44,3362701312,42410,1,820972,42410,35444,5,0
2023-01-10 04:03:38.419186,1283,390,986,2204,1101,0,0,0,133451,1286,821764,1584,S,10654,0,230,0,32,10,0,0,44,3362701312,42432,1,820972,42448,35475,5,0
2023-01-10 04:03:38.693604,1308,391,989,2209,1101,0,0,0,134821,1302,824455,1604,S,10655,0,230,0,32,10,0,0,44,3362701312,42432,1,820972,42448,35475,5,0
2023-01-10 04:03:38.943501,1320,391,993,2226,1101,0,0,0,137485,1335,829605,1640,S,10695,0,231,0,32,10,0,0,44,3362701312,42448,1,820972,42448,35475,5,0
2023-01-10 04:03:39.209093,1323,391,995,2273,1101,0,0,0,140083,1367,834491,1672,S,10721,0,231,0,33,10,0,0,44,3362701312,42449,0,820972,42449,35475,5,0
2023-01-10 04:03:39.469319,1330,391,998,2314,1101,0,0,0,142813,1401,839485,1706,S,10802,0,234,0,34,10,0,0,44,3362701312,42467,0,820972,42498,35505,5,0
2023-01-10 04:03:39.732923,1348,391,1003,2335,1101,0,0,0,145411,1433,844328,1738,S,10923,0,234,0,36,10,0,0,44,3362701312,42498,1,820972,42498,35505,5,0
2023-01-10 04:03:39.995389,1368,392,1006,2348,1102,0,0,0,147589,1459,848897,1767,S,10923,0,234,0,36,10,0,0,44,3362701312,42498,1,820972,42498,35505,5,0
2023-01-10 04:03:40.250564,1399,392,1009,2356,1102,0,0,0,151127,1503,857182,1814,S,11078,0,234,0,37,10,0,0,44,3362701312,42683,0,820972,42683,35667,5,0
2023-01-10 04:03:40.511132,1422,392,1012,2359,1102,0,0,0,152875,1524,860053,1836,S,11115,0,234,0,37,10,0,0,44,3362701312,42683,1,820972,42683,35667,5,0
