#jp.geinoudouga
#./workspace/jp.geinoudouga_0/app2529.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:23:56.619470,766,175,610,980,940,0,0,0,50164,412,584328,660,S,4110,0,9,0,4,3,0,0,12,3289505792,27922,1,803102,27922,22998,5,0
2023-01-11 02:23:56.895684,775,177,613,980,940,0,0,0,53188,449,591742,706,S,4110,0,9,0,4,3,0,0,12,3289505792,27922,1,803102,27922,22998,5,0
2023-01-11 02:23:57.156128,783,179,617,980,940,0,0,0,55342,475,595554,736,S,4110,0,9,0,4,3,0,0,12,3289505792,27922,1,803102,27922,22998,5,0
2023-01-11 02:23:57.411943,789,181,622,980,940,0,0,0,57832,505,601667,771,S,4110,0,9,0,4,3,0,0,12,3289505792,27922,1,803102,27922,22998,5,0
2023-01-11 02:23:57.683033,794,184,626,980,940,0,0,0,60814,541,608013,807,S,4110,0,9,0,4,3,0,0,12,3289505792,27922,1,803102,27922,22998,5,0
2023-01-11 02:23:57.942826,798,185,630,980,940,0,0,0,62832,565,612589,836,S,4110,0,9,0,4,3,0,0,12,3289505792,27922,1,803102,27922,22998,5,0
2023-01-11 02:23:58.220005,800,188,633,980,940,0,0,0,65256,594,617434,868,S,4110,0,9,0,4,3,0,0,12,3289505792,27922,1,803102,27922,22998,5,0
2023-01-11 02:23:58.470657,806,194,639,980,940,0,0,0,68365,631,625337,912,S,4139,0,9,0,4,3,0,0,13,3290595328,27926,1,803368,27926,22998,5,0
2023-01-11 02:23:58.746196,811,195,641,980,940,0,0,0,69702,647,628128,932,S,4139,0,9,0,4,3,0,0,13,3290595328,27926,1,803368,27926,22998,5,0
2023-01-11 02:23:58.988043,815,199,646,982,941,0,0,0,72528,681,633533,970,S,4144,0,9,0,4,3,0,0,13,3290595328,27926,1,803358,28209,23254,5,0
2023-01-11 02:23:59.273586,826,204,654,987,941,0,0,0,74724,708,637864,996,S,4149,0,9,0,4,4,0,0,13,3290554368,28209,1,803358,28209,23254,5,0
2023-01-11 02:23:59.539393,836,206,657,988,941,0,0,0,76944,735,642445,1025,S,4167,0,9,0,4,4,0,0,13,3290554368,28209,1,803871,28480,23462,5,0
2023-01-11 02:23:59.795010,844,208,662,996,942,0,0,0,79254,763,646938,1052,S,4256,0,9,0,5,4,0,0,13,3292655616,28480,1,803871,28480,23462,5,0
2023-01-11 02:24:00.040235,849,210,667,1014,943,0,0,0,81300,787,651540,1081,S,4256,0,9,0,5,4,0,0,13,3292655616,28480,1,803871,28480,23462,5,0
2023-01-11 02:24:00.301047,870,220,678,1022,943,0,0,0,85027,833,660035,1129,S,4367,0,9,0,6,4,0,0,13,3292917760,29185,0,803935,29185,24159,5,0
2023-01-11 02:24:00.577015,898,221,683,1022,943,0,0,0,86482,850,662449,1148,S,4368,0,9,0,6,4,0,0,13,3292917760,29185,0,803935,29185,24159,5,0
2023-01-11 02:24:00.842528,920,223,696,1023,944,0,0,0,89086,881,668877,1186,S,4368,0,9,0,6,4,0,0,13,3292917760,29185,0,803935,29201,24175,5,0
2023-01-11 02:24:01.097466,933,225,709,1023,944,0,0,0,91486,910,673817,1219,S,4405,0,9,0,7,4,0,0,13,3292917760,29201,0,803935,29201,24175,5,0
2023-01-11 02:24:01.370459,957,228,724,1024,944,0,0,0,93352,932,676927,1244,S,4405,0,9,0,7,4,0,0,13,3292917760,29201,0,803935,29201,24175,5,0
2023-01-11 02:24:01.602471,968,234,735,1025,944,0,0,0,95686,960,681646,1274,S,4406,0,9,0,7,4,0,0,13,3292917760,29201,0,803935,29201,24175,5,0
2023-01-11 02:24:01.880479,990,237,751,1025,944,0,0,0,97708,984,686221,1303,S,4406,0,9,0,7,4,0,0,13,3292917760,29201,0,803935,29201,24175,5,0
2023-01-11 02:24:02.159822,1006,242,761,1025,944,0,0,0,99792,1009,690875,1332,S,4406,0,9,0,7,4,0,0,13,3292917760,29201,0,803935,29201,24175,5,0
