#jp.oomosirodougamatome
#./workspace/jp.oomosirodougamatome_0/app238.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 18:02:10.356651,699,161,565,2553,1042,0,0,0,389200,1556,782192,1648,S,4211,0,4,0,2,3,0,0,12,3289505792,27548,1,803102,27548,22612,5,0
2023-01-11 18:02:10.091077,689,160,561,2553,1042,0,0,0,387220,1533,777948,1624,S,4211,0,4,0,2,3,0,0,12,3289505792,27548,1,803102,27548,22612,5,0
2023-01-11 18:02:10.623974,704,162,568,2553,1042,0,0,0,390447,1571,784579,1663,S,4211,0,4,0,2,3,0,0,12,3289505792,27548,1,803102,27548,22612,5,0
2023-01-11 18:02:10.929096,711,170,575,2553,1042,0,0,0,407373,1648,795468,1735,S,4211,0,4,0,2,3,0,0,12,3289505792,27548,1,803102,27548,22612,5,0
2023-01-11 18:02:11.166149,719,171,579,2553,1042,0,0,0,409613,1675,800319,1767,S,4211,0,4,0,2,3,0,0,12,3289505792,27548,1,803102,27548,22612,5,0
2023-01-11 18:02:11.447290,725,175,581,2565,1042,0,0,0,412377,1709,806741,1805,S,4239,0,4,0,2,3,0,0,12,3289505792,27548,1,803102,27548,22612,5,0
2023-01-11 18:02:11.697482,730,175,583,2596,1042,0,0,0,415197,1744,811904,1841,S,4247,0,4,0,2,3,0,0,12,3289505792,27548,0,803102,27548,22612,5,0
2023-01-11 18:02:11.956772,737,175,586,2629,1042,0,0,0,417729,1775,816825,1874,S,4247,0,4,0,2,3,0,0,12,3289505792,27548,0,803102,27834,22861,5,0
2023-01-11 18:02:12.225742,742,175,590,2664,1043,0,0,0,420525,1810,821898,1909,S,4355,0,4,0,2,3,0,0,12,3291607040,28105,0,803615,28105,23067,5,0
2023-01-11 18:02:12.474115,744,176,593,2705,1045,0,0,0,423283,1844,826983,1944,S,4355,0,4,0,3,3,0,0,12,3291607040,28105,1,803605,28160,23120,5,0
2023-01-11 18:02:12.727302,759,176,599,2724,1045,0,0,0,425947,1877,831778,1975,S,4367,0,4,0,4,3,0,0,12,3291566080,28160,0,803605,28160,23120,5,0
2023-01-11 18:02:12.986219,781,176,602,2732,1045,0,0,0,428545,1909,836785,2009,S,4367,0,4,0,4,3,0,0,12,3291566080,28160,1,803605,28160,23120,5,0
2023-01-11 18:02:13.260778,800,179,609,2750,1045,0,0,0,431209,1942,841792,2043,S,4367,0,4,0,4,3,0,0,12,3291566080,28160,1,803605,28160,23120,5,0
2023-01-11 18:02:13.537040,802,179,612,2795,1045,0,0,0,434095,1978,846865,2078,S,4459,0,4,0,4,3,0,0,12,3291828224,28892,1,803669,28892,23845,5,0
2023-01-11 18:02:13.787296,804,180,614,2839,1045,0,0,0,436849,2012,851896,2112,S,4492,0,4,0,5,3,0,0,12,3291828224,28892,1,803669,28892,23845,5,0
2023-01-11 18:02:14.042604,806,180,615,2882,1047,0,0,0,439669,2047,856885,2145,S,4496,0,4,0,5,3,0,0,12,3291828224,28892,1,803669,28892,23845,5,0
2023-01-11 18:02:14.308127,808,180,617,2933,1047,0,0,0,442621,2084,861874,2178,S,4496,0,4,0,5,3,0,0,12,3291828224,28892,1,803669,28892,23845,5,0
2023-01-11 18:02:14.563406,809,180,619,2976,1047,0,0,0,445257,2115,867097,2215,S,4496,0,4,0,5,3,0,0,12,3291828224,28892,1,803669,28892,23845,5,0
2023-01-11 18:02:14.829061,810,180,620,3021,1047,0,0,0,447813,2146,872194,2250,S,4498,0,4,0,5,3,0,0,12,3291828224,28892,0,803669,28892,23845,5,0
2023-01-11 18:02:15.084364,812,180,623,3065,1047,0,0,0,450501,2179,877225,2284,S,4498,0,4,0,5,3,0,0,12,3291828224,28892,0,803669,28892,23845,5,0
2023-01-11 18:02:15.344971,814,180,626,3110,1047,0,0,0,453189,2212,882346,2319,S,4498,0,4,0,6,3,0,0,12,3291828224,28892,0,803669,28892,23845,5,0
2023-01-11 18:02:15.600271,814,180,628,3156,1047,0,0,0,455877,2245,888744,2358,S,4499,0,4,0,6,3,0,0,12,3291828224,28892,0,803669,28892,23845,5,0
2023-01-11 18:02:15.865640,815,180,631,3204,1047,0,0,0,458631,2279,893973,2394,S,4502,0,4,0,6,3,0,0,12,3291828224,28892,1,803669,28892,23845,5,0
2023-01-11 18:02:16.119909,824,190,635,3219,1051,0,0,0,461295,2312,899136,2430,S,4506,0,4,0,6,3,0,0,12,3291828224,28892,1,803669,28892,23845,5,0
2023-01-11 18:02:16.395526,836,190,639,3223,1053,0,0,0,463803,2343,904443,2464,S,4507,0,4,0,6,4,0,0,12,3291828224,28892,1,803669,28892,23845,5,0
2023-01-11 18:02:16.648676,846,191,642,3233,1053,0,0,0,466425,2375,909930,2500,S,4507,0,4,0,6,4,0,0,12,3291828224,28892,1,803935,28896,23845,5,0
