#jp.ws.pprshfd.q_fhjl
#./workspace/jp.ws.pprshfd.q_fhjl_0/app4210.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 17:43:30.121623,646,136,515,1046,897,0,0,0,2847676,3673,799721,2235,R,7756,0,273,0,8,8,0,0,35,3342123008,38473,1,819842,41388,35509,5,0
2023-01-11 17:43:30.397395,657,137,518,1046,897,0,0,0,2851417,3717,808646,2284,S,10418,0,285,0,11,9,0,0,41,3358072832,41590,0,820311,41692,34878,5,0
2023-01-11 17:43:30.647661,667,138,521,1047,897,0,0,0,2853841,3746,813410,2315,S,11549,0,285,0,14,11,0,0,43,3359993856,41692,1,823625,44140,36430,5,0
2023-01-11 17:43:30.918646,672,138,523,1047,897,0,0,0,2855375,3764,817051,2336,S,12380,0,285,0,16,15,0,0,44,3367346176,42509,1,823696,44167,36512,5,0
2023-01-11 17:43:31.204296,684,143,531,1053,897,0,0,0,2860098,3814,825616,2388,S,14271,0,287,0,26,20,0,0,44,3377025024,44628,1,824725,44876,37075,5,0
2023-01-11 17:43:31.459988,697,143,536,1057,897,0,0,0,2861624,3832,828553,2411,S,14396,0,287,0,30,21,0,0,44,3378073600,44742,1,824651,44923,37125,5,0
2023-01-11 17:43:31.734883,714,143,546,1071,897,0,0,0,2864174,3864,833311,2442,S,14909,0,287,0,37,28,0,0,44,3381219328,45366,1,826707,45412,37554,5,0
2023-01-11 17:43:31.990427,729,143,553,1090,899,0,0,0,2866838,3897,838099,2473,S,14993,0,288,0,42,30,0,0,44,3386191872,45439,1,826707,45439,37575,5,0
2023-01-11 17:43:32.245591,748,144,557,1110,899,0,0,0,2869634,3932,843715,2511,S,15009,0,288,0,46,30,0,0,44,3386191872,45439,1,826707,45439,37575,5,0
2023-01-11 17:43:32.503113,763,144,560,1134,899,0,0,0,2871788,3958,848845,2543,S,15011,0,288,0,47,30,0,0,44,3386191872,45439,1,826707,45439,37575,5,0
2023-01-11 17:43:32.763400,773,144,562,1171,899,0,0,0,2874806,3996,854647,2583,S,15047,0,288,0,48,30,0,0,44,3386191872,45439,0,826707,45439,37575,5,0
2023-01-11 17:43:33.025279,780,144,564,1212,899,0,0,0,2877692,4032,860940,2620,S,15094,0,288,0,49,30,0,0,44,3386191872,45439,0,826707,45439,37575,5,0
2023-01-11 17:43:33.275176,787,144,567,1246,899,0,0,0,2880314,4064,866304,2659,S,15130,0,288,0,49,30,0,0,44,3386191872,45440,0,826707,45440,37575,5,0
2023-01-11 17:43:33.545747,794,144,569,1286,899,0,0,0,2883110,4098,871670,2698,S,15130,0,288,0,50,30,0,0,44,3386191872,45440,0,826739,45440,37575,5,0
2023-01-11 17:43:33.792236,809,145,580,1298,901,0,0,0,2894129,4167,880976,2763,S,15832,0,288,0,55,32,0,0,45,3523780608,46259,0,865134,46064,38066,5,0
2023-01-11 17:43:34.047487,821,146,585,1320,903,0,0,0,2896883,4201,887245,2800,S,16190,0,288,0,58,34,0,0,44,3543588864,46064,1,865134,46064,38066,5,0
2023-01-11 17:43:34.307801,831,146,588,1353,903,0,0,0,2899415,4232,892075,2832,S,16190,0,288,0,59,34,0,0,44,3543588864,46064,0,865134,46064,38066,5,0
2023-01-11 17:43:34.568306,838,146,591,1392,903,0,0,0,2902079,4265,896887,2863,S,16191,0,288,0,60,34,0,0,44,3543588864,46064,0,865134,46064,38066,5,0
2023-01-11 17:43:34.823649,844,147,592,1431,903,0,0,0,2904701,4297,901921,2897,S,16191,0,288,0,61,34,0,0,44,3543588864,46021,1,865134,46021,38066,5,0
2023-01-11 17:43:35.094211,852,147,594,1473,903,0,0,0,2907257,4328,906955,2931,S,16192,0,288,0,62,34,0,0,44,3543588864,46021,1,865134,46021,38066,5,0
2023-01-11 17:43:35.349609,863,148,598,1500,904,0,0,0,2909633,4357,911522,2959,S,16562,0,288,0,63,35,0,0,44,3545067520,46417,1,865495,46417,38453,5,0
2023-01-11 17:43:35.605763,880,156,604,1508,906,0,0,0,2912897,4398,916981,2997,S,16563,0,288,0,64,35,0,0,44,3545067520,46417,0,865495,46417,38453,5,0
2023-01-11 17:43:35.873710,904,156,610,1513,907,0,0,0,2915831,4434,923736,3036,S,16564,0,288,0,65,35,0,0,44,3545067520,46417,1,865495,46417,38453,5,0
2023-01-11 17:43:36.138556,930,157,614,1519,907,0,0,0,2917985,4460,928165,3063,S,16570,0,288,0,66,36,0,0,44,3545067520,46399,1,865495,46399,38458,5,0
2023-01-11 17:43:36.384574,954,157,619,1524,907,0,0,0,2920427,4490,932750,3092,S,16573,0,288,0,67,36,0,0,44,3545067520,46399,0,865495,46399,38458,5,0
2023-01-11 17:43:36.649054,968,158,623,1549,908,0,0,0,2923379,4527,937945,3128,S,16573,0,288,0,68,36,0,0,44,3545067520,46399,1,865495,46399,38458,5,0
2023-01-11 17:43:36.900464,975,158,625,1582,908,0,0,0,2926331,4564,942956,3162,S,16576,0,288,0,68,36,0,0,44,3545067520,46399,1,865495,46400,38458,5,0
2023-01-11 17:43:37.170874,989,159,629,1617,908,0,0,0,2928953,4596,947835,3194,S,16576,0,288,0,69,36,0,0,44,3545067520,46400,1,865495,46400,38458,5,0
2023-01-11 17:43:37.426109,1008,159,633,1635,908,0,0,0,2931641,4629,952877,3228,S,16584,0,288,0,70,37,0,0,44,3545067520,46400,1,865495,46400,38458,5,0
2023-01-11 17:43:37.676329,1022,159,635,1662,908,0,0,0,2934305,4662,957758,3260,S,16585,0,288,0,71,37,0,0,44,3545067520,46401,1,865495,46401,38458,5,0
2023-01-11 17:43:37.941736,1037,159,639,1694,908,0,0,0,2937059,4696,962837,3294,S,16721,0,291,0,72,37,0,0,45,3546189824,46610,1,865769,46610,38608,5,0
2023-01-11 17:43:38.194976,1063,159,643,1703,908,0,0,0,2939821,4730,968943,3331,S,16740,0,291,0,75,37,0,0,46,3547271168,46609,1,866033,46609,38608,5,0
