#jqwnryufwbu.qlmpjr
#./workspace/jqwnryufwbu.qlmpjr_0/app4871.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-12 00:08:59.794380,559,85,448,693,713,0,0,0,507188,2170,1390901,2418,S,7970,0,271,0,10,6,0,0,31,3331559424,36593,0,813369,36593,31010,5,0
2023-01-12 00:09:00.065398,570,86,453,693,713,0,0,0,513479,2247,1411935,2503,S,7970,0,271,0,10,6,0,0,31,3331559424,36593,0,813369,36593,31010,5,0
2023-01-12 00:09:00.325919,575,89,457,693,713,0,0,0,518914,2314,1458595,2587,S,7977,0,271,0,10,6,0,0,31,3331559424,36593,0,813369,36593,31010,5,0
2023-01-12 00:09:00.594383,584,92,459,693,713,0,0,0,525314,2369,1469125,2630,S,7977,0,271,0,10,6,0,0,31,3331559424,36593,0,813369,36593,31010,5,0
2023-01-12 00:09:00.866545,596,94,462,698,714,0,0,0,528296,2405,1476979,2673,S,7977,0,271,0,10,6,0,0,31,3331559424,36593,0,813369,36593,31010,5,0
2023-01-12 00:09:01.119941,604,98,465,702,715,0,0,0,578660,2475,1485528,2739,S,7977,0,271,0,10,6,0,0,31,3331559424,36593,0,813369,36593,31010,5,0
2023-01-12 00:09:01.375149,611,105,470,718,717,0,0,0,674947,2601,1511444,2842,S,7977,0,271,0,10,6,0,0,31,3331559424,36593,0,813369,36593,31010,5,0
2023-01-12 00:09:01.630572,614,109,474,737,730,0,0,0,722887,2732,1549256,2971,S,10316,0,299,0,11,11,0,0,36,3346505728,41185,1,817019,42216,34575,5,0
2023-01-12 00:09:01.901312,627,110,484,740,734,0,0,0,725193,2760,1554633,3002,S,10938,0,307,0,11,14,0,0,36,3346509824,42216,1,817019,42216,34575,5,0
2023-01-12 00:09:02.138617,633,110,490,744,745,0,0,0,728577,2801,1561612,3047,S,10958,0,307,0,12,14,0,0,36,3346509824,42216,1,817611,42766,34913,5,0
2023-01-12 00:09:02.414085,642,111,499,753,760,0,0,0,733029,2856,1570854,3106,S,12482,0,322,0,16,15,0,0,37,3356532736,43802,0,819732,43821,35943,5,0
2023-01-12 00:09:02.668536,655,112,503,778,760,0,0,0,739573,2914,1579422,3161,S,12838,0,326,0,19,15,0,0,38,3357601792,43529,0,819727,43529,36299,5,0
2023-01-12 00:09:02.920165,662,112,505,795,765,0,0,0,742597,2951,1585682,3201,S,13716,0,326,0,20,15,0,0,38,3359301632,43687,0,820142,43687,36738,5,0
2023-01-12 00:09:03.192014,683,113,511,815,765,0,0,0,745999,2993,1592619,3242,S,14242,0,326,0,25,15,0,0,38,3359301632,43750,0,820142,43768,36809,5,0
2023-01-12 00:09:03.443665,699,113,515,826,766,0,0,0,748753,3027,1598302,3280,S,14422,0,327,0,26,15,0,0,38,3359301632,43768,0,820142,43781,36822,5,0
2023-01-12 00:09:03.688400,707,113,518,858,766,0,0,0,751441,3060,1603377,3315,S,14470,0,327,0,27,15,0,0,38,3359301632,43781,0,820142,43781,36822,5,0
2023-01-12 00:09:03.955027,711,113,520,906,766,0,0,0,754195,3094,1610057,3355,S,14559,0,328,0,28,15,0,0,38,3359301632,43785,1,820142,43785,36825,5,0
2023-01-12 00:09:04.220609,714,115,522,951,767,0,0,0,757465,3134,1616762,3397,S,14561,0,328,0,28,15,0,0,38,3359301632,43738,0,820142,43738,36825,5,0
2023-01-12 00:09:04.481086,718,119,527,985,768,0,0,0,760867,3176,1623712,3442,S,14563,0,328,0,29,15,0,0,38,3359301632,43745,0,820142,43747,36825,5,0
