#life.news.biamag
#./workspace/life.news.biamag_0/life.news.biamag.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:14:23.559955,776,301,838,1647,1429,0,0,0,285203,627,643648,761,S,14363,0,205,0,21,10,0,0,42,3376156672,48495,1,824579,48534,35872,5,0
2023-01-10 01:14:23.834091,786,302,844,1648,1433,0,0,0,287381,653,648300,791,S,14403,0,205,0,21,11,0,0,42,3377475584,48735,1,825605,48735,36122,5,0
2023-01-10 01:14:24.095228,794,303,853,1648,1450,0,0,0,290027,685,654706,829,S,19443,0,219,0,29,11,0,0,44,3409022976,53147,1,833829,54459,36504,5,0
2023-01-10 01:14:24.360323,803,305,856,1654,1450,0,0,0,292403,714,659406,859,S,21832,0,220,0,48,13,0,0,44,3417509888,55292,1,834772,56129,37327,5,0
2023-01-10 01:14:24.620711,811,305,858,1680,1451,0,0,0,295115,747,664743,895,S,22337,0,224,0,54,14,0,0,44,3419226112,56129,0,834900,56167,37365,5,0
2023-01-10 01:14:24.881148,814,305,860,1725,1452,0,0,0,297935,782,669977,932,S,22501,0,224,0,54,14,0,0,44,3419750400,56167,1,834900,56167,37365,5,0
2023-01-10 01:14:25.136453,817,307,863,1757,1452,0,0,0,300533,814,674653,962,S,22647,0,225,0,55,14,0,0,44,3419750400,55994,1,834900,56204,37661,5,0
2023-01-10 01:14:25.408670,835,308,868,1777,1453,0,0,0,303287,848,679713,996,S,22833,0,226,0,57,15,0,0,44,3419750400,56222,1,834900,54330,37690,5,0
2023-01-10 01:14:25.664002,841,308,870,1812,1453,0,0,0,305795,879,684479,1027,S,22989,0,226,0,57,15,0,0,44,3419750400,54364,0,834100,54407,37701,5,0
2023-01-10 01:14:25.929853,857,309,874,1838,1453,0,0,0,308657,915,689491,1061,S,23086,0,226,0,57,16,0,0,44,3416473600,54424,0,834100,54093,37748,5,0
2023-01-10 01:14:26.195080,870,309,877,1869,1453,0,0,0,311255,947,694504,1095,S,23266,0,226,0,58,17,0,0,44,3416473600,54094,0,834100,54095,37748,5,0
2023-01-10 01:14:26.450520,875,310,879,1908,1453,0,0,0,314141,983,699500,1128,S,23378,0,227,0,59,17,0,0,44,3416473600,54125,1,834100,54125,37778,5,0
2023-01-10 01:14:26.705846,879,310,882,1950,1454,0,0,0,316697,1014,704694,1164,S,23390,0,227,0,59,17,0,0,44,3416473600,54125,1,834100,54125,37778,5,0
2023-01-10 01:14:26.971386,882,310,885,1996,1454,0,0,0,319319,1046,709956,1201,S,23448,0,227,0,60,17,0,0,44,3416473600,53110,0,834132,53110,37794,5,0
2023-01-10 01:14:27.231718,885,311,887,2035,1455,0,0,0,322007,1079,715129,1237,S,23461,0,227,0,60,17,0,0,44,3416604672,53110,1,834132,53110,37794,5,0
2023-01-10 01:14:27.492061,888,311,889,2078,1457,0,0,0,324515,1110,719768,1266,S,23503,0,227,0,61,17,0,0,44,3416604672,53110,1,834132,53110,37794,5,0
2023-01-10 01:14:27.757453,893,312,891,2115,1458,0,0,0,327335,1145,724677,1298,S,23504,0,227,0,61,18,0,0,44,3416604672,53110,1,834132,53092,37794,5,0
2023-01-10 01:14:27.998086,898,312,894,2154,1460,0,0,0,330155,1180,729652,1331,S,23505,0,227,0,61,18,0,0,44,3416604672,53092,0,834132,53092,37794,5,0
2023-01-10 01:14:28.273404,901,313,898,2195,1461,0,0,0,333017,1216,734471,1362,S,23535,0,228,0,62,18,0,0,44,3416604672,53109,0,834132,53110,37811,5,0
2023-01-10 01:14:28.528709,902,313,900,2240,1461,0,0,0,335837,1251,739404,1394,S,23583,0,228,0,62,18,0,0,44,3416604672,53110,1,834132,53110,37811,5,0
2023-01-10 01:14:28.794308,906,313,902,2281,1461,0,0,0,338525,1284,744469,1428,S,23606,0,228,0,63,18,0,0,44,3416604672,53110,1,834132,53110,37811,5,0
2023-01-10 01:14:29.064874,915,323,906,2300,1464,0,0,0,341123,1316,750032,1469,S,23665,0,228,0,63,19,0,0,44,3416604672,53117,0,834388,53139,37844,5,0
2023-01-10 01:14:29.315341,928,323,910,2309,1464,0,0,0,343787,1349,755091,1504,S,24102,0,228,0,64,19,0,0,44,3417653248,53140,0,834388,53140,37844,5,0
2023-01-10 01:14:29.587921,943,323,915,2320,1464,0,0,0,346475,1382,760832,1543,S,24102,0,228,0,64,19,0,0,44,3417653248,53140,1,834388,53140,37844,5,0
2023-01-10 01:14:29.842304,970,324,919,2328,1464,0,0,0,348809,1410,766326,1579,S,24228,0,228,0,66,19,0,0,44,3417653248,53140,1,834388,53211,37905,5,0
2023-01-10 01:14:30.123797,983,325,922,2335,1464,0,0,0,351185,1439,771519,1614,S,24229,0,228,0,66,20,0,0,44,3417653248,53211,1,834388,53211,37905,5,0
2023-01-10 01:14:30.373520,987,325,925,2377,1464,0,0,0,353807,1471,778082,1656,S,24316,0,228,0,66,20,0,0,44,3417653248,53241,1,834388,53241,37934,5,0
2023-01-10 01:14:30.628825,992,325,928,2412,1466,0,0,0,356891,1510,783565,1691,S,24356,0,228,0,67,20,0,0,44,3417653248,53241,0,834388,53241,37934,5,0
2023-01-10 01:14:30.894451,997,325,930,2459,1466,0,0,0,359489,1542,788426,1723,S,24377,0,228,0,67,20,0,0,44,3417653248,53241,1,834388,53272,37965,5,0
2023-01-10 01:14:31.170578,1017,326,934,2477,1466,0,0,0,361913,1571,793600,1759,S,24534,0,228,0,68,21,0,0,44,3417653248,53280,0,834388,53280,37965,5,0
2023-01-10 01:14:31.399960,1022,326,937,2510,1466,0,0,0,364667,1605,799835,1795,S,24536,0,228,0,68,21,0,0,44,3417653248,53280,0,834388,53280,37965,5,0
2023-01-10 01:14:31.680200,1051,327,942,2532,1466,0,0,0,367445,1639,805128,1832,S,24545,0,228,0,69,22,0,0,44,3417653248,53284,1,834388,53284,37965,5,0
2023-01-10 01:14:31.926149,1069,327,945,2534,1466,0,0,0,369557,1664,809546,1858,S,24578,0,228,0,72,22,0,0,44,3417653248,53284,1,834388,53284,37965,5,0
