#me.bmt626.shopperscalc
#./workspace/me.bmt626.shopperscalc_0/me.bmt626.shopperscalc.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:36:19.610766,882,330,842,1942,1119,0,0,0,274424,731,676844,852,S,12459,0,1,0,24,6,0,0,16,3330211840,37695,0,813040,37695,25638,5,0
2023-01-10 05:36:19.876490,889,333,848,1964,1120,0,0,0,278582,783,684785,906,S,12493,0,3,0,24,6,0,0,16,3332308992,37800,1,813552,37800,25694,5,0
2023-01-10 05:36:20.147086,893,339,851,1986,1120,0,0,0,281492,819,690255,944,S,12494,0,3,0,24,7,0,0,16,3332308992,37800,0,813552,37800,25694,5,0
2023-01-10 05:36:20.402335,895,339,852,2030,1120,0,0,0,284444,856,695355,979,S,12504,0,4,0,24,8,0,0,16,3332308992,37800,0,813552,37800,25694,5,0
2023-01-10 05:36:20.662841,899,340,855,2067,1120,0,0,0,286976,887,700054,1009,S,12530,0,6,0,24,8,0,0,16,3332308992,38097,0,813553,37310,26078,5,0
2023-01-10 05:36:20.933830,913,340,857,2077,1120,0,0,0,289772,922,704843,1040,S,12551,0,8,0,25,8,0,0,16,3332313088,37310,0,813553,37310,26078,5,0
2023-01-10 05:36:21.197315,922,341,860,2116,1121,0,0,0,292526,956,709903,1074,S,12551,0,8,0,25,8,0,0,16,3332313088,37310,0,813553,37310,26078,5,0
2023-01-10 05:36:21.457404,931,341,863,2148,1121,0,0,0,295544,994,714807,1106,S,12558,0,8,0,27,8,0,0,16,3332313088,37310,1,813553,37310,26078,5,0
2023-01-10 05:36:21.707697,935,341,865,2189,1122,0,0,0,298562,1032,719687,1138,S,12558,0,8,0,28,8,0,0,16,3332313088,37310,0,813617,38036,26798,5,0
2023-01-10 05:36:21.963057,944,342,866,2225,1122,0,0,0,301250,1065,724681,1171,S,12625,0,8,0,28,8,0,0,16,3332575232,38036,0,813617,38036,26798,5,0
2023-01-10 05:36:22.228671,947,342,867,2270,1122,0,0,0,304202,1102,729675,1204,S,12682,0,8,0,29,8,0,0,16,3332575232,38036,0,813617,38036,26798,5,0
2023-01-10 05:36:22.489274,952,342,870,2308,1122,0,0,0,306890,1135,734711,1238,S,12686,0,8,0,30,8,0,0,16,3332575232,38036,0,813617,38036,26798,5,0
2023-01-10 05:36:22.749295,954,342,872,2352,1123,0,0,0,309908,1173,739771,1272,S,12686,0,8,0,30,8,0,0,16,3332575232,38036,0,813811,38969,27013,5,0
2023-01-10 05:36:23.006757,980,343,876,2371,1123,0,0,0,312840,1210,744382,1301,S,14114,0,11,0,40,8,0,0,16,3333488640,39197,1,813872,39294,27109,5,0
2023-01-10 05:36:23.267225,1006,343,879,2374,1123,0,0,0,315372,1241,749084,1331,S,14332,0,11,0,41,8,0,0,16,3333619712,39294,0,813872,39294,27109,5,0
2023-01-10 05:36:23.522724,1033,343,883,2376,1123,0,0,0,317588,1268,753564,1358,S,14334,0,11,0,43,8,0,0,16,3333619712,39294,1,813872,39294,27109,5,0
2023-01-10 05:36:23.788019,1042,344,886,2412,1123,0,0,0,320342,1302,758537,1391,S,14335,0,11,0,43,8,0,0,16,3333619712,39294,0,813872,39294,27109,5,0
2023-01-10 05:36:24.053608,1048,345,890,2448,1125,0,0,0,323072,1336,763486,1424,S,14361,0,11,0,44,8,0,0,16,3333619712,39294,1,813872,39294,27109,5,0
2023-01-10 05:36:24.308852,1050,345,892,2492,1125,0,0,0,325826,1370,768501,1458,S,14362,0,11,0,44,8,0,0,16,3333619712,39294,0,813872,39294,27109,5,0
2023-01-10 05:36:24.569400,1060,345,894,2528,1125,0,0,0,328070,1397,773510,1492,S,14367,0,11,0,44,8,0,0,16,3333619712,39294,1,813872,39294,27109,5,0
2023-01-10 05:36:24.829879,1083,355,902,2542,1126,0,0,0,331122,1434,780745,1535,R,14566,0,12,0,46,8,0,0,16,3333537792,38806,0,813858,39530,27318,5,0
2023-01-10 05:36:25.089070,1116,356,905,2542,1126,0,0,0,333753,1466,785994,1568,S,15555,0,12,0,53,8,0,0,16,3333562368,39530,0,813858,39530,27318,5,0
2023-01-10 05:36:25.349599,1139,356,909,2542,1126,0,0,0,335024,1481,788616,1587,S,15555,0,12,0,54,8,0,0,16,3333562368,39530,1,813858,39530,27318,5,0
2023-01-10 05:36:25.608065,1174,357,916,2545,1126,0,0,0,337400,1510,793841,1620,S,15557,0,12,0,55,8,0,0,16,3333562368,39530,1,813858,39530,27318,5,0
2023-01-10 05:36:25.870909,1189,357,919,2550,1126,0,0,0,339554,1536,799467,1649,S,15563,0,12,0,56,8,0,0,16,3333562368,39530,1,813858,38655,27318,5,0
2023-01-10 05:36:26.120762,1233,359,923,2551,1126,0,0,0,342114,1567,804458,1683,S,15742,0,12,0,60,8,0,0,16,3333615616,38713,0,813858,38753,27366,5,0
2023-01-10 05:36:26.394751,1266,362,928,2551,1126,0,0,0,345039,1602,810910,1717,S,15750,0,12,0,63,9,0,0,16,3333562368,38753,1,813871,38753,27366,5,0
2023-01-10 05:36:26.654912,1276,364,931,2551,1126,0,0,0,346158,1615,813988,1732,S,15751,0,12,0,63,9,0,0,16,3333562368,38753,1,813871,38753,27366,5,0
2023-01-10 05:36:26.930970,1295,364,934,2554,1126,0,0,0,348440,1643,818536,1759,S,15784,0,12,0,65,9,0,0,16,3333615616,38753,1,813871,38753,27366,5,0
2023-01-10 05:36:27.181400,1335,364,938,2557,1126,0,0,0,351558,1681,825536,1804,S,15785,0,12,0,66,9,0,0,16,3333615616,38753,1,813871,38864,27477,5,0
2023-01-10 05:36:27.439113,1359,364,940,2558,1126,0,0,0,352838,1696,827935,1821,S,15802,0,12,0,66,9,0,0,16,3333615616,38753,1,813871,38865,27477,5,0
2023-01-10 05:36:27.692534,1378,365,945,2571,1126,0,0,0,355484,1728,833305,1859,S,16007,0,12,0,67,9,0,0,16,3333615616,38865,0,813871,38865,27477,5,0
2023-01-10 05:36:27.953073,1381,365,947,2611,1126,0,0,0,358238,1762,838632,1897,S,16009,0,12,0,68,9,0,0,16,3333615616,38865,0,813871,38865,27477,5,0
2023-01-10 05:36:28.213520,1388,365,950,2650,1126,0,0,0,361058,1797,843737,1932,S,16020,0,12,0,69,9,0,0,16,3333615616,38865,0,813871,38865,27477,5,0
