#mobi.lockscreen.magiclocker.theme.free.haron.blackglass
#./workspace/mobi.lockscreen.magiclocker.theme.free.haron.blackglass_0/mobi.lockscreen.magiclocker.theme.free.haron.blackglass.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:04:54.233442,933,312,878,1619,1317,0,0,0,838944,1034,700357,801,S,10368,0,8,0,29,6,0,0,15,3320516608,36854,0,810673,36854,25817,5,0
2023-01-10 03:04:54.509179,944,314,881,1620,1317,0,0,0,842458,1078,708552,842,S,10368,0,8,0,29,6,0,0,15,3320516608,36854,0,811091,37468,26369,5,0
2023-01-10 03:04:54.769897,953,315,884,1621,1318,0,0,0,843828,1094,711185,860,S,11327,0,9,0,35,6,0,0,15,3322216448,37402,0,811187,37618,26518,5,0
2023-01-10 03:04:55.031995,963,318,887,1624,1318,0,0,0,846696,1129,716794,901,S,11539,0,9,0,43,6,0,0,15,3322621952,37618,0,811187,37618,26518,5,0
2023-01-10 03:04:55.287143,971,318,891,1637,1318,0,0,0,849195,1159,721551,931,S,11549,0,12,0,46,9,0,0,15,3322621952,37617,1,811187,37367,26669,5,0
2023-01-10 03:04:55.542966,983,318,895,1644,1318,0,0,0,851529,1187,726380,963,S,11600,0,12,0,53,9,0,0,15,3322621952,37284,0,811187,37249,26669,5,0
2023-01-10 03:04:55.793514,993,320,897,1647,1319,0,0,0,854283,1221,731372,996,S,11613,0,13,0,59,10,0,0,15,3322621952,37249,0,811187,37131,26669,5,0
2023-01-10 03:04:56.044347,1005,321,900,1661,1319,0,0,0,856659,1250,736137,1027,S,11614,0,13,0,64,11,0,0,15,3322621952,37100,1,811187,37043,26669,5,0
2023-01-10 03:04:56.311217,1016,321,903,1677,1319,0,0,0,859389,1284,740860,1057,S,11619,0,13,0,66,13,0,0,15,3322621952,37027,1,811187,37018,26669,5,0
2023-01-10 03:04:56.576708,1025,321,906,1697,1319,0,0,0,862341,1321,745942,1092,S,11645,0,13,0,73,16,0,0,15,3322462208,36948,1,811148,37109,26771,5,0
2023-01-10 03:04:56.840238,1035,323,909,1698,1319,0,0,0,864585,1348,750618,1122,S,11844,0,13,0,75,18,0,0,15,3322462208,37109,1,811148,37081,26770,5,0
