#mobi.universo.android.u301032
#./workspace/mobi.universo.android.u301032_0/mobi.universo.android.u301032.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:22:05.012097,988,359,866,1822,990,0,0,0,827507,1223,706604,995,S,14039,0,7,0,70,6,0,0,16,3331670016,40411,0,814233,41264,28229,5,0
2023-01-10 04:22:05.276284,1002,360,871,1824,991,0,0,0,829973,1253,711529,1028,S,15099,0,7,0,103,10,0,0,16,3335761920,41402,0,814395,41402,28363,5,0
2023-01-10 04:22:05.554710,1009,362,873,1827,991,0,0,0,832085,1278,716204,1056,S,15100,0,7,0,105,10,0,0,16,3335761920,41402,0,814395,41402,28363,5,0
2023-01-10 04:22:05.799667,1015,366,875,1835,991,0,0,0,834305,1305,720724,1084,S,15101,0,7,0,107,11,0,0,16,3335761920,41402,1,814395,41402,28363,5,0
2023-01-10 04:22:06.076680,1028,367,879,1842,992,0,0,0,836681,1334,725400,1114,S,15115,0,7,0,110,12,0,0,16,3335761920,41501,1,814395,40691,28408,5,0
2023-01-10 04:22:06.328270,1038,368,882,1853,992,0,0,0,839237,1365,730280,1146,S,15117,0,7,0,112,13,0,0,16,3335761920,40691,0,814395,40691,28408,5,0
2023-01-10 04:22:06.593771,1044,372,884,1858,994,0,0,0,841769,1396,735094,1177,S,15117,0,7,0,115,13,0,0,16,3335761920,40691,0,814395,40691,28408,5,0
2023-01-10 04:22:06.856845,1055,373,887,1881,995,0,0,0,844853,1435,740022,1209,S,15169,0,7,0,117,15,0,0,16,3330871296,39445,0,813201,39455,27163,5,0
2023-01-10 04:22:07.134393,1065,374,891,1910,996,0,0,0,847607,1469,745059,1243,S,16280,0,8,0,128,16,0,0,16,3330887680,40634,0,813210,40895,27662,5,0
2023-01-10 04:22:07.369348,1086,374,893,1921,996,0,0,0,850379,1504,749604,1271,R,16532,0,8,0,152,18,0,0,16,3330932736,40895,0,813216,40895,27662,5,0
2023-01-10 04:22:07.633610,1103,375,896,1937,996,0,0,0,853043,1537,754419,1302,S,16599,0,8,0,153,18,0,0,16,3330932736,40912,0,813216,40944,27709,5,0
2023-01-10 04:22:07.899004,1106,375,898,1977,996,0,0,0,855575,1568,759300,1334,S,16641,0,8,0,153,18,0,0,16,3330932736,40944,0,813216,40944,27709,5,0
2023-01-10 04:22:08.154228,1108,375,899,2026,996,0,0,0,858329,1602,764181,1366,S,16641,0,8,0,153,18,0,0,16,3330932736,40944,0,813216,40944,27709,5,0
2023-01-10 04:22:08.409706,1111,375,902,2068,996,0,0,0,861083,1636,769110,1398,S,16700,0,8,0,153,18,0,0,16,3330932736,40944,0,813216,40944,27709,5,0
2023-01-10 04:22:08.675206,1114,375,904,2113,996,0,0,0,863969,1672,774058,1431,S,16718,0,8,0,154,18,0,0,16,3331063808,40944,1,813248,40933,27709,5,0
2023-01-10 04:22:08.930656,1117,376,906,2159,996,0,0,0,866633,1705,778958,1464,S,16738,0,8,0,154,19,0,0,16,3331063808,41118,0,813248,41118,27854,5,0
2023-01-10 04:22:09.196174,1121,376,908,2200,997,0,0,0,869123,1735,784129,1500,S,16742,0,9,0,154,19,0,0,16,3331063808,41118,1,813248,41118,27854,5,0
2023-01-10 04:22:09.451402,1124,376,909,2245,997,0,0,0,871877,1769,789102,1533,S,16742,0,9,0,154,19,0,0,16,3331063808,41118,0,813248,41118,27854,5,0
2023-01-10 04:22:09.711621,1126,376,911,2288,997,0,0,0,874409,1800,794249,1569,S,16743,0,9,0,154,19,0,0,16,3331063808,41118,0,813248,41118,27854,5,0
2023-01-10 04:22:09.972263,1129,377,913,2337,997,0,0,0,876965,1831,799378,1604,S,17177,0,9,0,154,20,0,0,16,3331981312,41187,1,813472,41187,27918,5,0
2023-01-10 04:22:10.232627,1137,381,917,2364,998,0,0,0,879917,1868,804549,1639,S,17185,0,9,0,154,20,0,0,16,3331981312,41187,0,813472,41191,27918,5,0
2023-01-10 04:22:10.503534,1150,388,921,2374,999,0,0,0,882425,1899,809342,1670,S,17555,0,9,0,154,20,0,0,16,3331981312,41191,1,813472,41191,27918,5,0
2023-01-10 04:22:10.758691,1162,388,925,2386,999,0,0,0,885245,1934,815143,1710,S,17556,0,9,0,154,21,0,0,16,3331981312,41191,1,813472,41191,27918,5,0
2023-01-10 04:22:11.019312,1175,389,931,2391,999,0,0,0,888117,1969,822478,1751,S,17800,0,9,0,163,22,0,0,16,3334078464,40514,1,813984,41303,27996,5,0
2023-01-10 04:22:11.279740,1186,389,933,2393,999,0,0,0,889955,1991,825377,1772,S,18762,0,9,0,175,25,0,0,16,3334078464,41303,0,814499,41411,27996,5,0
2023-01-10 04:22:11.561378,1196,389,935,2412,999,0,0,0,892445,2021,831471,1807,S,18869,0,9,0,179,25,0,0,16,3336187904,41411,1,814499,41411,27996,5,0
2023-01-10 04:22:11.815579,1214,389,939,2437,999,0,0,0,895373,2058,836354,1839,S,18945,0,9,0,202,25,0,0,16,3336187904,41412,1,814499,41317,27996,5,0
2023-01-10 04:22:12.086160,1242,389,942,2441,999,0,0,0,897551,2084,840833,1866,R,19523,0,10,0,215,26,0,0,16,3348463616,43793,0,822445,48934,35176,5,0
